科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"517,208,431.00","1,276,004,596.00","1,881,098,761.00","2,655,382,516.00","536,644,261.00","1,302,605,649.00","2,181,216,543.00","3,341,535,492.00","797,145,187.00","2,138,405,961.00","3,525,282,164.00","5,117,055,786.00","938,551,972.00","3,235,091,477.00","4,468,115,290.00","6,760,328,560.00","1,241,296,933.00","3,527,335,994.00","4,709,564,611.00","6,247,508,383.00","1,227,122,473.00","3,141,504,412.00","4,286,439,630.00","5,424,501,267.94","1,382,820,644.23","3,092,160,769.41","4,389,020,459.05","6,626,462,462.42","1,020,862,166.23","3,718,254,518.84","5,564,217,428.83","7,749,436,188.59","1,442,051,678.25","4,365,622,706.90","7,152,518,397.96","9,500,412,439.87","2,554,993,706.96","5,041,630,913.73","8,196,041,425.30","10,948,528,398.44","1,640,947,617.42","4,768,671,816.62","6,659,592,015.71","9,705,970,007.56","973,590,175.69"
二、营业利润,"10,648,579.00","38,848,517.00","56,641,968.00","80,279,257.00","8,209,740.00","17,484,421.00","33,985,063.00","-18,971,437.00","21,284,848.00","110,916,097.00","208,741,624.00","197,038,128.00","37,196,478.00","160,482,266.00","234,647,271.00","211,790,198.00","37,910,610.00","128,920,131.00","135,993,295.00","120,123,262.00","9,063,469.00","7,443,399.00","1,458,298.00","-257,371,690.02","9,784,003.96","15,413,522.67","17,249,018.46","4,634,179.33","2,047,657.39","22,079,737.54","-7,028,663.22","-26,686,133.15","-32,215,743.24","-90,278,486.28","-7,464,565.59","33,385,371.68","8,470,168.52","10,699,169.43","42,976,967.99","-10,472,273.48","-45,299,122.98","38,335,413.89","66,660,827.12","43,097,082.38","-193,644,298.51"
减:营业成本,"417,834,299.00","1,031,415,762.00","1,514,127,289.00","2,129,207,575.00","421,807,142.00","1,051,813,198.00","1,808,553,594.00","2,816,116,776.00","645,907,257.00","1,713,557,010.00","2,784,561,063.00","4,161,943,797.00","738,437,405.00","2,627,333,918.00","3,553,441,606.00","5,551,968,816.00","1,018,412,857.00","2,957,647,293.00","3,850,289,868.00","5,117,223,797.00","1,013,258,136.00","2,605,167,582.00","3,509,934,467.00","4,370,087,516.78","1,129,269,442.08","2,513,874,707.06","3,530,311,894.93","5,433,340,821.96","784,077,640.52","3,115,870,551.19","4,662,252,512.09","6,451,752,832.65","1,208,545,735.87","3,830,380,474.58","6,186,741,255.81","8,096,292,034.99","2,295,272,471.31","4,412,284,925.02","7,211,159,539.99","9,511,165,180.88","1,429,563,206.59","4,105,564,025.19","5,665,130,182.97","8,280,701,696.03","892,912,385.08"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,392,052.00","4,060,936.00","5,877,894.00","7,724,938.00","1,857,201.00","3,249,713.00","6,313,202.00","9,568,859.00","2,113,496.00","7,061,266.00","11,217,614.00","17,423,567.00","5,708,557.00","22,269,104.00","30,628,780.00","42,873,165.00","3,813,176.00","19,514,728.00","24,224,837.00","30,186,103.00","1,333,992.00","11,719,170.00","18,787,713.00","27,385,868.76","3,689,463.56","10,755,583.87","16,561,886.85","27,739,479.46","7,119,595.59","20,894,300.38","32,534,626.45","42,274,392.58","2,884,840.04","14,209,508.47","28,326,597.90","41,526,657.18","7,410,969.12","9,259,849.92","13,101,730.30","31,591,709.18","5,862,090.71","20,603,754.62","30,000,937.75","46,866,652.43","7,842,004.81"
营业外收入,"58,170.00","2,646,217.00","6,798,540.00","42,119,561.00","1,596.00","369,665.00","777,125.00","119,440,579.00","691,216.00","1,060,435.00","4,595,746.00","10,745,199.00","573,565.00","3,709,326.00","5,487,069.00","57,879,229.00","8,718,806.00","11,163,035.00","15,583,749.00","53,675,579.00","494,511.00","14,531,318.00","30,106,204.00","55,208,074.60","1,961,465.70","8,286,328.88","9,736,064.47","57,458,530.44","3,074,814.00","5,901,542.82","43,414,334.17","85,239,239.44","1,551,789.18","4,997,587.72","10,748,325.31","33,791,281.20","2,004,778.46","80,229,256.22","83,665,253.62","156,688,735.50","6,075,850.16","7,399,859.59","17,925,602.46","47,641,923.27","428,348.12"
销售费用,"36,036,662.00","80,141,790.00","127,733,407.00","176,277,585.00","42,813,706.00","85,517,336.00","127,188,713.00","222,781,123.00","48,746,417.00","124,280,875.00","203,264,001.00","328,551,263.00","58,034,039.00","163,416,948.00","234,642,017.00","373,760,561.00","57,535,217.00","152,814,197.00","215,396,671.00","251,443,666.00","44,656,088.00","143,679,736.00","209,280,419.00","316,441,539.12","64,664,462.07","148,715,436.13","234,118,841.07","376,813,055.78","51,640,541.05","138,959,131.54","222,287,557.32","338,675,017.94","60,753,655.73","150,785,376.77","248,511,955.87","366,477,992.98","59,025,734.32","151,142,201.18","226,309,486.94","363,156,369.60","52,549,068.29","102,725,385.59","196,031,087.02","276,396,611.43","51,946,321.43"
减:营业外支出,"24,998.00","71,442.00","288,520.00","1,343,066.00","1,058,403.00","2,370,302.00","2,888,803.00","3,914,760.00","375,138.00","1,359,920.00","2,121,933.00","2,967,007.00","448,145.00","944,408.00","3,003,112.00","3,541,838.00","124,114.00","659,682.00","1,862,232.00","5,986,778.00","264,390.00","405,935.00","453,789.00","695,768.41","533,853.78","188,218.23","347,989.00","2,535,154.39","221,451.28","479,163.41","1,141,799.17","2,347,155.99","151,537.34","637,104.06","678,970.41","2,493,106.21","166,606.47","468,986.00","4,021,241.96","6,828,693.24","612,006.92","5,508,813.35","5,654,888.83","6,886,205.50","330,469.60"
管理费用,"42,047,005.00","99,472,811.00","136,281,555.00","199,278,274.00","46,582,387.00","105,059,064.00","152,120,358.00","225,922,486.00","65,438,559.00","154,380,700.00","251,766,259.00","331,738,684.00","81,052,290.00","189,990,845.00","308,219,370.00","383,157,386.00","81,276,960.00","174,136,720.00","284,400,181.00","443,526,049.00","91,387,800.00","206,232,972.00","296,468,058.00","445,777,149.63","90,766,653.92","206,698,885.66","290,661,436.94","461,032,744.68","86,227,408.21","184,793,212.21","299,077,158.21","494,721,187.22","102,095,319.55","218,352,531.42","374,313,993.95","546,785,447.45","107,194,241.97","241,677,924.97","400,666,938.27","539,558,583.79","139,576,087.04","332,636,531.28","464,319,154.24","632,159,056.10","140,789,310.46"
其中:非流动资产处置净损失,,,,"277,754.00",,,,"660,242.00",,,,"2,264,078.00","78,205.00",,,"1,215,372.00",,,,"1,710,076.00",,"323,571.00","325,703.00","428,299.73",,"84,685.18","116,536.06","1,056,460.01",,"378,478.09","928,834.77","1,883,931.36",,"122,878.85","123,002.85","684,419.75","155,846.47","454,859.94","501,023.49","3,197,633.98","610,881.36","4,533,037.68","4,679,108.99",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"8,330,088.00","18,928,008.00","31,521,099.00","38,771,372.00","15,329,793.00","35,619,350.00","50,108,917.00","64,037,762.00","15,736,194.00","30,749,522.00","47,367,765.00","66,599,031.00","14,438,728.00","29,749,096.00","69,588,765.00","96,465,399.00","40,940,680.00","89,735,048.00","194,132,429.00","275,717,823.00","81,771,991.00","180,408,511.00","262,571,928.00","384,191,436.86","82,206,105.01","188,266,171.04","284,595,741.47","381,892,728.55","88,787,732.11","226,350,772.55","345,896,092.62","473,659,933.13","94,473,765.56","207,050,191.16","308,223,125.03","400,354,833.17","81,881,519.21","175,990,752.81","261,808,606.91","356,802,417.77","65,959,459.56","139,831,067.35","210,783,179.27","302,095,621.82","78,511,044.41"
三、利润总额,"10,681,751.00","41,423,292.00","63,151,988.00","121,055,752.00","7,152,933.00","15,483,784.00","31,873,385.00","96,554,382.00","21,600,926.00","110,616,612.00","211,215,437.00","204,816,320.00","37,321,898.00","163,247,184.00","237,131,228.00","266,127,589.00","46,505,302.00","139,423,484.00","149,714,812.00","167,812,063.00","9,293,590.00","21,568,782.00","31,110,713.00","-202,859,383.83","11,211,615.88","23,511,633.32","26,637,093.93","59,557,555.38","4,901,020.11","27,502,116.95","35,243,871.78","56,205,950.30","-30,815,491.40","-85,918,002.62","2,604,789.31","64,683,546.67","10,308,340.51","90,459,439.65","122,620,979.65","139,387,768.78","-39,835,279.74","40,226,460.13","78,931,540.75","83,852,800.15","-193,546,419.99"
