科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"294,707,462.17","333,389,964.70","442,341,397.76","357,569,772.76","818,824,966.97","210,999,537.46","469,621,917.41","763,482,820.12","959,770,788.25","185,784,732.97","438,417,670.73","741,528,086.16","1,056,699,874.72","142,914,372.45","752,542,176.58","1,126,754,360.62","1,197,042,113.62","305,528,028.92","854,509,091.08","1,470,910,251.78","1,637,945,496.59","439,087,430.91","877,263,534.24","1,465,785,030.57","2,077,590,448.93","610,969,774.48","1,243,864,862.15","1,843,901,510.51","2,686,007,745.46","1,000,745,633.30","1,881,846,864.39","2,891,581,613.78","4,172,964,837.90","1,085,111,327.99","2,779,299,837.11"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"2,307,793.59",,,,,,"50,476.60","50,476.60","589,197.71",,,"5,170.31","588,000.00",,,,,,,,,,"29,627.50",,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"5,800,000.00",,,,,,,,"2,316,000.00",,,,,,,,,,"2,761,500.00",,,,"3,910,000.00",,"250,011.12",,"230,000.00",,,"3,700,000.00","3,700,000.00",,
收到其他与经营活动有关的现金,"5,607,544.90","6,578,971.25","7,784,231.25","17,311,875.50","22,379,125.17","4,020,388.78","8,391,013.53","15,987,504.34","33,946,411.40","13,891,752.67","17,053,324.24","40,524,723.01","41,597,058.52","18,402,396.61","25,482,152.57","40,861,598.96","33,459,148.53","1,513,130.52","7,209,466.48","34,608,969.18","41,838,324.02","5,790,853.56","8,911,933.86","21,185,472.61","28,522,146.16","9,070,974.46","16,804,564.40","27,249,738.56","35,601,101.89","10,465,159.35","13,241,952.05","31,471,643.68","26,907,216.68","15,121,345.38","20,971,168.64"
投资活动现金流出小计,"27,145,414.53","6,857,278.90","62,614,815.15","48,381,816.39","115,692,830.71","13,387,836.71","39,169,826.02","83,866,244.29","103,327,676.20","23,816,251.84","45,955,702.21","98,061,449.32","371,687,463.65","14,532,707.10","395,636,804.42","487,848,934.56","964,169,082.75","569,452,922.14","468,351,911.66","571,104,908.68","990,346,622.32","819,689,723.48","878,901,312.75","985,945,560.37","955,091,301.09","325,983,929.93","434,499,881.97","2,254,283,166.16","2,275,252,697.61","2,268,937,900.13","2,450,639,987.79","2,733,707,496.14","2,907,442,417.69","2,458,525,044.43","2,971,344,023.29"
经营活动现金流入小计,"302,622,800.66","339,968,935.95","450,125,629.01","374,881,648.26","841,204,092.14","215,019,926.24","478,063,407.54","779,520,801.06","994,306,397.36","199,676,485.64","455,470,994.97","782,057,979.48","1,098,884,933.24","161,316,769.06","778,024,329.15","1,167,615,959.58","1,230,501,262.15","307,041,159.44","861,718,557.56","1,505,519,220.96","1,679,783,820.61","444,878,284.47","886,205,095.60","1,486,970,503.18","2,106,112,595.09","620,040,748.94","1,260,669,426.55","1,871,151,249.07","2,721,608,847.35","1,011,210,792.65","1,895,088,816.44","2,923,053,257.46","4,199,872,054.58","1,100,232,673.37","2,800,271,005.75"
投资活动产生的现金流量净额,"-26,736,229.53","-6,737,278.90","-62,553,815.15","-45,259,319.19","-112,976,129.66","-13,387,836.71","-38,555,016.28","-83,141,708.44","-102,564,668.09","-23,008,606.30","-34,930,550.49","-86,431,599.37","-355,932,961.67","-13,476,424.59","-389,229,035.93","-472,961,287.83","-761,770,461.74","-131,691,482.90","115,816,475.43","24,900,697.29","-369,423,949.70","14,659,536.42","65,092,162.05","-15,254,875.94","31,501,898.93","409,279,043.23","302,781,075.94","-1,506,215,037.37","-1,494,281,013.40","-269,762,269.80","-425,093,614.32","-694,856,638.33","-791,362,912.54","39,144,432.34","63,038,725.04"
购买商品、接受劳务支付的现金,"182,596,662.74","158,186,437.10","229,918,218.17","280,274,876.06","592,599,993.08","138,626,223.16","336,709,692.04","535,532,121.23","627,057,914.50","133,259,805.64","368,589,302.47","546,389,960.04","716,460,440.49","43,636,821.18","484,564,942.49","705,660,178.17","622,101,516.00","151,548,796.46","536,257,241.18","934,339,799.67","799,125,507.11","334,669,874.98","583,584,320.91","894,103,100.69","1,297,061,033.65","326,920,720.39","696,397,976.55","1,068,025,989.95","1,591,125,256.84","661,973,935.23","1,052,041,372.62","1,618,837,035.19","2,399,627,322.84","796,716,270.60","1,934,650,754.44"
吸收投资收到的现金,"22,500,000.00",,,"34,880,000.00","34,880,000.00","1,223,424,000.00","1,223,424,000.00","1,223,424,000.00","1,250,332,000.00",,,,"1,045,125.00",,,,,,,,"43,358.70",,,,,,,"1,478,345,265.90","1,478,199,982.88",,,,,,
