科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"245,653,420.14","367,055,964.98","499,797,050.30","311,474,818.38","531,604,373.50","628,001,489.30","39,726,808.82","348,066,695.68","522,116,183.51","747,057,860.92","179,656,975.49","843,456,049.06","1,248,577,545.49","1,626,143,364.94","254,316,736.29","900,556,563.49","1,345,223,071.42","1,768,396,481.97","117,358,161.45","1,058,675,192.98","1,864,464,838.93","2,860,506,355.12","306,176,978.02","2,692,152,215.43","4,593,132,294.58","5,578,887,956.00","486,476,894.87"
二、营业利润,"29,575,470.12","73,372,824.44","94,206,710.26","54,605,284.13","92,497,812.62","119,740,399.51","3,259,210.39","71,892,643.46","102,145,517.06","114,560,608.74","29,033,833.78","125,178,027.70","170,802,755.61","212,771,406.40","36,190,287.73","137,638,273.80","182,887,121.72","202,883,883.84","-16,491,908.68","144,469,878.87","301,653,916.23","424,408,190.13","19,580,072.21","492,861,628.29","889,233,860.72","1,101,092,453.79","33,348,125.50"
减:营业成本,"191,085,060.67","249,260,243.80","339,887,440.37","214,361,705.13","356,605,652.18","405,830,778.57","25,231,695.89","222,467,216.16","320,083,225.40","470,710,638.18","118,224,160.98","579,658,614.34","857,585,144.65","1,119,360,262.58","168,333,343.97","593,805,662.24","897,129,058.11","1,193,955,869.51","90,548,963.13","736,394,638.70","1,267,975,443.59","1,954,585,463.92","222,340,963.59","1,852,705,636.00","3,092,083,282.26","3,763,813,425.73","360,536,764.45"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"8,035,295.94","12,017,216.51","16,500,289.63","10,733,945.27","18,100,763.88","21,388,524.28","1,337,028.15","11,757,230.26","17,568,116.70","25,087,814.73","4,629,136.61","25,664,173.23","38,000,340.49","48,683,654.81","7,057,920.34","27,248,640.03","40,064,259.04","45,190,021.81","1,882,164.22","1,736,454.05","-1,790,009.40","11,640,747.99","3,920,167.10","6,638,578.79","8,901,602.32","11,677,224.14","5,150,327.45"
营业外收入,"15,858,695.49","14,672,580.63","14,497,614.04","14,859,938.81","14,980,355.40","23,617,326.91","457,260.47","770,089.41","1,749,823.66","7,103,173.80","2,408,344.59","9,551,989.33","12,104,203.68","14,836,242.09","2,704,430.14","6,248,164.06","9,692,594.77","18,163,102.89","1,321,240.34","7,342,740.99","12,997,933.52","32,960,819.29","8,932,134.73","436,769.94","1,010,736.41","2,080,518.49","571,084.93"
销售费用,"3,021,172.47","6,036,042.94","3,338,840.65","1,526,524.44","5,647,876.28","6,766,453.68","1,795,005.34","3,651,012.92","8,104,608.01","11,129,040.78","5,314,299.96","8,355,299.14","16,132,000.32","26,618,624.16","5,537,163.42","11,958,243.16","20,327,092.91","33,649,259.83","6,536,335.48","14,237,827.39","22,464,695.33","42,117,853.03","7,738,754.77","35,837,097.89","56,958,672.34","72,480,109.37","6,979,881.26"
减:营业外支出,"102,120.00","584,639.22","233,356.42","47,100.00","525,080.19","595,080.19",18.70,"1,192,809.58","1,282,154.98","1,288,126.82",,"52,583.84","1,336,922.64","2,828,996.43","72,616.92","681,873.48","1,299,286.15","2,614,778.86","193,101.01","2,396,493.77","2,957,832.84","4,539,619.17","493,808.49","1,874,865.18","2,516,353.37","28,629,983.68","11,117,970.22"
管理费用,"7,609,355.82","15,635,526.28","25,822,434.70","14,010,011.45","21,893,399.02","34,001,855.03","8,821,237.14","22,819,707.42","42,078,903.97","61,223,700.72","16,619,129.55","43,918,111.95","69,977,246.69","98,699,062.20","21,441,376.50","56,848,265.57","91,811,422.46","135,157,499.73","29,510,464.95","90,600,999.24","135,028,133.62","228,748,817.16","36,888,183.39","110,926,856.74","176,320,386.04","247,279,970.13","48,571,618.44"
其中:非流动资产处置净损失,,,,,,,,"43,635.88",,,,"52,583.84","52,738.34","179,525.72",,"470,073.06","475,485.46","672,605.07",,"16,135.03","19,009.86","91,616.99",,"404,741.74",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"131,101.21","942,223.26","5,940,110.38","4,777,319.21","7,423,719.18","9,564,120.05","1,016,028.62","2,417,023.63","5,722,438.05","10,186,413.16","5,110,561.83","13,135,080.82","24,142,364.68","50,077,004.40","11,588,683.25","22,903,307.62","33,765,056.89","45,015,342.83","8,551,594.18","25,745,612.54","48,318,351.95","74,181,742.49","19,842,331.38","53,820,846.57","86,279,421.31","140,492,703.84","43,375,900.74"
三、利润总额,"45,332,045.61","87,460,765.85","108,470,967.88","69,418,122.94","106,953,087.83","142,762,646.23","3,716,452.16","71,469,923.29","102,613,185.74","120,375,655.72","31,442,178.37","134,677,433.19","181,570,036.65","224,778,652.06","38,822,100.95","143,204,564.38","191,280,430.34","218,432,207.87","-15,363,769.35","149,416,126.09","311,694,016.91","452,829,390.25","28,018,398.45","491,423,533.05","887,728,243.76","1,074,542,988.60","22,801,240.21"
