科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
三、利润总额,"17,012,552.47","25,634,239.59","34,896,499.44","6,442,488.93","13,155,083.52","10,196,741.03","35,510,274.93","5,107,353.11","4,022,920.18","1,537,408.59","29,061,598.21","9,511,638.31","10,026,024.40","14,668,155.56","36,474,784.21","4,337,758.32","-8,765,763.94","-14,386,709.61","26,368,590.99","6,668,718.42","-589,579.79","-5,976,848.40","26,575,397.63","6,488,614.23","-149,094.97","-7,034,337.06","43,849,305.16","3,954,281.83","-5,184,989.74","-11,027,144.21","54,403,411.96","4,770,332.42","-5,804,046.22","-37,538,118.02","101,985,674.39"
资产减值损失,"67,038.11","-15,773.76","2,329,370.60","-30,930.48","-255,874.31","-47,060.29","-76,072.84","262,628.56","49,858.26","850,057.39","283,739.19","-642,025.42","-771,801.52","-609,206.53","7,904,518.38","1,718,789.00","2,757,689.71","2,760,909.90","10,496,792.56","-97,206.94","-53,420.42","-464,364.93","5,690,169.85","745,617.22","514,019.93","-91,855.31","10,060,357.40","18,812.25","914,741.27","543,885.70","12,375,374.45","397,056.98","475,982.67","1,142,081.83","22,063,242.97"
减:所得税,"2,679,355.40","1,067,847.28","754,429.24","796,562.27","916,179.63","919,574.07","665,733.25","975,578.60","989,575.83","962,447.47","2,548,758.82","631,803.21","733,661.23","1,151,649.90","884,621.83",,"916,929.04","902,129.04","1,558,935.50","34,625.46","1,409,170.93","1,885,131.88","2,402,428.79","119,522.36","368,366.94","1,100,258.21","975,780.44","332,577.36","1,924,003.47","1,798,331.53","1,998,154.64","75,332.08","438,432.31","352,387.25","5,068,327.61"
加:公允价值变动净收益,"95,522.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"553,365.09","-112,347.75",,,,,,,"1,353,894.02","1,353,894.02","1,353,894.02",,,,,,,"-1,064,401.40","-913,747.34","-20,417.01","-46,637.70","232,774.02","1,075,945.37","770,667.29","3,030,454.64","1,723,308.50","3,995,927.76","39,094.72","299,233.51","583,674.99","847,913.26","522,590.02","1,381,883.44","2,573,241.70","3,626,537.62"
四、净利润,"14,333,197.07","24,566,392.31","34,142,070.20","5,645,926.66","12,238,903.89","9,277,166.96","34,844,541.68","4,131,774.51","3,033,344.35","574,961.12","26,512,839.39","8,879,835.10","9,292,363.17","13,516,505.66","35,590,162.38","4,337,758.32","-9,682,692.98","-15,288,838.65","24,809,655.49","6,634,092.96","-1,998,750.72","-7,861,980.28","24,172,968.84","6,369,091.87","-517,461.91","-8,134,595.27","42,873,524.72","3,621,704.47","-7,108,993.21","-12,825,475.74","52,405,257.32","4,695,000.34","-6,242,478.53","-37,890,505.27","96,917,346.78"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-21,745.27"
归属于母公司所有者的净利润,"14,333,197.07","24,510,600.83","33,834,151.58","5,604,280.49","12,066,305.36","8,856,224.32","32,732,885.19","4,506,644.18","3,785,767.51","1,536,470.62","21,536,402.92","5,482,065.44","4,943,416.60","8,123,880.10","22,485,507.37","1,549,074.97","-9,950,148.31","-13,501,269.98","7,736,895.62","1,888,142.25","-3,721,894.21","-10,077,792.64","5,229,652.18","1,489,604.62","-3,587,268.89","-11,143,436.32","22,136,404.04","1,868,164.27","-6,394,763.61","-8,794,374.16","30,677,152.44","2,685,968.47","-8,558,385.62","-27,678,673.85","62,461,913.52"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,"55,791.48","307,918.62","41,646.17","172,598.53","420,942.64","2,111,656.49","-374,869.67","-752,423.16","-961,509.50","4,976,436.47","3,397,769.66","4,348,946.57","5,392,625.56","13,104,655.01","2,788,683.35","267,455.33","-1,787,568.67","17,072,759.87","4,745,950.71","1,723,143.49","2,215,812.36","18,943,316.66","4,879,487.25","3,069,806.98","3,008,841.05","20,737,120.68","1,753,540.20","-714,229.60","-4,031,101.58","21,728,104.88","2,009,031.87","2,315,907.09","-10,211,831.42","34,455,433.26"
