科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"46,482,961.17","34,625,931.41","77,171,525.74","33,524,331.78","63,370,787.64","182,871,550.64","190,856,138.30","175,334,123.46","170,789,556.43","151,790,579.17","324,095,634.17","304,338,048.81","214,622,016.85"
短期借款,"5,000,000.00","24,250,000.00","26,550,000.00","11,100,000.00","10,000,000.00","12,500,000.00","12,500,000.00","12,500,000.00","2,500,000.00","55,928,771.70","55,778,642.70","55,317,532.20","154,700,573.50"
交易性金融资产,,,,,,"43,397.26","359,802.74",,"141,780.82","52,668.49",,,"1,853,087.67"
交易性金融负债,,,,,,,,,,,,,
应收票据,"2,350,625.00","7,708,007.00","5,897,639.72","11,793,577.50","12,081,016.00","6,879,420.50","3,175,822.54","582,820.00","6,161,301.32","4,960,998.00","12,360,475.10","10,901,839.86","1,508,945.75"
应付票据,"2,546,348.82","1,754,672.46","1,897,639.98","3,661,914.48","5,585,689.28","2,292,022.69","5,908,248.33","12,723,310.16","11,552,175.92","14,381,005.03","8,808,784.69","10,564,914.78","24,188,331.92"
应收账款,"61,515,822.62","109,676,226.82","119,122,505.38","124,475,431.07","101,807,181.49","107,538,624.64","139,064,551.25","141,708,581.78","162,755,397.27","186,052,663.39","165,708,872.92","193,407,940.32","286,875,284.58"
应付账款,"12,203,692.24","21,488,517.62","35,786,150.16","27,082,336.11","27,266,634.89","20,218,949.23","29,956,892.26","26,124,737.89","32,337,739.47","37,636,181.69","49,300,469.40","61,438,672.96","130,510,181.33"
预付款项,"7,212,420.51","11,353,595.84","11,935,276.81","12,516,324.05","10,765,224.39","12,608,776.82","12,538,645.67","74,008,764.14","21,169,106.12","16,006,953.07","15,423,744.45","22,030,058.56","32,716,112.28"
预收款项,"2,562,918.09","3,084,885.03","12,009,079.26","7,999,454.71","9,916,408.97","9,814,855.63","12,294,254.41","11,295,919.01","9,159,346.38","7,258,784.35","11,514,828.35","21,208,211.55","13,130,302.18"
其他应收款,"2,650,143.46","3,147,991.43","3,684,040.78","4,645,082.02","5,270,693.85","5,347,356.68","5,585,726.56","6,400,749.49","6,810,710.75","8,585,117.61","9,496,645.17","9,734,585.15","10,481,233.66"
应付职工薪酬,"3,085,975.71","3,028,758.25","6,358,614.29","3,117,458.62","4,041,769.04","4,649,038.24","7,116,182.57","3,218,184.43","4,481,249.52","4,839,017.92","9,951,636.04","5,014,723.58","10,378,287.15"
应收关联公司款,,,,,,,,,,,,,
应交税费,"2,232,274.64","651,332.82","5,089,824.13","2,911,919.98","1,434,846.62","1,988,111.58","3,573,041.74","3,956,218.25","4,692,035.10","5,234,456.11","6,415,413.64","7,661,652.97","7,304,210.64"
应收利息,,,,,,,"262,356.16",,"165,410.96","107,054.79","345,640.30","544,652.30","477,251.86"
应付利息,,,,,,,,,,,"29,299.44","29,213.80","92,147.32"
应收股利,,,,,,,,,,,,,
应付股利,,"342,000.00",,,,,,,,,,,"2,991,985.20"
存货,"69,571,447.31","78,432,797.05","121,333,620.41","134,985,405.15","146,724,587.96","155,419,807.07","143,844,361.44","155,951,879.42","164,072,998.75","165,451,780.49","133,121,920.57","156,351,859.63","275,272,467.89"
其他应付款,"1,003,179.48","1,298,786.54","2,000,841.96","2,582,871.78","2,804,572.10","2,131,265.60","2,096,771.56","1,843,672.16","49,449,902.51","57,847,389.77","72,919,640.47","59,568,959.65","34,561,754.00"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,"6,063,270.31","6,997,312.88","7,651,533.71","7,736,242.38","6,421,423.41","105,479,981.82","128,669,312.57","83,263,592.01","33,863,630.73","143,237,591.72","2,106,184.86","3,033,674.17","45,085,176.75"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"195,846,690.38","251,941,862.43","346,796,142.55","329,676,393.95","346,440,914.74","576,188,915.43","624,356,717.23","637,250,510.30","565,929,893.15","676,245,406.73","662,659,117.54","700,342,658.80","868,891,577.29"
流动负债合计,"28,634,388.98","55,898,952.72","89,692,149.78","58,455,955.68","61,049,920.90","53,594,242.97","73,445,390.87","71,662,041.90","114,172,448.90","183,125,606.57","214,718,714.73","220,803,881.49","377,857,773.24"
可供出售金融资产,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,,,,,,,"113,373,969.39","16,500,000.00","47,021,365.44","46,725,625.90","47,722,584.61"
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,"2,552,166.82"
固定资产,"5,277,766.84","7,905,916.24","6,165,804.46","6,222,547.26","5,911,744.28","5,873,019.79","6,102,745.71","7,241,549.24","7,303,353.99","10,130,851.51","10,691,419.75","35,809,821.73","36,324,520.01"
递延所得税负债,,,,,,,,,,"178,703.58","101,742.22","84,236.41","70,304.45"
在建工程,,,,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,"10,427,155.38","7,730,418.25","9,460,000.00","8,114,999.98","10,770,000.00","9,800,000.00","10,386,721.23","9,547,892.31","8,197,658.40","6,928,936.68","6,348,082.40","6,146,758.77","11,125,730.54"
固定资产清理,,,,,,,,,,,,,
负债合计,"39,061,544.36","63,629,370.97","99,152,149.78","66,570,955.66","71,819,920.90","63,394,242.97","83,832,112.10","81,209,934.21","122,370,107.30","190,054,543.25","221,066,797.13","226,950,640.26","388,983,503.78"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","280,000,000.00","280,000,000.00","280,000,000.00","280,000,000.00","280,000,000.00"
油气资产,,,,,,,,,,,,,
资本公积,"20,620,401.45","20,620,401.45","20,620,401.45","20,620,401.45","20,620,401.45","227,436,695.79","227,436,695.79","227,436,695.79","27,436,695.79","27,436,695.79","27,436,695.79","27,436,695.79","27,436,695.79"
无形资产,"132,426.23","441,799.51","708,057.01","656,417.71","787,354.91","738,757.23","834,551.13","775,899.13","711,928.43","1,782,714.23","1,592,042.69","1,470,867.27","4,043,354.73"
盈余公积,"4,783,065.82","7,791,049.57","9,564,275.27","9,564,275.27","9,564,275.27","9,564,275.27","10,692,183.82","10,692,183.82","10,692,183.82","10,692,183.82","14,252,149.49","14,252,149.49","14,252,149.49"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,
商誉,,104.78,104.78,104.78,104.78,104.78,104.78,104.78,104.78,"89,415,471.74","87,063,582.81","87,063,582.81","87,063,582.81"
未分配利润,"83,815,590.50","118,036,677.16","175,758,102.11","190,482,937.37","201,211,314.64","213,074,137.27","242,195,631.08","257,196,317.81","257,850,346.17","270,880,710.59","275,248,992.99","301,349,417.71","321,902,488.24"
长期待摊费用,"2,997,286.28","5,872,196.61","6,374,821.97","5,639,077.19","4,840,009.64","4,563,744.36","4,510,786.10","3,979,241.73","3,412,241.25","4,175,699.93","4,663,026.62","4,398,531.16","4,206,186.55"
少数股东权益,"400,000.00",,,,,,,,,"26,603,584.17","30,853,941.49","33,287,380.57","27,390,809.55"
递延所得税资产,"4,395,394.08","3,888,497.38","4,950,652.56","4,975,294.92","5,161,770.36","6,017,424.72","6,343,212.27","6,953,361.18","6,954,506.12","7,322,290.86","7,430,389.15","7,371,322.23","8,845,210.61"
外币报表折算价差,,,,,,,,,,,,,
其他非流动资产,,,,,,,"1,943,660.19","301,840.00","587,040.00","13,294.00","27,664,713.46","37,136.75","2,793,746.72"
非正常经营项目收益调整,,,,,,,,,,,,,
非流动资产合计,"12,802,873.43","18,108,514.52","18,199,440.78","17,493,441.86","16,700,983.97","17,193,050.88","19,735,060.18","19,251,996.06","132,343,143.96","129,340,322.27","186,126,539.92","182,876,887.85","190,999,186.04"
所有者权益(或股东权益)合计,"169,588,019.45","206,421,005.98","265,843,433.55","280,598,880.15","291,321,977.81","529,987,723.34","560,259,665.31","575,292,572.15","575,902,929.81","615,531,185.75","627,718,860.33","656,268,906.39","670,907,259.55"
资产总计,"208,649,563.81","270,050,376.95","364,995,583.33","347,169,835.81","363,141,898.71","593,381,966.31","644,091,777.41","656,502,506.36","698,273,037.11","805,585,729.00","848,785,657.46","883,219,546.65","1,059,890,763.33"
负债和所有者(或股东权益)合计,"208,649,563.81","270,050,376.95","364,995,583.33","347,169,835.81","363,141,898.71","593,381,966.31","644,091,777.41","656,502,506.36","698,273,037.11","805,585,729.00","848,785,657.46","883,219,546.65","1,059,890,763.33"
