科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"13,513,559.04","16,903,830.11","75,776,106.26",,"305,376,402.63","82,815,419.92","77,721,613.45","76,748,149.18","132,270,590.72","58,396,722.05","95,020,270.97","51,126,956.78","55,739,726.35","42,145,121.49"
短期借款,"27,000,000.00","16,000,000.00","65,000,000.00",,"12,800,000.00",,,,,,,"22,900,000.00","20,053,785.60","34,108,868.80"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"17,863,273.60","12,401,973.84","18,682,250.13",,"25,406,632.51","25,403,716.78","34,594,929.03","33,855,095.89","28,786,055.30","31,396,305.77","38,755,487.89","27,988,121.11","22,696,120.60","40,263,482.06"
应付票据,,,,,,,,,,,,"9,014,000.00","21,814,000.00","22,000,000.00"
应收账款,"44,365,429.88","53,029,372.23","52,746,959.70",,"56,432,526.31","57,554,860.48","50,922,474.58","43,222,558.51","61,878,405.96","52,382,702.39","59,975,831.97","79,798,376.33","110,128,107.34","114,453,237.29"
应付账款,"2,855,862.97","3,604,304.06","5,903,398.90",,"5,454,207.79","3,913,519.59","11,679,092.08","7,493,212.01","9,165,849.02","9,734,829.27","11,408,974.13","21,396,672.20","21,157,897.03","13,167,151.44"
预付款项,"599,643.09","309,026.52","217,130.88",,"535,392.59","623,699.56","247,306.55","699,621.63","551,679.62","820,240.34","471,470.31","2,272,565.39","2,460,120.50","880,788.78"
预收款项,"1,896,720.76","3,950,478.57","2,649,205.90",,"2,135,068.88","2,690,891.61","2,685,583.58","2,343,853.52","2,229,623.89","2,346,062.46","2,229,057.62","3,705,590.12","3,980,479.83","4,634,377.00"
其他应收款,"4,653,880.22","2,899,846.57","2,873,565.21",,"1,525,608.43","738,178.81","616,340.32","1,304,699.77","1,437,226.32","1,562,773.41","1,435,068.59","2,770,964.18","3,249,416.68","3,561,034.15"
应付职工薪酬,"4,030,036.75","3,949,665.99","4,959,652.44",,"1,889,203.01","1,899,560.52","6,076,229.19","948,300.57","2,466,920.96","3,504,265.50","8,355,354.30","3,403,137.67","5,905,861.86","6,944,414.15"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"10,382,524.19","4,760,075.95","5,490,776.33",,"9,313,913.95","5,443,278.15","7,449,403.73","3,774,734.84","9,128,678.76","5,248,847.76","7,333,360.57","6,951,759.76","9,304,778.08","6,882,421.48"
应收利息,,,,,,"175,204.44",,,,,,,,
应付利息,"44,354.44","32,759.84","81,520.84",,"18,915.55",,,,,,,,,
应收股利,,,,,,,,,,,,"332,344.41","260,052.00","80,000.00"
应付股利,,,,,,,,,,,,,,
存货,"49,701,564.78","45,928,529.47","48,591,264.87",,"49,070,597.89","50,220,553.17","48,518,555.45","53,004,246.37","50,025,967.17","53,550,866.50","50,559,954.29","79,985,220.85","76,295,526.14","81,091,073.18"
其他应付款,"26,729.55","45,937.13","341,989.57",,"66,318,766.93","1,662,958.83","326,809.84","3,417.48","23,622.87","16,812.87","3,072,059.18","22,699,843.64","21,401,841.88","21,836,726.45"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,,"1,000,000.00",,,,,,,,,,,
其他流动资产,"2,043.63","2,043.63","56,289.79",,,"147,000,000.00","172,000,000.00","160,000,000.00","105,000,000.00","195,000,000.00","170,000,000.00","165,000,000.00","135,000,000.00","160,095,238.07"
其他流动负债,,,,,,,,,,,,,,
流动资产合计,"130,699,394.24","131,474,622.37","198,943,566.84","141,057,100.00","438,347,160.36","364,531,633.16","384,621,219.38","368,834,371.35","379,949,925.09","393,109,610.46","416,218,084.02","409,274,549.05","405,829,069.61","442,569,975.02"
流动负债合计,"46,236,228.66","32,343,221.54","85,426,543.98","27,586,200.00","97,930,076.11","15,610,208.70","28,217,118.42","14,563,518.42","23,014,695.50","20,850,817.86","32,398,805.80","90,071,003.39","103,618,644.28","109,573,959.32"
可供出售金融资产,,,,,,,,,,,,"140,000.00","140,000.00","140,000.00"
长期借款,,"3,160,000.00",,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,"876,106.24"
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"105,317,891.77","130,955,436.71","167,074,005.72",,"163,856,037.16","186,668,750.96","193,357,285.92","208,207,621.52","209,796,761.74","212,245,713.60","224,836,276.70","262,391,138.41","268,032,659.76","265,304,220.81"
递延所得税负债,,,,,,,,,,,,,,
在建工程,"6,237,824.71","26,770,100.72","20,003,673.46",,"23,468,550.22","1,835,854.49","15,447,173.30","2,660,818.48","986,227.74","4,503,032.81","14,165,638.59","38,708,718.43","56,814,627.99","83,870,130.82"
其他非流动负债,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,"9,008,215.83","11,720,702.50","9,346,942.50","9,014,900.00","8,682,922.50","8,350,912.50","10,604,832.50","10,205,945.00","9,807,057.50","9,408,170.00","9,009,282.50","8,610,395.00","8,211,507.50","7,812,620.00"
固定资产清理,,,,,,,,,,,,,,
负债合计,"55,244,444.49","44,063,924.04","94,773,486.48","36,601,100.00","106,612,998.61","23,961,121.20","38,821,950.92","24,769,463.42","32,821,753.00","30,258,987.86","41,408,088.30","98,681,398.39","111,830,151.78","117,386,579.32"
生产性生物资产,,,,,,,,,,,,,,
