科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"24,925,467.78","25,513,756.24","56,309,980.06","106,146,036.02","306,729,479.71","198,954,117.09","144,742,642.53","83,045,890.78","60,305,642.77"
短期借款,"57,500,000.00","47,500,000.00","67,480,656.00","58,000,000.00","28,000,000.00",,,"55,000,000.00","112,000,000.00"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,,"1,255,600.16","625,173.32","5,860,733.72","7,818,053.39","6,592,573.90","4,883,021.68","12,187,497.96","9,845,043.10"
应付票据,,,,,,,,,
应收账款,"99,745,520.08","126,670,584.76","161,074,127.45","138,188,352.30","161,035,123.95","180,446,332.19","188,516,145.56","189,420,376.02","211,074,325.37"
应付账款,"30,411,327.07","44,084,516.88","40,399,224.96","61,885,722.54","55,264,730.07","62,563,207.03","59,472,162.90","87,451,243.80","140,235,142.94"
预付款项,"1,972,740.73","1,012,280.13","739,045.87","1,299,753.58","1,703,415.15","3,762,733.98","3,217,589.43","6,411,150.07","8,311,790.03"
预收款项,"668,057.97","1,550,974.33","2,160,964.98","3,055,515.15","4,787,204.06","2,980,432.20","3,276,857.70","4,801,202.63","4,670,325.23"
其他应收款,"2,658,569.38","2,691,724.91","7,663,950.65","5,723,691.52","2,194,449.38","2,596,979.27","2,624,449.63","5,734,332.43","7,707,395.36"
应付职工薪酬,"9,174,790.32","7,133,716.75","12,137,825.18","11,862,305.66","12,890,229.77","14,480,220.11","14,857,790.09","15,439,830.63","16,191,894.89"
应收关联公司款,,,,,,,,,
应交税费,"6,510,857.62","5,648,074.29","9,301,286.99","6,252,146.49","4,536,239.03","7,621,324.45","7,408,661.94","6,865,347.42","8,600,340.59"
应收利息,,,,,,,,,
应付利息,,,,,,,,,
应收股利,,,,,,,,,
应付股利,"1,920,000.00","3,520,000.00","6,080,000.00",,,,,,
存货,"39,740,035.32","50,016,951.33","40,435,869.31","46,562,300.04","48,723,425.85","50,988,563.31","68,455,882.43","98,178,507.71","110,674,656.57"
