科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"445,568,136.03","451,735,739.97","537,862,653.45","417,805,526.28","870,769,513.93","285,410,566.49","537,424,000.22","816,497,394.03","1,097,519,404.16","311,630,109.85","633,946,568.47","937,264,375.74","1,318,161,828.34","370,290,849.72","754,478,297.38","1,135,458,367.78","1,632,303,141.42","429,852,056.90","880,147,450.50","1,373,626,984.09","2,016,023,652.51","558,228,183.37","1,144,002,657.14","1,707,359,588.28","2,467,518,342.94","690,372,811.82","1,549,729,592.74","2,283,772,041.76","3,346,892,486.92","964,819,542.57","2,001,455,473.76","3,007,390,190.06","4,255,416,130.08","1,175,069,616.99"
二、营业利润,"67,759,703.67","70,335,462.11","87,811,136.19","75,991,549.04","159,037,840.45","55,193,900.01","84,112,458.01","129,818,062.33","185,162,571.13","47,627,322.06","92,394,668.46","137,525,113.11","206,320,066.88","51,493,837.46","105,986,600.33","151,701,959.73","249,550,586.70","61,714,223.24","126,931,105.56","203,158,207.67","310,328,464.81","68,999,653.60","151,129,847.51","224,612,745.11","321,170,707.44","89,552,785.28","190,509,525.31","263,063,131.93","381,557,216.29","113,500,972.78","262,017,898.04","369,501,684.60","557,569,609.92","149,616,123.47"
减:营业成本,"333,414,133.32","333,286,503.79","398,449,794.21","298,409,255.97","623,854,336.67","192,130,306.37","385,984,771.65","590,728,139.38","798,800,673.62","234,071,503.33","479,180,722.59","703,471,750.89","976,416,412.65","284,157,384.73","572,424,330.56","872,720,837.24","1,230,747,349.40","327,536,734.35","681,088,040.41","1,058,942,525.86","1,531,255,564.95","436,188,522.64","883,170,791.78","1,316,478,064.46","1,888,726,111.83","530,496,970.65","1,207,654,062.90","1,787,156,838.00","2,644,754,954.87","761,708,023.85","1,561,476,569.02","2,346,013,381.02","3,337,523,172.62","927,142,395.30"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,574,731.03","3,307,385.19","2,185,240.77","879,114.01","2,373,578.40","1,054,635.78","2,073,921.90","2,832,893.84","3,601,716.56","2,092,448.52","3,622,090.86","5,048,051.79","6,097,720.79","1,617,939.12","3,528,144.73","5,074,934.91","8,072,488.73","2,682,797.53","4,333,798.46","5,830,568.77","8,651,887.09","2,026,237.04","3,574,567.77","5,761,932.21","10,108,145.31","2,143,405.52","6,952,060.74","9,130,689.37","19,078,463.97","5,987,268.65","13,197,309.56","20,594,635.74","29,106,426.91","9,855,931.55"
营业外收入,"2,189,378.95","738,300.00","1,175,076.45","815,882.90","3,199,182.90","640,111.11","640,111.11","955,194.76","14,822,360.71","352,411.00","2,574,955.47","3,175,872.40","16,520,069.93","342,580.14","2,048,179.20","3,652,155.17","5,763,854.45","420,390.16","3,337,631.67","3,248,976.48","8,912,595.75","3,810,617.77","5,429,871.71","9,270,084.20","20,695,257.31","2,274,345.51","7,837,960.00","15,282,539.83","20,442,168.11","2,433,618.97","1,041,228.06","3,025,830.48","2,642,428.80","907,339.37"
销售费用,"26,953,268.87","26,549,343.59","31,891,890.20","24,456,605.90","52,274,463.45","17,403,087.48","33,397,774.10","50,088,369.27","55,867,798.79","13,086,165.32","26,553,925.16","36,622,494.48","44,596,157.58","13,932,689.09","27,367,396.76","42,660,606.73","68,157,851.72","18,753,654.36","31,892,722.91","47,892,940.41","76,417,821.66","18,109,453.45","38,838,553.92","55,591,292.22","99,674,424.59","23,607,038.36","50,309,690.55","76,875,439.74","109,678,096.66","28,524,020.35","58,255,073.17","97,558,111.61","125,720,722.03","29,856,448.84"
减:营业外支出,"933,929.04","777,809.92","1,154,415.03","45,342.38","997,384.12","83,976.97","517,267.90","537,267.90","1,539,151.73","28,504.17","402,267.17","717,843.27","2,173,803.11","60,503.66","628,596.75","1,282,269.74","2,680,038.46","253,252.20","1,651,896.37","2,684,909.73","3,461,432.96","612,022.28","1,748,793.37","2,625,998.21","3,206,397.07","460,746.01","1,572,817.70","3,417,839.73","2,959,416.05","634,936.56","1,143,183.29","1,429,577.60","1,939,870.95","1,850,664.80"
管理费用,"14,747,266.61","17,576,474.41","18,722,912.55","14,834,160.48","30,950,375.92","17,122,744.79","28,373,187.60","42,695,611.45","61,058,808.61","27,297,691.38","52,986,559.17","90,265,422.24","129,227,434.67","30,856,315.07","68,083,305.80","94,877,871.91","120,696,105.74","31,625,419.43","60,170,242.71","95,574,018.28","142,388,259.87","41,228,307.81","87,959,940.38","138,034,539.73","189,773,193.52","57,918,100.25","103,063,060.34","164,609,978.87","227,780,009.53","77,138,238.02","149,391,282.58","240,267,424.81","288,628,601.67","75,581,793.96"
其中:非流动资产处置净损失,"261,212.19",,,"33,233.67","80,454.09",,"83,921.74","83,921.74","18,977.90",,"3,973.94","3,973.94","100,099.53",,"75,177.11","81,755.77","110,892.90",,"65,477.29","109,402.03","117,628.08","386,033.02","1,253,769.15","1,121,689.46","1,229,234.41","29,007.25","1,391,472.17","1,396,592.48","1,480,168.06",,"5,941.05","5,941.05",,
