科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"405,996,229.57","442,008,633.27","465,144,597.21",,"195,605,916.72","304,185,713.90","496,149,292.25","101,617,732.04","237,841,957.26","358,351,343.02","474,875,377.54","135,495,999.48"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,
收到其他与经营活动有关的现金,"8,881,337.31","5,088,878.43","940,285.82",,"1,656,576.19","3,021,005.25","6,634,555.13","1,306,408.84","2,022,320.25","2,936,626.94","5,455,735.52","302,013.63"
投资活动现金流出小计,"28,891,316.51","16,700,373.06","13,282,276.02",,"9,950,910.93","29,475,669.27","42,918,174.98","4,943,185.91","13,260,399.49","31,975,073.10","63,103,982.82","2,651,996.60"
经营活动现金流入小计,"414,877,566.88","447,097,511.70","466,084,883.03",,"197,262,492.91","307,206,719.15","502,783,847.38","102,924,140.88","239,864,277.51","361,287,969.96","480,331,113.06","135,798,013.11"
投资活动产生的现金流量净额,"-26,683,196.26","-10,018,608.22","-7,966,881.75","-3,016,908.91","-9,590,910.93","-29,114,242.27","-39,633,249.55","-2,355,076.16","-10,672,289.74","-26,757,353.60","-57,822,165.21","-1,536,158.60"
购买商品、接受劳务支付的现金,"250,212,051.31","265,345,646.86","285,857,383.78",,"118,364,139.67","195,105,006.70","340,674,755.45","83,137,960.62","167,979,541.63","249,300,528.15","297,096,492.49","66,585,070.18"
吸收投资收到的现金,,,"2,000,000.00",,"168,800,000.00","168,800,000.00","178,500,000.00",,,,"12,120,000.00",
支付给职工以及为职工支付的现金,"61,358,099.79","63,017,858.56","68,861,661.69",,"37,316,530.25","56,567,694.83","75,350,987.74","21,992,943.35","46,097,222.20","65,208,220.61","82,308,935.74","29,637,330.15"
取得借款收到的现金,"200,748,148.70","204,069,849.58","138,952,202.49",,"66,000,000.00","76,000,000.00","110,778,921.47",,"40,000,000.00","61,894,319.74","111,443,814.20","10,000,000.00"
支付的各项税费,"31,925,993.75","30,058,213.01","33,538,376.10",,"18,877,507.60","23,418,736.31","28,424,409.12","4,057,447.64","15,207,844.70","23,420,558.74","29,049,605.86","5,720,840.10"
收到其他与筹资活动有关的现金,,,,,"9,700,000.00","9,700,000.00",,,,,,
支付其他与经营活动有关的现金,"16,373,149.35","15,737,297.61","14,729,375.99",,"3,802,696.96","5,872,825.73","17,067,413.14","4,581,001.60","5,334,635.25","7,473,137.97","19,964,128.53","2,134,284.68"
筹资活动现金流入小计,"200,748,148.70","204,069,849.58","140,952,202.49",,"244,500,000.00","254,500,000.00","289,278,921.47",,"40,000,000.00","61,894,319.74","123,563,814.20","10,000,000.00"
经营活动现金流出小计,"359,869,294.20","374,159,016.04","402,986,797.56",,"178,360,874.48","280,964,263.57","461,517,565.45","113,769,353.21","234,619,243.78","345,402,445.47","428,419,162.62","104,077,525.11"
偿还债务支付的现金,"207,371,992.06","226,572,301.51","183,084,116.42",,"67,051,843.33","176,672,578.03","220,852,887.88","15,000,000.00","51,000,000.00","61,000,000.00","69,633,255.35","40,000,000.00"
经营活动产生的现金流量净额,"55,008,272.68","72,938,495.66","63,098,085.47","7,544,275.12","18,901,618.43","26,242,455.58","41,266,281.93","-10,845,212.33","5,245,033.73","15,885,524.49","51,911,950.44","31,720,488.00"
分配股利、利润或偿还利息支付的现金,"15,785,510.82","15,601,936.24","12,125,257.33",,"4,877,556.17","6,619,887.03","7,185,652.12","599,136.54","18,479,270.61","19,700,751.52","22,791,587.49","1,395,392.51"
收回投资收到的现金,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"2,127,358.48","400,000.00","200,000.00",,"250,000.00","6,620,000.00","6,620,000.00",,,,"32,300.00",
取得投资收益收到的现金,"2,120,328.50","5,770,924.84","5,290,889.27",,,,"2,898,698.43","2,588,109.75","2,588,109.75","5,176,219.50","5,176,219.50",
筹资活动现金流出小计,"225,284,861.36","242,574,237.75","195,409,373.75",,"72,179,399.50","189,912,465.06","234,658,540.00","15,599,136.54","69,479,270.61","80,700,751.52","92,457,142.84","41,395,392.51"
处置固定资产、无形资产和其他长期资产收回的现金净额,"87,791.75","910,840.00","24,505.00",,"360,000.00","361,427.00","386,227.00",,,"41,500.00","105,598.11","1,115,838.00"
筹资活动产生的现金流量净额,"-24,536,712.66","-38,504,388.17","-54,457,171.26","805,893.02","172,320,600.50","64,587,534.94","54,620,381.47","-15,599,136.54","-29,479,270.61","-18,806,431.78","31,106,671.36","-31,395,392.51"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"2,208,120.25","6,681,764.84","5,315,394.27",,"360,000.00","361,427.00","3,284,925.43","2,588,109.75","2,588,109.75","5,217,719.50","5,281,817.61","1,115,838.00"
五、现金及现金等价物净增加额,"3,788,363.76","24,415,499.27","674,032.46","5,333,259.23","181,631,308.00","61,715,748.25","56,253,413.85","-28,799,425.03","-34,906,526.62","-29,678,260.89","25,196,456.59","-1,211,063.11"
购建固定资产、无形资产和其他长期资产支付的现金,"28,891,316.51","16,700,373.06","13,282,276.02",,"9,950,910.93","29,475,669.27","42,918,174.98","4,943,185.91","13,260,399.49","21,975,073.10","38,103,982.82","2,651,996.60"
期初现金及现金等价物余额,"22,446,716.71","26,235,080.47","50,650,579.74",,"51,324,612.20","51,324,612.20","51,324,612.20","107,578,026.05","107,578,026.05","107,578,026.05","107,578,026.05","132,774,482.64"
投资支付的现金,,,,,,,,,,"10,000,000.00","25,000,000.00",
期末现金及现金等价物余额,"26,235,080.47","50,650,579.74","51,324,612.20","56,657,871.43","232,955,920.20","113,040,360.45","107,578,026.05","78,778,601.02","72,671,499.43","77,899,765.16","132,774,482.64","131,563,419.53"
