科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,971,291,780.29","1,755,633,370.24","2,733,171,221.83","853,185,310.48","1,695,124,425.04","2,535,491,362.10","3,574,502,293.08","1,127,601,877.22","2,328,006,916.51","3,469,861,629.60","4,612,702,323.36","1,105,550,313.10","2,116,928,684.45","3,099,518,421.86","4,210,389,234.75","1,040,849,389.37","1,937,593,716.20","2,931,288,537.86","4,100,238,915.60","1,428,129,025.81","2,762,302,153.86","3,793,515,189.00","4,888,811,074.72","1,193,599,866.40","2,479,088,490.21","3,598,538,206.24","4,816,142,282.84","1,025,987,375.71","2,064,225,345.59","3,352,869,759.98","4,862,376,362.47","1,595,605,387.86","3,071,627,689.12","4,586,706,154.77","6,465,007,896.36","1,786,507,728.09","3,375,090,295.96"
二、营业利润,"358,524,182.99","106,721,460.08","303,031,874.79","102,851,724.47","207,949,074.31","295,450,142.70","461,530,357.77","214,499,326.50","481,723,734.22","713,532,869.41","856,352,751.68","179,119,616.86","276,738,433.47","416,967,066.52","499,279,646.77","80,640,553.28","161,115,815.25","227,609,396.39","295,369,058.79","187,650,870.47","303,668,428.88","399,773,696.28","487,318,719.15","160,274,051.40","314,536,811.22","427,696,396.86","551,222,433.13","67,386,014.35","30,565,759.16","147,495,292.36","458,997,625.88","235,435,126.69","476,789,427.61","742,453,783.74","1,102,640,449.20","354,139,835.43","609,605,677.85"
减:营业成本,"1,532,608,033.58","1,411,394,835.33","2,121,984,332.94","680,326,888.25","1,343,738,932.23","2,020,270,462.39","2,792,807,237.14","838,208,206.95","1,694,886,621.41","2,555,037,775.72","3,385,156,345.44","827,672,224.41","1,649,216,892.69","2,429,776,159.58","3,320,271,185.18","884,577,030.06","1,635,750,730.11","2,488,186,923.40","3,448,542,945.06","1,138,587,879.76","2,256,049,843.92","3,102,665,471.99","3,984,947,186.60","916,406,811.25","1,889,307,372.69","2,785,866,134.97","3,597,088,747.81","817,647,169.22","1,636,819,920.34","2,622,030,357.06","3,707,226,015.90","1,204,053,889.30","2,266,307,810.54","3,358,580,135.82","4,565,414,761.55","1,260,204,467.44","2,374,934,860.84"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"14,853,047.38","15,102,581.87","21,551,382.69","6,273,634.83","12,283,665.40","17,425,112.56","23,448,316.10","9,339,208.98","19,062,623.00","26,943,930.71","38,537,284.41","7,588,711.85","15,767,846.32","23,202,050.99","33,069,126.43","3,411,905.15","11,293,880.32","14,074,680.46","20,252,321.97","3,948,499.42","10,337,043.56","14,447,550.19","22,624,959.19","4,229,482.08","16,280,523.84","20,529,472.54","33,178,074.66","3,954,954.43","12,344,326.11","20,888,089.61","72,683,938.83","14,525,751.84","45,179,047.97","54,795,131.77","78,814,949.31","19,022,586.21","53,521,869.33"
营业外收入,"13,408,414.26","6,414,183.03","58,319,305.74","452,423.34","1,302,382.72","1,645,199.03","2,870,490.57","918,935.81","1,638,791.02","2,365,697.71","3,137,618.56","4,213,418.05","5,007,095.65","5,477,879.63","3,063,216.31","24,465,207.85","25,294,013.12","25,984,296.86","30,573,075.67","954,640.96","2,496,092.97","3,283,020.93","8,945,688.84","834,033.37","2,125,181.50","3,603,787.96","6,650,891.81","1,696,068.10","3,603,178.31","5,664,055.19","8,432,726.55","1,701,137.07","2,465,870.74","3,166,667.76","5,572,998.75","2,581,721.22","7,322,503.16"
销售费用,"39,407,061.92","46,708,587.56","56,632,832.69","17,871,700.00","36,213,985.93","50,814,732.00","74,302,937.47","20,499,879.64","43,488,348.21","65,535,639.00","89,106,435.54","19,596,014.24","40,383,855.06","60,874,903.58","81,757,660.59","19,757,042.17","37,665,303.84","59,437,710.07","84,485,506.53","23,485,525.46","49,545,894.87","73,664,463.92","102,735,435.23","33,312,770.20","82,329,153.89","116,022,103.70","164,180,605.23","42,517,374.10","86,100,493.01","130,478,134.91","183,216,608.60","58,482,073.19","116,539,429.58","185,643,770.44","260,333,083.04","78,565,375.10","145,919,965.02"
减:营业外支出,"691,437.20","6,648,094.15","2,345,355.23","1,200.00","729,430.33","1,369,636.43","1,357,321.16","11,719.45","695,244.85","1,056,579.42","1,313,921.89","102,176.88","1,346,695.36","1,730,882.43","10,014,642.82","7,664,081.26","9,136,811.77","9,207,660.21","3,885,168.47","50,250.00","6,635,114.45","6,750,061.56","14,577,856.28","144,371.66","1,068,093.05","1,295,093.65","10,213,544.10","67,664.15","2,417,034.09","12,699,406.44","9,342,831.97","697,965.30","921,601.82","3,607,060.09","3,340,452.50","895,735.72","2,052,461.76"
管理费用,"87,164,412.04","105,985,995.49","148,804,043.39","45,435,286.41","87,046,186.29","131,374,541.79","197,104,616.17","36,585,105.57","68,700,066.98","117,034,990.83","214,417,502.44","62,661,383.86","122,432,110.51","189,285,761.45","272,153,122.59","49,284,408.23","106,956,840.70","164,520,790.23","245,936,540.82","46,041,742.19","100,116,645.75","154,266,161.61","218,492,570.51","50,865,659.55","113,336,631.14","173,046,222.51","261,078,621.57","65,354,226.88","124,516,639.47","194,486,914.71","238,197,880.52","56,954,519.29","123,878,352.86","191,329,120.45","266,958,041.97","64,061,337.30","142,247,433.95"
其中:非流动资产处置净损失,"232,553.79","4,680,507.05",,,"33,095.54","114,701.51","130,752.23",,"68,104.79","68,104.79","68,104.79",,"773,812.51","952,961.04","9,186,287.86",,"19,474.29","28,483.21","2,394,145.93",,"5,988,185.74","5,988,185.74","13,727,305.28","117,674.19","117,674.19","139,724.74","8,062,439.64","67,639.23","1,883,272.02","1,389,281.98","5,557,998.31","77,845.51","77,845.51","2,120,064.06",,,
