科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"62,792,187.98","84,124,840.65","119,625,294.05","134,030,669.27","138,928,985.56","163,019,380.51","346,556,038.66","209,178,852.91","148,751,169.70","179,728,839.12","102,594,797.09"
短期借款,,"30,000,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"91,832,217.26","71,602,858.33","57,771,735.02","59,421,913.47","37,487,350.02","57,653,128.61","54,340,919.58","78,517,729.67","72,759,843.56","90,565,050.10","39,221,344.64"
应付票据,,,,,,,,,,,
应收账款,"45,050,335.24","52,651,031.63","53,692,396.46","80,408,948.18","89,070,660.52","63,546,528.00","86,746,753.52","89,302,407.51","91,231,971.49","57,457,635.92","94,558,938.22"
应付账款,"27,763,440.12","28,253,903.63","27,267,768.97","32,546,898.17","25,285,229.54","32,626,199.21","36,115,067.62","34,380,035.97","36,084,487.37","50,415,512.74","41,705,907.95"
预付款项,"6,090,331.60","12,562,438.05","2,607,017.61","2,623,832.90","7,658,231.34","3,847,591.00","11,294,359.29","2,401,725.62","25,163,711.68","5,048,410.87","14,068,959.01"
预收款项,"10,222,966.89","14,340,427.41","3,999,248.06","3,604,792.10","8,185,979.92","3,023,810.83","6,586,684.36","6,871,564.04","11,654,411.12","4,263,547.17","5,983,611.53"
其他应收款,"1,230,229.08","10,277,044.98","11,665,419.46","11,815,078.67","7,852,887.24","5,869,486.61","3,140,158.39","5,773,307.04","1,142,591.86","638,557.61","544,752.84"
应付职工薪酬,"8,044,335.68","11,630,391.10","14,444,652.63","12,816,890.74","13,020,479.47","22,930,374.88","14,701,873.66","15,320,279.25","16,191,897.69","17,689,875.77","14,282,301.12"
应收关联公司款,,,,,,,,,,,
应交税费,"4,864,783.76","3,105,381.62","4,167,551.21","4,890,920.51","7,298,251.53","3,869,222.51","5,359,637.14","5,897,861.33","4,958,783.14","4,143,705.17","4,125,142.58"
应收利息,,,,,,,,,"1,040,635.61","1,013,721.15","1,409,446.58"
应付利息,,"23,112.33",25.38,101.51,114.20,108.75,108.75,"31,444.44","27,912.33","31,444.44","31,444.44"
应收股利,,,,,,,,,,,
应付股利,"31,540,464.17",,,,,,,,,,
存货,"73,274,081.40","85,647,060.89","81,906,240.41","69,112,621.85","68,125,764.03","70,129,086.06","82,563,159.22","72,349,859.66","72,586,522.92","84,172,904.20","96,561,480.64"
其他应付款,"8,744,164.07","7,762,938.69","9,563,498.27","9,624,526.07","8,666,379.59","14,455,067.41","19,025,665.22","12,700,664.08","11,872,477.35","11,581,206.93","8,013,296.94"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,"1,707,275.75","4,233,785.73","11,812.59","142,123.38","329,669.70","964,558.97","5,187,920.71","144,141,502.41","197,815,759.73","197,680,866.69","256,261,745.40"
其他流动负债,,,,,,,,,,,
流动资产合计,"281,976,658.31","321,099,060.26","327,279,915.60","357,555,187.72","349,453,548.41","365,029,759.76","589,829,309.37","601,665,384.82","610,492,206.55","616,305,985.66","605,221,464.42"
流动负债合计,"91,180,154.69","95,116,154.78","59,542,744.52","63,584,129.10","62,556,434.25","77,004,783.59","81,889,036.75","95,201,849.11","100,789,969.00","108,125,292.22","94,141,704.56"
可供出售金融资产,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00"
长期借款,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,,,,
专项应付款,,,,,,,"6,112,939.60",,"5,866,540.36",,
投资性房地产,,,,,,,,,,,
预计负债,,,,,,,,,,,
固定资产,"58,379,572.00","60,982,815.09","57,787,582.09","54,323,085.58","53,448,273.94","52,574,040.78","51,771,394.67","53,705,756.04","52,587,844.33","54,710,181.52","71,604,644.55"
递延所得税负债,,,,,,,,,,,
在建工程,"1,550,248.45","328,040.28",,"1,526,218.55","6,890,118.87","13,676,768.82","28,142,907.45","41,418,633.47","60,425,666.64","78,413,046.56","78,710,752.90"
其他非流动负债,,,,,"14,771,838.72",,"8,387,499.80",,,,
工程物资,,,,,,,"2,645,939.95","7,090,791.44","8,104,746.36","2,068,347.63","1,259,671.77"
非流动负债合计,"7,714,534.66","7,721,736.18","7,178,937.70","14,907,538.38","14,771,838.72","14,636,139.06","14,500,439.40","15,364,739.74","22,583,440.08","22,642,928.12","22,506,236.00"
固定资产清理,,,,,,,,,,,
负债合计,"98,894,689.35","102,837,890.96","66,721,682.22","78,491,667.48","77,328,272.97","91,640,922.65","96,389,476.15","110,566,588.85","123,373,409.08","130,768,220.34","116,647,940.56"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","100,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00"
油气资产,,,,,,,,,,,
资本公积,"126,993,058.48","126,993,058.48","126,993,058.48","126,993,058.48","126,993,058.48","126,993,058.48","320,213,058.48","272,634,191.84","272,634,191.84","272,634,191.84","272,634,191.84"
无形资产,"8,733,559.99","9,327,016.23","9,040,472.47","8,897,200.59","8,165,564.65","8,113,928.71","10,096,585.62","10,034,761.23","9,972,936.84","10,303,714.81","10,230,859.90"
盈余公积,"3,460,684.39","7,647,824.12","12,590,795.76","12,590,795.76","12,590,795.76","18,182,990.18","18,182,990.18","18,182,990.18","18,182,990.18","26,086,994.28","26,086,994.28"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,,,
商誉,,,,,,,,,,,
未分配利润,"28,771,505.85","60,047,593.59","94,615,796.91","114,581,832.60","131,973,258.96","136,211,206.35","153,696,511.93","163,708,896.19","188,230,734.79","197,194,896.99","209,110,731.20"
长期待摊费用,,,,,,,,,,,
少数股东权益,,"1,029,239.52","662,498.82","500,289.64",,,,,,,
递延所得税资产,"1,491,600.81","1,918,674.81","2,816,798.03","3,132,166.60","2,996,045.35","3,504,751.24","3,913,505.05","3,843,984.67","3,478,090.43","3,121,535.97","3,488,620.67"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,"3,911,184.00","9,008,905.61","30,297,656.45","33,416,773.39","31,449,075.01","27,682,698.04","38,526,297.13","43,642,835.76","37,079,253.06"
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"76,154,981.25","78,556,546.41","79,556,036.59","82,887,576.93","107,797,659.26","117,286,262.94","134,019,407.75","149,776,624.89","179,095,581.73","198,259,662.25","208,373,802.85"
所有者权益(或股东权益)合计,"259,236,950.21","296,817,715.71","340,114,269.97","361,951,097.17","379,922,934.70","390,675,100.05","627,459,240.97","640,875,420.86","666,214,379.20","683,797,427.57","696,947,326.71"
资产总计,"358,131,639.56","399,655,606.67","406,835,952.19","440,442,764.65","457,251,207.67","482,316,022.70","723,848,717.12","751,442,009.71","789,587,788.28","814,565,647.91","813,595,267.27"
负债和所有者(或股东权益)合计,"358,131,639.56","399,655,606.67","406,835,952.19","440,442,764.65","457,251,207.67","482,316,022.70","723,848,717.12","751,442,009.71","789,587,788.28","814,565,647.91","813,595,267.27"
