科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"1,260,165,718.00","1,362,562,903.00","1,512,424,774.00","1,377,992,593.49","1,470,672,826.23","1,958,031,853.79","1,700,741,589.57","1,702,002,298.71","1,724,877,073.39","1,880,806,097.00","1,174,409,168.06","1,449,224,717.36","1,421,870,847.11","1,998,159,516.29","1,451,389,372.32","1,607,906,111.14","1,668,129,318.26","1,897,794,077.61","1,806,196,194.57","1,778,346,387.08","2,396,316,855.50","3,261,735,812.98","2,529,379,407.29","2,433,951,595.34","2,782,101,130.76"
短期借款,"156,000,000.00","425,726,315.00","965,467,831.00","887,660,709.85","974,817,359.80","372,741,432.98","340,701,087.76","179,029,935.34","351,500,112.16","292,437,410.89","570,103,461.97","729,346,585.02","1,478,317,157.03","1,644,532,646.15","1,630,736,964.04","1,651,776,686.80","1,775,319,519.49","1,938,954,945.26","1,946,705,193.58","1,662,513,030.08","1,695,330,655.36","1,579,448,510.67","1,598,882,413.43","1,531,432,918.74","1,844,228,862.64"
交易性金融资产,"28,941,581.00","251,993,572.00","77,397,475.00","225,201,480.87","204,404,494.03","306,801,244.30","344,132,781.07","356,464,826.00","371,534,281.47","359,095,259.97","326,870,451.18","328,367,698.16","353,036,886.78","354,360,150.44","482,860,629.63","387,448,309.50","494,277,636.12","414,865,981.64","245,234,688.05","146,888,383.56","395,782,588.78","62,657,466.94","76,395,423.52","75,288,483.83","69,187,852.75"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"395,472,182.00","969,717,969.00","1,538,507,434.00","987,421,317.67","955,509,591.82","1,292,596,109.53","815,903,170.59","1,109,806,207.82","1,146,794,567.28","1,269,769,186.51","990,414,171.22","541,221,022.54","793,247,045.94","940,748,139.33","1,008,020,970.31","598,838,189.57","597,402,371.30","629,595,676.71","776,643,867.30","576,550,822.50","569,037,635.37","554,932,731.17","664,425,820.21","267,934,847.82","528,903,359.69"
应付票据,"547,855,755.00","544,516,230.00","585,042,122.00","656,517,555.29","676,451,761.76","518,133,273.90","647,468,640.14","728,842,388.06","778,042,886.19","654,280,892.01","850,056,210.31","1,172,880,166.05","1,304,351,810.55","916,374,670.17","780,560,379.28","844,155,972.59","1,319,848,093.07","1,299,804,364.19","1,090,710,707.33","1,067,346,529.84","1,477,621,655.67","1,417,113,769.49","1,310,717,664.01","1,126,396,121.71","1,244,710,746.15"
应收账款,"555,635,485.00","586,013,465.00","852,711,879.00","1,962,988,962.90","2,297,008,496.16","976,393,621.78","2,185,990,933.64","2,187,703,132.94","2,382,676,650.96","1,052,136,527.51","2,198,643,985.31","1,915,149,707.54","2,007,518,956.80","879,355,043.69","1,354,098,136.88","1,233,892,092.34","1,273,529,579.00","846,592,058.32","1,040,514,424.62","730,127,362.71","821,977,720.83","674,313,323.03","1,273,326,911.44","1,349,249,833.15","1,351,804,228.59"
应付账款,"1,182,570,142.00","1,482,348,102.00","1,608,178,690.00","1,970,756,502.29","2,028,758,519.00","2,030,232,204.62","2,362,524,571.87","2,485,426,357.80","2,285,698,721.34","2,092,327,515.11","2,507,428,498.76","1,828,402,806.09","1,915,653,667.89","1,350,582,485.03","2,287,223,402.71","2,178,426,474.24","2,266,017,081.89","1,526,746,992.98","2,648,086,036.66","1,915,944,631.34","2,182,516,276.02","1,384,168,457.64","2,341,637,957.92","1,378,312,882.07","1,728,768,342.56"
预付款项,"395,151,633.00","369,520,110.00","107,784,782.00","115,994,328.76","161,800,244.77","167,219,467.11","185,554,534.55","204,039,082.80","210,867,140.32","194,517,133.34","241,416,018.20","178,370,737.67","279,137,569.35","292,088,912.74","166,675,918.19","147,289,406.48","126,182,796.40","60,933,298.85","127,350,296.02","122,988,075.82","100,685,691.21","143,734,037.70","156,132,579.46","115,852,597.35","163,185,099.67"
预收款项,"288,423,005.00","562,785,185.00","242,982,036.00","133,659,397.65","139,413,956.81","224,931,475.57","239,401,905.96","146,526,105.20","147,105,819.56","260,598,324.36","259,672,975.26","156,139,082.00","185,441,838.17","266,897,178.83","133,699,328.92","119,920,955.00","135,188,885.53","303,082,198.22","262,454,166.80","197,065,848.31","155,366,384.30","199,663,201.54","140,524,275.96","142,196,566.61","127,673,095.60"
