科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"988,733,941.12","1,339,618,843.57","1,487,809,450.90","573,155,123.84","841,755,611.33","1,512,176,853.57","138,357,868.37","602,573,346.65","940,482,530.07","1,652,456,137.22","182,776,834.02","758,793,667.61","1,130,862,741.34","1,957,990,044.30","172,344,694.20","756,256,346.92","1,112,565,036.74","1,593,370,137.28","137,778,616.42","611,933,273.09","839,315,427.12","1,239,718,100.95","139,894,853.94","584,642,695.91","854,290,181.52","1,179,314,586.23","147,172,064.91","463,701,042.20"
二、营业利润,"96,997,540.93","52,424,503.01","127,955,295.95","46,899,476.99","36,779,795.53","121,172,513.10","-56,198,349.60","35,414,566.14","34,004,115.87","149,311,919.36","-48,509,034.57","62,210,117.55","58,376,758.36","214,835,339.57","-46,984,351.16","62,243,177.94","58,572,787.25","120,207,822.55","-44,018,032.44","31,468,595.18","28,773,414.19","62,903,658.57","-41,795,078.59","35,013,483.05","32,827,192.88","40,850,947.67","-52,363,194.38","-19,308,735.28"
减:营业成本,"717,603,217.66","965,557,510.87","1,055,477,562.76","392,522,209.02","594,986,097.34","1,072,709,178.03","105,110,127.08","400,687,166.81","635,587,450.92","1,103,361,513.78","126,671,950.99","488,268,751.98","756,926,357.78","1,273,364,947.04","113,925,759.60","474,652,205.85","713,496,537.40","1,026,237,547.55","93,250,900.82","389,154,259.53","539,720,047.20","801,572,503.84","98,167,171.12","378,966,808.50","576,115,812.68","780,901,805.01","123,667,830.84","342,794,788.06"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,295,374.30","3,037,025.90","12,059,845.97","4,624,066.83","6,586,756.46","10,485,829.80","1,466,587.75","5,952,890.54","9,423,807.94","15,184,211.07","1,310,315.97","7,505,998.23","10,560,040.75","16,404,176.41","3,194,081.96","8,856,726.74","11,965,411.57","16,919,587.97","2,084,557.76","4,007,412.28","6,171,535.83","12,790,889.70","5,235,597.13","9,480,707.33","13,437,413.41","18,861,902.34","4,612,292.54","8,512,838.03"
营业外收入,"7,188,995.19","18,334,393.68","18,005,069.45","10,095,327.10","19,475,084.53","21,375,235.56","6,275,711.24","26,086,295.44","30,617,230.65","42,650,341.28","4,167,768.15","8,466,528.66","14,261,487.42","26,968,446.91","3,851,064.69","11,296,135.89","16,170,330.01","24,747,895.94","4,473,784.59","9,389,482.47","14,368,943.77","19,673,651.97","4,121,273.52","8,750,758.78","12,696,079.01","1,840,685.11","113,095.41","271,142.11"
销售费用,"93,223,459.55","135,932,545.63","153,072,828.01","75,503,726.06","116,609,673.88","161,456,047.51","53,047,900.70","88,453,945.21","147,992,995.41","215,675,001.33","67,686,586.10","115,831,014.14","185,642,066.23","243,379,860.25","59,784,719.73","102,937,529.55","167,828,007.32","208,046,034.59","46,486,431.87","87,102,775.14","125,458,534.66","170,527,789.69","44,844,104.76","89,127,139.70","126,662,751.08","175,236,521.40","40,957,771.59","78,183,621.55"
减:营业外支出,"665,497.61","2,543,491.53","122,865.66","1,299,240.53","6,879,077.47","2,013,346.66","260,099.52","-201,719.98","-109,720.30","457,293.65","68,744.07","69,217.40","70,036.13","14,630,096.50","2,029.85","16,922.33","70,397.29","289,205.05",62.03,"14,770.26","82,978.48","89,071.16","56,562.34","206,135.96","243,221.78","316,428.50","31,747.41","731,129.74"
管理费用,"66,725,001.09","157,778,211.57","105,794,127.98","49,384,627.69","83,099,208.74","119,140,624.31","33,513,680.51","59,183,544.26","99,577,859.21","140,310,971.65","38,306,310.19","70,199,517.60","108,274,318.47","167,095,942.95","43,501,900.89","84,056,038.87","132,846,024.18","174,874,365.22","42,751,255.24","86,844,221.95","127,218,158.99","149,036,768.98","34,373,551.60","59,550,921.61","89,983,460.66","124,191,962.20","31,189,118.41","66,107,559.74"
其中:非流动资产处置净损失,,,,,,"1,852,382.22",,,,,,,,,,,,,,"14,517.02","19,827.14","25,918.97","56,255.37","64,715.96","81,764.50",,,
