科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"398,688,395.17","442,583,841.74","595,618,971.85","365,758,664.84","550,157,531.02","741,550,241.12","163,628,121.60","416,710,201.59","605,956,354.33","763,620,061.70","173,386,000.42","383,468,553.54","501,538,455.19","607,674,624.77","167,944,250.62","429,421,723.20","569,101,771.24","717,389,683.38","96,534,098.39","249,275,128.01","426,170,153.11","627,755,814.67","126,422,632.73","295,669,677.88","522,716,234.32","788,072,861.21","172,489,865.90","406,750,279.45"
二、营业利润,"115,557,887.57","143,529,751.33","165,550,037.93","94,524,160.41","130,854,660.43","169,075,911.69","44,210,240.65","116,353,141.84","169,967,411.77","212,703,303.11","51,754,145.08","118,178,820.11","161,644,466.15","173,561,194.22","52,573,399.56","126,895,230.56","152,582,696.35","169,584,681.62","10,295,847.60","27,728,212.06","69,289,808.52","95,963,153.04","10,922,047.71","47,658,489.47","97,474,670.24","141,440,933.06","17,536,259.92","80,759,296.57"
减:营业成本,"218,841,506.51","227,010,422.92","318,943,983.55","202,490,754.01","318,294,170.08","429,563,885.74","96,657,851.64","244,130,539.13","358,386,355.00","443,972,338.31","99,282,193.98","211,851,340.93","268,476,755.76","329,695,898.10","93,567,679.91","249,431,537.91","336,420,737.62","422,025,814.64","56,938,166.61","157,143,954.79","251,656,239.99","373,693,202.25","80,366,922.39","182,764,170.31","327,934,155.19","500,935,343.88","110,975,748.30","240,677,259.73"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,276,902.79","6,589,530.87","5,927,634.48","4,116,500.21","5,684,362.94","8,340,755.39","1,298,686.67","3,184,216.75","4,862,034.79","6,767,117.58","1,097,662.99","2,483,993.88","4,281,765.47","6,906,178.53","860,806.58","1,971,964.60","2,995,113.59","4,602,934.35","1,036,542.45","1,525,343.66","3,483,637.01","7,940,374.21","1,873,762.31","4,284,822.11","6,536,247.58","9,817,842.01","2,173,876.58","5,210,199.35"
营业外收入,"2,717,665.43","4,440,163.21","8,419,614.54","13,696,822.56","19,965,660.09","37,569,128.48","694,000.01","11,683,725.91","17,155,330.86","28,463,071.70","1,560,522.50","7,847,606.55","22,363,169.13","35,840,634.21","1,950,962.89","6,565,615.89","12,167,352.20","28,514,816.89","2,077,970.61","7,087,159.51","11,389,118.13","27,370,929.01","6,813,951.40","192,032.51","259,035.37","193,675.90",,"209,897.58"
销售费用,"23,174,666.09","25,244,423.61","45,684,845.87","26,042,453.51","42,492,480.80","65,026,451.83","12,954,629.83","21,418,780.51","29,176,144.70","44,392,236.65","7,835,276.88","21,315,137.17","31,129,954.53","44,980,758.61","9,513,806.93","19,036,864.47","29,539,725.72","42,267,533.82","11,964,290.32","23,640,410.83","38,487,549.31","57,667,945.01","13,096,662.85","25,326,716.17","41,287,629.91","65,773,983.20","23,315,482.57","46,800,292.98"
减:营业外支出,"228,772.44","109,393.41","47,254.82","163,996.26","173,996.26","1,247,819.94",,"218,242.00","251,242.00","334,705.27","83,019.09","160,683.84","160,683.84","168,910.00","4,411.76","297,732.14","310,478.26","315,181.52","44,217.32","45,595.27","67,810.36","200,884.19","1,024,500.00","1,040,604.29","1,188,787.53","1,856,742.13","20,336.13","137,373.10"
管理费用,"41,740,971.94","45,361,795.18","57,346,401.31","30,855,547.73","47,044,152.86","71,178,397.96","12,281,213.76","31,411,134.97","48,777,925.53","74,342,082.89","23,241,204.25","39,404,588.21","56,452,859.80","85,327,539.77","17,577,960.98","35,033,305.91","56,159,653.06","81,509,386.97","16,088,706.77","36,301,456.94","57,511,107.46","91,021,659.45","22,788,149.44","44,556,134.52","69,128,083.90","108,749,962.08","26,683,588.91","47,803,870.31"
其中:非流动资产处置净损失,"180,022.44","9,393.41","13,216.82",,,,,,,"21,463.27",,"11,864.75","11,864.75","20,090.91","4,021.76","297,336.76","310,077.50","311,622.91","23,408.74","24,704.85","24,704.85","25,637.75",,,"88,583.24",,,
