科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"71,517,350.10","57,343,821.82","74,394,499.64","89,470,772.43","49,091,806.76","78,484,813.89","119,967,467.74","115,817,251.80","97,421,910.46","76,439,136.88"
短期借款,"135,000,000.00","153,000,000.00","155,700,000.00","128,400,000.00","133,400,000.00",,,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,,,,,,,,,,
应付票据,,,"16,000,000.00","15,000,000.00","8,000,000.00",,,,,
应收账款,"111,822,742.37","104,264,959.73","166,446,752.75","148,550,142.05","159,765,225.05","198,395,771.90","172,486,549.82","178,271,181.20","190,275,290.36","173,471,406.39"
应付账款,"23,358,254.63","20,089,142.62","20,003,618.94","23,867,288.34","16,345,149.13","21,983,564.76","19,420,193.07","19,289,612.81","17,821,353.96","11,299,300.66"
预付款项,"472,097.53","669,471.23","2,762,660.45","16,134,727.72","1,986,838.75","911,604.31","803,919.89","4,225,095.26","6,032,684.19","1,854,157.42"
预收款项,,"731,740.00","1,475,098.62","16,751.48","4,123,065.95","5,126,975.94","30,087.85","27,084.05",,
其他应收款,"1,437,743.58","3,916,901.48","5,165,894.33","1,870,634.71","1,100,794.29","1,244,209.40","1,107,650.10","1,224,165.41","1,561,240.47","6,888,828.97"
应付职工薪酬,"2,082,605.17","2,021,405.46","2,322,621.62","2,178,214.16","1,646,485.32","2,334,311.01","1,404,871.27","2,074,581.47","1,974,564.85","2,879,459.51"
应收关联公司款,,,,,,,,,,
应交税费,"1,601,506.53","1,457,777.16","548,874.81","278,223.87","420,174.11","116,272.28","274,018.36","653,200.73","1,056,682.69","1,000,089.95"
应收利息,,,,,,"74,706.86","485,289.02","771,136.98","865,117.80","507,441.09"
应付利息,,,,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"90,069,474.00","169,713,925.70","170,086,566.75","169,658,032.17","219,775,832.83","203,727,172.65","202,474,665.34","152,114,017.46","161,669,051.61","235,167,044.81"
其他应付款,"2,608,377.11","2,642,708.68","2,643,560.11","89,663.26","89,038.80","6,123,217.89","5,016,238.80","1,668,221.17","1,648,668.80","1,640,493.72"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,"12,910,813.45","21,815,626.23","18,556,113.46","15,702,388.39","22,099,286.34","136,525,620.72","132,498,056.89","161,864,465.30","168,030,460.75","138,248,871.74"
其他流动负债,,"113,649.96","372,380.16","372,380.16","372,380.16","372,380.16","372,380.16","372,380.16","372,380.16","372,380.16"
