科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"394,760,429.59","398,626,485.75","161,025,102.08","267,528,050.26","361,185,611.42","74,578,091.68","192,950,905.27","306,079,223.82","439,242,607.43","92,859,546.28","231,064,920.83","376,502,442.05","526,576,132.48","114,049,380.63","258,201,363.16","400,472,391.00","537,442,758.41","73,944,508.86","252,581,200.32","405,865,932.18","533,648,187.53","135,548,446.18","282,032,507.42","432,042,258.20","540,563,748.75","94,610,968.69","233,496,584.24","379,718,153.80","452,992,601.10","95,549,097.19","228,036,851.21","362,953,186.08","475,348,273.80","103,699,209.57","244,594,568.12","358,772,548.70","528,982,962.95","176,678,930.68","467,070,381.08"
取得子公司及其他营业单位支付的现金净额,"2,659,784.00",,,,,,,,,,,,"147,713,133.10",,,,,,,,,,,,,,,,,,,,,,,,"23,150,730.12","146,896,000.00",
收到的税费返还,"5,075,148.10",,,,,"745,180.32","1,289,368.08","1,439,445.44","1,723,250.29","1,512,634.14","1,512,634.14","1,512,634.14","1,515,593.00","1,215,467.17","1,215,467.17","1,215,467.17","5,122,312.92","80,929.18","511,807.97","544,515.98","619,044.65","113,760.75","983,856.55","1,360,516.93","1,491,306.19","78,286.89","139,132.69","554,233.97","779,656.97","54,126.24","138,443.79","226,130.86","2,741,348.63","162,910.40","282,273.88","416,570.29","517,806.61","464,079.82","584,624.95"
支付其他与投资活动有关的现金,,,,,,,"7,350,000.00","7,350,000.00","40,000,000.00",,,,"35,600,000.00",,"10,000,000.00","10,000,000.00","10,170,148.00",,,,,,,,,,,,,,,,,,,"1,690,000.00",,,
收到其他与经营活动有关的现金,"2,792,548.52","2,312,674.71","410,965.90","678,742.97","3,712,121.53","746,906.00","1,955,466.43","2,433,525.87","3,883,643.29","1,417,392.74","2,773,325.36","4,631,885.22","19,796,643.93","2,591,983.54","3,170,496.62","5,138,015.10","7,667,827.93","5,325,653.92","7,728,731.22","16,333,802.12","22,399,870.04","5,639,158.42","5,173,143.98","6,262,137.09","16,507,982.33","2,401,141.62","9,870,461.05","10,558,514.39","25,649,326.01","4,459,666.50","12,621,334.06","15,464,755.93","9,039,488.63","6,104,451.67","15,899,714.05","26,383,930.83","18,339,350.66","7,192,370.85","21,279,569.98"
投资活动现金流出小计,"55,169,635.05","28,512,426.73","5,245,939.73","7,821,056.63","10,396,934.32","3,875,341.73","16,420,349.01","25,925,443.45","90,463,138.13","39,571,133.35","236,046,335.29","280,063,636.90","326,492,475.83","38,983,000.19","96,046,260.46","119,785,732.72","172,465,481.09","11,865,388.21","19,756,490.95","21,686,472.11","37,496,213.74","4,109,850.25","4,576,983.56","5,978,362.08","14,175,571.50","6,682,777.06","13,697,944.09","24,411,842.10","391,711,560.51","68,057,621.41","204,632,880.11","319,444,147.86","371,298,419.68","5,718,907.01","128,482,909.87","240,071,462.93","324,814,289.59","234,683,152.53","592,207,616.40"
经营活动现金流入小计,"402,628,126.21","400,939,160.46","161,436,067.98","268,206,793.23","364,897,732.95","76,070,178.00","196,195,739.78","309,952,195.13","444,849,501.01","95,789,573.16","235,350,880.33","382,646,961.41","547,888,369.41","117,856,831.34","262,587,326.95","406,825,873.27","550,232,899.26","79,351,091.96","260,821,739.51","422,744,250.28","556,667,102.22","141,301,365.35","288,189,507.95","439,664,912.22","558,563,037.27","97,090,397.20","243,506,177.98","390,830,902.16","479,421,584.08","100,062,889.93","240,796,629.06","378,644,072.87","487,129,111.06","109,966,571.64","260,776,556.05","385,573,049.82","547,840,120.22","184,335,381.35","488,934,576.01"
投资活动产生的现金流量净额,"-55,113,877.05","-28,386,326.73","-5,158,935.03","-7,692,373.93","-10,246,177.30","-3,869,874.64","-16,370,262.75","-25,885,467.82","-88,155,443.57","-39,507,377.21","-234,974,362.08","-278,930,733.86","-316,407,129.29","-38,743,667.63","-95,649,651.81","-119,386,623.11","-172,066,371.48","58,135,553.33","91,704,531.37","89,834,396.75","115,110,532.24","-4,068,265.64","15,314,633.45","14,033,635.76","6,769,788.39","-5,905,949.18","-12,465,319.54","-21,695,161.31","-36,636,312.10","-2,242,938.18","-5,657,313.80","-22,582,876.83","-42,090,788.30","9,300,943.90","55,881,336.34","35,588,131.67","-1,464,145.85","-128,991,338.90","-343,250,817.49"
购买商品、接受劳务支付的现金,"236,722,432.68","245,994,800.06","82,989,572.92","112,910,663.26","187,128,249.33","46,510,129.77","114,806,576.54","176,309,887.76","258,685,080.14","69,750,738.38","152,283,399.94","247,929,836.20","353,938,208.44","57,258,284.10","186,405,887.37","257,323,730.71","336,327,890.15","75,704,546.11","175,134,982.59","248,227,756.79","304,074,433.66","70,207,520.28","146,855,760.74","221,335,900.61","252,210,452.45","55,443,421.15","119,286,259.44","196,612,518.14","207,072,903.87","69,289,748.76","132,590,049.16","190,274,861.20","223,838,065.46","66,948,061.34","145,467,273.30","194,916,792.51","306,224,856.55","133,179,486.06","307,391,791.97"
吸收投资收到的现金,,,,"499,100,000.00","481,645,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,000,017.30","317,000,017.30"
