科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"354,639,770.44","431,094,476.11","187,009,686.76","454,071,323.40","312,376,468.56","520,854,242.18","695,941,491.54","214,569,911.56","427,775,883.22","609,030,473.80","805,550,524.35","303,177,170.57","508,045,336.25","805,578,151.99","1,028,039,084.14","245,137,502.33","508,852,608.55","817,084,435.16","1,073,190,207.67","360,274,943.38","669,818,444.64","990,645,849.34","1,245,694,889.44","527,503,271.92","1,060,308,561.31","1,593,085,640.76","2,279,451,896.64","582,526,473.41","1,271,838,363.42","1,923,904,283.81","2,411,502,971.77","740,926,733.23","1,590,334,136.26","2,589,979,617.92"
取得子公司及其他营业单位支付的现金净额,,,,,"369,011.75","399,322.75",,,,,,,,,,"371,350.60","1,961,646.33",,"15,542,401.46",,,,"156,704,454.06",,,,,,,,"163,558,795.68",,"217,434,412.42","217,470,721.42"
收到的税费返还,"13,705,815.73","16,266,435.66","5,833,432.08","8,696,765.57","8,699,134.55","12,724,799.29","11,697,064.65","2,041,173.46","5,409,134.17","8,476,113.88","10,100,441.09","1,805,466.93","5,958,329.59","8,022,228.13","10,555,921.48","3,540,008.10","5,279,078.97","10,548,111.47","8,056,881.25","4,255,697.61","7,599,768.01","13,830,027.74","19,150,442.01","9,860,392.70","17,357,851.92","28,803,332.60","42,083,938.93","3,609,930.44","4,347,448.21","12,732,461.77","20,232,720.21","5,191,692.64","10,698,977.88","24,367,158.14"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"219,693.60",,,,,"7,264,235.34",,,,,"17,110,000.00",,,,"50,000,000.00",,,,,"6,248,916.84","1,190,000.00","11,307,519.69"
收到其他与经营活动有关的现金,"45,238,898.01","7,646,270.59","7,188,870.98","9,139,390.27","5,692,014.63","8,878,558.43","10,183,217.04","4,256,482.52","11,895,603.29","19,467,287.95","19,863,855.53","3,458,304.30","5,757,946.21","10,042,617.49","12,410,854.41","3,623,038.89","50,556,658.25","50,007,946.54","27,295,277.74","4,007,779.01","11,935,683.89","23,895,766.30","27,106,916.32","14,038,116.10","23,129,836.10","39,133,470.43","50,639,753.18","11,213,390.61","28,915,047.16","59,376,369.86","60,191,073.08","12,510,274.28","32,185,328.16","69,187,503.53"
投资活动现金流出小计,"63,484,752.37","76,295,806.30","4,226,212.23","32,156,206.19","14,448,750.89","26,108,970.17","66,377,098.90","29,180,021.06","51,335,853.66","110,829,680.79","142,583,326.67","70,468,295.82","86,168,570.48","119,378,250.24","199,180,594.38","36,866,182.30","151,279,345.06","235,581,267.18","288,272,893.76","70,455,112.34","165,277,232.75","235,835,662.86","584,086,371.03","57,448,074.67","122,837,207.58","182,272,405.02","395,803,209.93","282,981,573.35","302,734,918.93","399,319,116.44","549,998,307.69","120,650,411.65","385,241,879.02","557,596,617.64"
经营活动现金流入小计,"413,584,484.18","455,007,182.36","200,031,989.82","471,907,479.24","326,767,617.74","542,457,599.90","717,821,773.23","220,867,567.54","445,080,620.68","636,973,875.63","835,514,820.97","308,440,941.80","519,761,612.05","823,642,997.61","1,051,005,860.03","252,300,549.32","564,688,345.77","877,640,493.17","1,108,542,366.66","368,538,420.00","689,353,896.54","1,028,371,643.38","1,291,952,247.77","551,401,780.72","1,100,796,249.33","1,661,022,443.79","2,372,175,588.75","597,349,794.46","1,305,100,858.79","1,996,013,115.44","2,491,926,765.06","758,628,700.15","1,633,218,442.30","2,683,534,279.59"
投资活动产生的现金流量净额,"-63,142,865.69","-58,578,669.53","-2,864,472.00","-23,355,597.35","-14,259,552.79","-25,716,505.61","-64,741,275.04","-29,180,021.06","-51,135,853.66","-110,134,015.79","-141,356,231.78","-70,468,295.82","-85,779,830.90","-119,281,450.24","-195,617,592.93","-35,937,662.30","-149,165,509.52","-224,833,055.40","-263,346,338.59","-69,874,079.24","-164,335,160.86","-234,233,960.97","-570,254,280.22","-56,909,104.67","-115,584,103.58","-169,898,601.02","-372,836,580.12","-223,205,249.03","-296,336,458.91","-392,767,346.42","-518,356,522.95","-108,049,875.85","-371,609,286.07","-537,718,741.72"
购买商品、接受劳务支付的现金,"189,866,860.62","249,425,730.80","101,343,560.59","279,974,582.13","208,371,049.22","306,517,566.73","416,423,858.90","119,986,914.14","225,291,343.89","327,399,838.78","434,572,408.36","104,969,473.89","223,485,934.16","388,801,704.94","519,630,031.89","147,823,189.68","309,259,291.89","521,197,785.84","663,192,818.01","225,644,308.03","401,092,731.70","652,965,407.49","778,979,561.54","331,979,209.29","670,071,971.61","1,012,110,929.60","1,380,770,966.95","390,312,577.82","855,575,067.31","1,119,203,183.62","1,344,220,575.25","474,951,542.27","1,065,413,305.85","1,771,931,153.18"
吸收投资收到的现金,"55,173,718.86","3,393,547.02","1,499,521.68","1,498,151.11",,"475,386,772.50","467,458,811.84",,,,,,,,,,,,,,,,"256,503,995.52",,,,"14,511,000.00",,"16,719,400.00","16,719,400.00","17,669,400.00",,,"21,092,840.00"
