科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"126,130,010.95","210,836,228.33","403,091,199.78","342,011,394.34","2,228,152,356.61","1,962,499,126.11","1,816,548,783.38","1,672,057,795.65","1,598,889,041.59","1,499,057,226.73","1,546,117,251.67","1,171,890,506.64","1,005,235,470.06","709,634,561.29","705,831,610.91","743,045,467.89","708,967,879.03","401,534,623.26","460,789,483.19","426,863,555.00","345,121,164.67","430,589,964.75","388,504,164.47","417,016,113.81","369,403,414.72","534,058,961.49","1,695,389,771.39","846,770,484.87","889,097,972.22","802,679,160.15","701,078,301.00"
短期借款,"30,000,000.00",,"160,000,000.00","205,000,000.00","191,000,000.00","155,000,000.00","155,000,000.00","90,000,000.00","80,000,000.00",,,,,,,,,,,"60,000,000.00","110,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,,
交易性金融资产,,,,,,,,,,,,"320,000,000.00","300,000,000.00",,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"18,749,199.55","28,264,336.87","35,371,433.32","101,496,908.65","401,283,155.68","210,231,151.58","44,696,304.16","28,531,753.44","44,341,574.35","86,083,180.13","126,634,126.32","67,142,985.97","125,725,275.96","142,068,332.95","70,641,979.29","98,125,485.85","95,422,929.46","98,609,072.00","138,245,634.15","120,839,949.49","188,876,502.58","245,683,778.39","179,342,194.43","289,022,099.71","348,776,156.10","498,305,766.28","654,313,306.00","281,490,381.02","527,854,141.79","754,815,950.83"
应付票据,,,,,,,,,,,,,,,,,,,,"40,000,000.00","40,000,000.00",,,,,,,,,,
应收账款,"71,895,089.36","167,683,129.42","167,522,068.39","206,701,673.08","306,957,455.10","184,794,006.20","422,486,855.96","310,292,700.25","212,024,721.85","177,913,539.57","161,592,798.99","136,219,524.41","229,420,889.98","189,901,967.51","270,143,845.81","386,888,408.93","391,872,514.70","239,620,069.61","408,627,680.89","629,890,231.27","666,762,860.52","335,030,139.27","569,645,915.58","656,700,227.65","760,083,378.04","481,515,328.59","816,196,300.41","705,530,457.05","884,039,152.67","688,616,034.92","1,009,087,871.56"
应付账款,"46,399,836.65","115,871,472.93","86,529,184.64","78,118,284.81","57,799,675.49","72,769,109.47","68,854,851.61","69,632,938.81","113,999,390.42","69,809,201.02","96,771,069.77","124,992,116.68","204,297,119.47","141,896,471.29","184,477,937.52","219,753,894.55","211,003,271.63","247,075,661.89","200,028,477.64","308,710,229.68","462,343,820.31","373,245,867.43","327,404,280.66","424,800,705.07","416,893,907.76","307,709,994.77","451,518,198.19","563,020,388.64","342,027,436.72","353,045,190.34","389,435,665.13"
预付款项,"101,699,092.94","194,959,907.27","82,579,962.97","189,193,779.63","219,673,277.91","276,639,675.85","333,603,972.57","428,554,161.66","426,913,913.63","373,014,616.58","433,206,037.82","462,080,748.09","609,852,760.16","411,672,304.60","551,549,127.86","506,072,195.06","665,837,721.70","150,673,572.90","142,466,502.71","100,927,618.44","272,157,159.66","126,845,737.97","87,876,104.00","80,715,430.78","125,130,420.27","59,137,851.34","173,294,602.99","146,218,033.44","250,950,769.40","92,609,672.67","131,821,350.32"
预收款项,"19,923,597.52","60,581,457.18","45,261,312.40","36,514,638.72","44,792,103.45","28,801,553.66","42,225,964.79","53,244,564.79","43,387,561.22","22,472,102.11","64,562,258.49","98,746,419.25","38,514,440.69","52,796,154.00","50,155,000.90","53,751,888.39","45,215,761.73","53,008,971.21","39,042,835.97","50,821,540.13","49,793,865.28","60,782,506.58","69,554,606.54","64,305,130.66","83,463,774.53","99,347,150.78","84,311,585.12","106,828,937.99","76,839,920.79","100,089,962.13","69,969,740.16"
其他应收款,"78,166,646.35","192,134,350.52","1,237,480.29","27,819,042.07","34,328,809.24","30,638,882.24","83,627,717.68","209,919,137.94","244,945,280.91","144,536,911.74","112,966,946.83","184,194,678.99","191,379,313.22","148,220,142.71","124,985,043.11","114,944,420.27","120,913,332.33","101,808,843.06","83,277,888.54","116,031,512.00","150,842,748.15","133,674,073.43","70,306,834.90","45,612,407.38","71,558,516.40","49,108,908.62","97,137,812.21","99,256,682.10","113,402,181.46","60,328,154.06","64,120,037.51"
应付职工薪酬,"3,360,612.19","15,656,048.96","21,236,132.54","14,649,110.66","14,705,004.92","17,614,278.03","23,927,780.44","2,666,854.44","2,525,659.17","9,980,734.78","14,258,703.00","13,221,054.97","11,933,794.91","15,285,841.25","12,783,669.13","12,756,704.84","12,681,749.45","11,308,513.39","12,592,645.90","12,477,753.22","8,262,488.85","16,094,583.92","12,731,326.06","12,506,649.74","12,431,847.88","20,820,660.99","9,982,107.34","10,466,844.49","9,479,865.84","19,863,177.48","13,448,017.35"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,776,377.27","110,777,325.37","142,977,891.00","53,165,818.10","62,287,128.06","37,415,195.13","19,442,303.63","845,571.28","4,197,880.97","1,694,713.74","377,629.97","-6,538,571.30","34,671,441.65","-1,312,459.60","21,106,267.35","36,932,405.38","43,654,049.39","24,051,894.00","45,867,470.90","83,535,281.33","62,664,429.54","40,156,034.10","23,005,715.70","76,850,303.81","78,978,441.29","106,074,380.69","139,657,010.81","106,656,259.77","88,209,631.22","89,769,668.28","79,768,151.09"
应收利息,,,,,,,,,,,,,,"7,359,781.17","4,939,087.03","4,166,315.60","1,650,579.88","1,541,916.70","1,158,496.76","970,613.93","60,177.70","480,629.68","328,564.50","258,484.91","261,988.34","250,655.79","822,063.55","8,224,684.84","12,599,856.90","9,756,269.26","7,170,332.18"
应付利息,,,,,,,,,,,,,,,,,,,,,,"63,888.89",,"56,712.00",,"108,750.00","108,750.00","1,727,402.59","219,356.79",,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,"13,883,659.31",,,,,"35,160,836.40","31,561,104.40",,,,,,,"44,601,179.65","14,865,156.70","1,148,620.00","1,148,620.00","2,209,822.58","1,807,819.74","1,745,598.77","1,745,598.77","32,143,491.96","30,844,632.07","2,191,393.45","2,191,393.45","45,752,880.64","145,995.90",,
