科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"2,025,700,399.59","1,649,345,588.01","2,143,820,269.05","567,613,752.37","1,142,442,888.23","1,901,980,057.39","2,738,839,772.48","551,654,108.82","1,166,293,590.73","1,949,754,620.21","2,749,847,176.42","628,070,747.10","1,244,401,976.73","2,068,697,017.25","2,988,447,898.10","638,242,477.57","1,365,155,847.67","2,217,485,355.42","3,113,231,429.43","761,686,960.72","1,504,547,593.12","2,390,212,992.38","3,311,372,569.86","860,855,341.43","1,655,847,883.34","2,532,158,022.17","3,513,011,838.49","799,497,081.98","1,600,144,160.31","2,509,962,785.95","3,602,738,165.48","1,026,891,081.61","1,874,429,650.26"
二、营业利润,"136,469,432.32","123,590,532.55","193,035,025.22","47,664,063.85","92,898,445.94","175,051,122.44","281,197,037.79","74,606,954.49","138,941,896.10","258,597,394.04","362,624,021.10","77,590,660.94","124,639,867.68","194,449,347.79","296,387,695.01","72,509,115.79","133,929,522.58","247,311,550.50","350,380,406.08","94,521,871.95","189,916,549.22","335,777,478.65","441,400,867.13","128,360,932.76","226,028,897.37","339,890,850.38","432,469,446.58","94,233,661.10","203,457,745.23","320,555,148.20","366,663,365.45","106,128,665.66","208,752,650.42"
减:营业成本,"1,544,316,800.23","1,187,776,490.48","1,557,528,712.59","442,730,071.50","871,168,047.75","1,397,193,174.31","1,949,870,889.11","391,060,513.30","808,749,430.55","1,330,407,934.52","1,901,583,489.09","448,301,410.40","903,731,503.85","1,511,913,815.55","2,159,430,314.76","446,350,517.63","960,131,129.36","1,544,006,544.96","2,149,381,729.24","521,924,519.27","1,018,814,318.97","1,599,995,250.97","2,233,920,376.42","586,591,334.90","1,133,575,074.33","1,735,207,827.49","2,421,653,303.99","553,717,871.76","1,114,395,132.71","1,741,225,186.45","2,525,908,572.70","729,784,205.10","1,321,220,680.70"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,868,692.04","1,740,345.62","2,581,584.31","767,304.30","3,532,753.46","12,901,966.47","17,215,406.52","918,050.62","6,765,024.38","16,531,746.68","19,544,903.09","4,832,624.45","10,830,553.28","18,757,743.21","22,880,627.63","3,462,862.49","10,178,826.39","18,106,862.14","24,958,153.74","6,564,435.48","12,616,687.35","19,395,485.77","24,838,645.64","6,356,325.35","12,245,306.44","19,186,651.58","40,755,956.90","5,465,264.66","15,038,957.21","27,252,412.63","42,632,501.22","9,386,831.94","20,196,848.30"
营业外收入,"7,669,182.50","11,825,158.10","11,908,725.75","3,695,733.43","6,252,023.36","11,046,490.38","13,301,555.45","1,476,925.08","13,384,785.61","21,680,743.35","25,182,090.49","5,021,708.85","15,110,417.75","41,706,167.09","44,997,618.54","5,136,765.28","18,447,232.19","24,042,712.59","31,899,682.39","1,263,341.19","7,332,303.18","23,661,333.03","40,123,104.20","2,268,419.13","16,002,757.97","35,608,994.39","39,706,241.88","10,837,012.98","2,234,480.82","5,076,253.85","53,677,185.34","8,856,264.36","25,150,092.85"
销售费用,"246,203,890.98","248,892,200.58","282,038,536.23","49,281,765.52","135,328,449.47","255,248,020.41","391,790,311.25","66,402,900.39","166,871,958.16","269,665,879.25","351,833,313.44","76,077,102.00","149,681,363.87","254,367,681.72","376,061,823.37","84,523,119.13","189,943,312.30","298,121,037.43","412,072,593.90","101,412,453.42","203,769,726.34","314,149,947.05","432,888,481.99","107,661,810.83","209,703,392.28","318,892,027.66","450,745,525.71","110,166,441.59","220,154,069.94","354,721,698.04","488,865,088.45","139,803,504.20","244,457,635.68"
减:营业外支出,"9,232,816.43","2,787,186.40","5,900,402.81","590,566.20","1,514,438.25","1,689,336.99","4,996,438.50","681,992.33","2,675,441.39","4,016,667.64","4,470,157.40","549,273.81","3,096,041.12","4,362,557.80","12,615,718.99","1,303,160.96","2,035,209.46","2,183,310.42","6,421,428.23","948,829.64","4,953,489.24","5,165,518.23","7,277,724.75","323,333.20","1,362,532.31","1,550,621.38","2,307,311.78","207,715.79","660,085.64","1,418,115.26","3,194,223.05","506,667.97","702,705.22"
管理费用,"78,484,213.55","76,950,021.70","106,554,115.59","25,073,958.17","55,627,781.32","91,733,243.79","144,965,580.87","31,739,439.79","73,573,554.57","118,447,053.29","168,636,662.47","37,208,236.61","82,039,194.23","131,150,311.73","185,776,384.71","43,828,965.27","95,437,740.63","146,301,062.32","203,410,620.04","46,040,863.03","99,160,701.40","153,091,235.74","214,567,695.57","43,712,459.56","95,681,040.92","149,048,351.91","202,358,078.94","46,348,486.65","97,079,898.96","146,284,074.79","209,921,471.27","47,957,337.61","112,138,369.51"
其中:非流动资产处置净损失,"4,225,389.90","351,281.82","3,832,558.17",,"500,338.01","696,821.18","2,802,614.70","-47,023.64","-1,801,674.91","2,378,997.02","3,230,690.55","-109,514.81","645,768.04","2,561,089.51","4,317,483.87","1,126,285.48","1,453,523.33","1,494,191.32","3,009,948.67","84,868.15","3,916,882.37","4,008,664.77","5,756,716.67","206,678.17","1,181,244.58","1,314,823.50","1,759,474.33","52,667.93","130,952.35","413,529.21",,,
