科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"219,542,699.20","271,128,766.30","362,293,657.16","187,535,391.45","329,698,695.76","425,740,608.55","110,618,367.42","231,579,176.55","373,154,187.97","499,238,952.03","112,017,582.19","203,191,048.21","343,576,204.58","448,420,649.20","130,922,369.16","291,572,735.66","538,311,553.04","884,669,554.42","415,379,108.85"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"36,203,300.00",,,,,,"51,142,166.31","136,333,887.57",,
收到的税费返还,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,"90,000,000.00",,"410,000,000.00","599,105,837.74","835,173,890.14","40,000,000.00","80,000,000.00","110,000,000.00","150,901,073.01","30,000,000.00"
收到其他与经营活动有关的现金,"5,919,595.41","3,653,405.97","5,080,393.47","1,781,352.80","2,819,174.63","5,179,378.20","467,270.52","11,148,936.10","14,749,757.37","16,939,163.59","1,445,736.99","14,247,330.16","16,656,542.64","30,721,299.96","186,734.43","1,446,682.00","4,582,712.07","25,625,697.70","1,281,763.98"
投资活动现金流出小计,"41,018,244.49","16,220,164.92","49,241,420.34","37,401,310.32","62,799,808.71","107,546,870.40","116,847,809.02","123,560,386.82","179,992,772.53","315,501,345.02","217,601,594.18","502,399,578.82","724,057,085.67","993,604,635.59","143,167,489.21","236,808,423.41","405,864,718.56","858,523,501.04","100,117,706.96"
经营活动现金流入小计,"225,462,294.61","274,782,172.27","367,374,050.63","189,316,744.25","332,517,870.39","430,919,986.75","111,085,637.94","242,728,112.65","387,903,945.34","516,178,115.62","113,463,319.18","217,438,378.37","360,232,747.22","479,141,949.16","131,109,103.59","293,019,417.66","542,894,265.11","910,295,252.12","416,660,872.83"
投资活动产生的现金流量净额,"-39,504,244.49","-14,291,623.89","-48,010,320.34","-37,401,310.32","-62,799,808.71","-107,546,770.40","-86,647,734.15","-123,382,149.42","-179,814,535.13","-270,380,517.75","-127,348,169.52","-141,833,392.86","-183,455,899.71","-175,822,760.72","-56,841,562.28","-110,326,308.49","-103,048,052.58","-615,038,730.82","-47,251,914.94"
购买商品、接受劳务支付的现金,"133,636,228.44","173,558,659.20","204,646,089.30","103,795,079.38","193,458,578.66","229,818,000.59","62,180,455.09","140,238,863.92","228,779,019.62","271,667,944.59","62,595,231.99","107,558,904.64","214,235,018.20","235,798,360.07","92,002,555.70","164,936,494.43","307,838,887.34","494,797,795.74","216,956,916.27"
吸收投资收到的现金,,,,,"314,024,878.83","314,024,878.83",,,,,,,"128,327.37","128,327.37",,,"457,448,000.00","464,834,960.00",
支付给职工以及为职工支付的现金,"17,034,818.82","25,592,210.54","30,037,713.52","20,217,454.53","28,000,486.81","38,267,613.66","13,118,784.87","25,564,882.46","33,855,061.13","53,628,052.75","15,005,077.31","30,916,843.41","38,523,382.50","60,892,161.18","16,185,446.21","33,562,726.79","56,565,154.30","108,983,877.03","49,388,332.09"
取得借款收到的现金,"79,500,000.00","79,000,000.00","137,130,863.02","77,966,394.08","117,966,394.08","166,966,394.08",,"64,660,200.00","84,660,200.00","143,160,200.00","61,500,000.00","110,753,532.08","137,115,032.08","258,665,032.08","55,178,000.00","175,720,048.24","351,478,249.44","385,755,494.24","107,000,000.00"
支付的各项税费,"25,014,873.10","24,215,938.36","36,220,276.41","17,898,514.47","29,495,256.51","47,999,396.52","11,561,514.22","22,684,026.92","36,949,351.09","49,605,745.65","12,547,745.45","18,984,656.93","23,409,322.24","54,506,345.51","1,686,045.56","7,672,437.37","22,958,173.11","78,980,725.87","7,168,002.38"
收到其他与筹资活动有关的现金,,,,,"15,370,121.17","6,833,500.00",,"43,364,832.26","43,364,832.26","43,364,832.26",,"47,169,488.91","48,090,374.73","686,160.00",,,,"78,377,166.67",
支付其他与经营活动有关的现金,"21,055,441.61","21,935,760.57","28,581,053.74","14,680,978.62","20,229,933.61","34,163,612.60","4,495,049.17","25,770,145.88","32,232,014.16","52,569,256.28","8,830,927.36","40,385,277.34","49,875,645.24","69,303,599.74","10,611,001.98","40,800,759.17","74,819,433.90","109,243,279.68","41,161,334.23"
筹资活动现金流入小计,"79,500,000.00","79,000,000.00","137,130,863.02","77,966,394.08","447,361,394.08","487,824,772.91",,"108,025,032.26","128,025,032.26","186,525,032.26","61,500,000.00","157,923,020.99","185,333,734.18","259,479,519.45","55,178,000.00","175,720,048.24","808,926,249.44","928,967,620.91","107,000,000.00"
经营活动现金流出小计,"196,741,361.97","245,302,568.67","299,485,132.97","156,592,027.00","271,184,255.59","350,248,623.37","91,355,803.35","214,257,919.18","331,815,446.00","427,470,999.27","98,978,982.11","197,845,682.32","326,043,368.18","420,500,466.50","120,485,049.45","246,972,417.76","462,181,648.65","792,005,678.32","314,674,584.97"
