科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"308,421,691.94","248,303,613.50","138,732,648.49","128,978,625.65","164,409,114.24","215,343,981.44","14,122,948.61","36,850,839.25","63,197,277.76","122,171,519.97","35,902,750.77","93,104,316.44","132,276,816.94","239,198,204.92","26,974,697.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,"72,649.58","172,535.24","172,535.24",,,"301,900.58","301,900.58","159,690.76",
支付其他与投资活动有关的现金,"13,200,000.00",,,,,"50,000,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"42,844,382.50","28,741,315.12","25,728,299.60","12,994,077.08","15,381,960.43","16,008,944.28","7,632,100.22","16,940,706.25","20,403,055.01","22,607,647.75","1,132,081.75","7,494,442.33","15,078,181.77","6,308,030.02","4,757,843.63"
投资活动现金流出小计,"14,306,512.33","6,753,723.31","624,954.50","223,021.37","433,021.37","51,019,185.94","120,000,000.00","170,047,862.89","170,156,697.89","270,703,979.30","80,000,000.00","130,202,844.66","218,888,998.41","358,138,154.52","54,866,310.06"
经营活动现金流入小计,"351,266,074.44","277,044,928.62","164,460,948.09","141,972,702.73","179,791,074.67","231,352,925.72","21,827,698.41","53,964,080.74","83,772,868.01","144,779,167.72","37,034,832.52","100,900,659.35","147,656,899.29","245,665,925.70","31,732,541.19"
投资活动产生的现金流量净额,"-10,389,863.78","-6,753,723.31","-624,954.50","-223,021.37","-433,021.37","-37,819,185.94","-70,000,000.00","-50,047,862.89","-50,156,697.89","52,926,206.77","-80,000,000.00","-49,241,673.36","-87,368,552.55","-65,378,622.35","-54,866,310.06"
购买商品、接受劳务支付的现金,"219,788,992.26","202,312,653.84","82,560,298.55","79,591,887.01","106,898,600.45","164,911,780.75","32,569,414.68","57,743,205.14","86,746,330.96","104,091,178.85","38,207,245.92","85,974,876.52","149,884,355.32","239,841,307.88","22,526,281.16"
吸收投资收到的现金,,,,,"297,300,000.00","305,400,000.00",,,,,,"30,991,500.00","30,991,500.00","33,115,535.40","4,900,000.00"
支付给职工以及为职工支付的现金,"21,217,285.62","25,621,835.05","30,546,739.92","16,813,534.57","22,162,196.23","26,004,504.15","8,669,044.30","15,200,912.79","21,736,686.87","25,767,896.90","8,013,549.32","14,879,896.75","22,295,125.29","28,902,208.54","15,155,290.51"
取得借款收到的现金,"20,000,000.00","30,000,000.00","60,000,000.00","20,000,000.00","70,000,000.00","70,000,000.00",,,,"31,000,000.00",,"2,000,000.00","52,000,000.00","92,000,000.00","20,000,000.00"
支付的各项税费,"28,776,671.51","37,432,531.86","60,790,749.11","28,078,339.61","37,845,501.64","47,517,181.80","2,960,412.19","5,915,072.63","15,351,367.57","19,986,567.20","4,560,911.46","9,151,465.24","16,073,164.78","26,173,472.35","3,365,228.83"
收到其他与筹资活动有关的现金,,,,,"8,100,000.00",,,,,,,,,,
