科目,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"255,113,547.94","235,579,633.12","523,323,761.30","390,989,347.46","375,847,235.42","1,070,821,921.79","963,469,985.93","882,822,357.53","762,210,443.06","1,178,137,324.10","1,056,848,258.02","1,093,757,681.71","1,260,921,659.17","1,184,022,543.70","1,033,189,852.94","1,027,743,826.66","1,077,828,197.14","980,670,305.16"
短期借款,"20,000,000.00",,,,,,,,,,,,,,,,"16,000,000.00","16,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,"569,200.00"
应收票据,"19,347,679.45","18,744,781.74","157,225,655.22","236,073,125.49","149,160,660.90","225,104,658.89","197,186,583.54","143,144,908.43","177,474,068.35","191,923,111.91","170,767,101.90","184,162,836.10","219,198,473.18","191,549,234.92","100,383,228.88","50,713,666.55","95,750,808.46","129,453,519.69"
应付票据,"85,651,523.17","66,938,139.15","276,908,517.54","388,248,874.61","354,100,449.20","269,312,527.27","263,043,504.46","276,989,638.05","260,714,313.11","271,852,266.56","312,030,198.89","348,274,936.32","397,181,543.51","335,949,785.19","252,569,337.69",,"249,444,952.95",
应收账款,"172,581,803.12","270,484,530.71","444,710,513.50","452,866,150.88","454,765,163.03","442,115,056.26","521,446,034.40","471,922,313.23","413,020,704.54","407,313,856.14","603,495,331.52","630,514,338.44","506,977,109.92","498,854,057.01","687,353,528.52","769,054,898.73","605,910,033.76","754,288,809.14"
应付账款,"124,082,998.09","272,100,878.61","413,413,968.65","283,253,149.04","311,698,188.29","307,077,514.92","301,737,179.40","318,375,180.11","358,529,107.54","419,533,228.01","533,569,458.32","479,944,038.97","390,906,880.86","414,018,843.53","385,798,541.21",,"415,497,651.27",
预付款项,"6,945,999.98","4,106,475.86","1,253,820.29","1,497,405.66","1,036,848.95","7,344,165.67","8,429,631.96","7,886,526.23","3,625,606.74","7,803,516.60","19,492,882.47","15,514,998.86","5,334,605.31","34,348,695.34","32,458,340.80","26,527,002.15","5,336,556.32","62,855,951.17"
预收款项,"3,252,047.98","1,413,015.73","3,256,308.76","6,008,133.29","3,574,665.59","15,526,288.94","10,395,843.60","6,753,958.31","13,284,889.77","13,524,233.34","10,530,374.10","13,061,790.24","12,484,964.33","7,969,608.29","25,005,550.71","23,579,097.58","4,601,467.57","10,058,599.12"
其他应收款,"4,009,733.26","2,560,847.21","4,927,113.54","8,543,582.30","6,792,456.29","10,301,089.16","7,742,926.41","6,526,740.49","6,649,219.88","9,950,902.82","14,515,854.36","14,125,856.07","17,818,676.52","42,100,318.35","32,287,761.58","14,687,167.63","32,748,788.22","16,430,137.57"
