科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"72,321,065.52","103,447,988.49","62,197,492.71","99,281,460.34","140,793,354.82","22,607,868.34","63,187,470.33","109,479,813.82","165,866,083.00","37,661,906.42","98,081,422.01","167,372,123.64","249,639,335.34","57,314,154.71","128,929,075.63","206,033,683.99","304,084,984.40","66,374,995.10","152,525,365.58","252,672,398.56","396,737,493.67","78,502,747.79","195,534,039.88","318,535,023.97","461,792,180.01","92,908,292.46","231,437,603.93","368,665,793.62","545,348,932.10","105,343,339.12","224,072,904.32","358,933,949.79","517,103,043.30","109,492,298.64","234,999,222.81","375,928,528.59","549,652,842.55","124,007,898.39","259,110,898.62","392,688,418.14","549,963,261.99","110,983,742.52"
二、营业利润,"15,265,557.47","19,737,998.46","12,127,769.51","20,098,756.83","28,058,453.72","2,559,178.70","11,538,167.24","19,905,831.42","26,562,315.35","3,701,762.01","14,148,011.69","27,221,311.08","38,234,915.83","6,926,520.19","15,873,312.84","24,571,302.13","34,814,481.68","2,781,070.97","12,707,950.00","23,691,103.21","44,748,922.24","4,657,176.79","18,528,008.08","41,635,965.39","53,514,453.72","8,200,033.32","21,016,384.75","32,854,885.46","38,243,315.76","5,362,226.83","10,474,282.54","15,468,933.67","24,795,096.74","5,985,067.29","10,606,843.40","13,459,275.07","16,933,268.45","5,379,802.84","15,581,422.90","18,007,306.12","-144,318,218.33","6,829,869.38"
减:营业成本,"36,417,270.02","55,364,479.49","32,124,210.15","52,465,734.81","74,976,684.14","11,884,519.98","33,852,923.08","59,280,511.53","91,919,981.09","21,312,772.59","53,625,296.11","93,133,405.26","139,415,843.93","34,060,484.58","73,794,911.37","117,356,881.42","171,652,796.66","39,868,499.45","89,173,509.40","149,102,051.38","230,204,329.40","47,729,914.16","119,834,042.49","182,346,457.52","261,627,048.61","50,333,390.53","132,804,602.10","210,585,279.80","308,530,875.26","58,361,289.15","123,292,112.41","195,947,980.32","276,461,921.28","57,684,396.60","122,822,936.08","205,998,472.31","304,136,538.48","66,717,108.13","143,855,874.13","221,565,962.74","326,394,003.75","63,493,883.65"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"626,873.77","534,321.29","318,792.46","429,394.42","1,288,600.53","37,979.18","92,740.33","221,764.37","1,407,346.99","97,279.21","180,809.98","420,334.21","2,568,681.43","70,971.21","1,422,392.48","945,549.30","2,016,132.22","629,521.67","1,220,741.33","1,894,551.37","3,087,718.22","690,985.50","2,081,061.19","3,268,601.15","4,166,140.97","803,224.55","1,759,384.10","2,466,670.89","4,121,631.97","1,102,318.40","2,175,324.54","3,475,066.26","7,625,643.17","1,635,922.34","3,128,016.28","5,574,520.57","8,933,922.06","2,198,473.05","3,969,078.69","5,917,731.77","8,405,776.31","1,717,253.70"
营业外收入,"759,539.00","4,591,030.35","973,480.25","1,573,480.25","2,101,416.18","230,787.27","1,268,158.68","3,911,433.69","8,925,335.70","5,232,956.97","5,668,831.98","5,713,311.81","6,670,884.34","2,151,359.14","5,920,045.85","9,690,010.51","12,943,407.46","1,919,779.28","3,465,331.48","12,310,180.24","15,417,048.28","2,600,057.57","3,935,503.10","8,775,189.16","13,016,187.84","2,379,067.90","3,620,660.30","5,877,803.10","12,734,873.40","2,648,905.61","6,737,688.56","10,378,387.76","16,979,576.17","2,379,925.19","5,912,453.55","6,375,327.78","152,887.73",,"15,250.00","91,350.00","110,180.37","2,923.70"
销售费用,"10,385,726.96","12,962,505.63","8,260,000.78","12,361,935.79","17,590,121.97","4,361,087.93","9,106,895.27","15,716,393.52","21,590,518.68","7,069,360.59","17,141,452.18","26,522,973.31","36,940,813.42","7,856,888.79","19,131,741.92","31,537,055.65","48,871,621.70","13,699,859.29","26,507,926.05","41,398,680.66","61,511,063.48","14,339,060.33","30,031,563.08","50,429,028.42","76,390,940.66","17,155,851.61","38,947,390.20","62,593,570.79","96,790,260.40","18,271,730.27","37,911,577.54","66,071,230.32","96,800,699.86","16,383,402.96","38,031,365.12","58,691,945.99","90,861,790.94","19,729,665.37","38,068,749.37","61,130,152.86","98,266,219.44","17,000,087.52"
减:营业外支出,"65,722.30","170,000.00",,,100.77,,"3,018,708.22","3,018,708.22","3,084,857.05","49,816.00","49,916.00","152,916.00","108,000.00",,"30,564.88","41,142.88","291,582.91","12,094.90","214,043.40","351,732.70","384,328.67",138.60,138.60,"2,472.57","593,644.71","90,000.00","140,000.00","977,655.14","1,198,062.82","18,243.94","73,451.60","1,118,881.70","1,263,300.11","358,839.08","446,808.53","611,547.13","157,651.80","2,670.03","1,656.72","85,930.72","282,264.62","114,421.89"
管理费用,"10,259,976.32","14,054,690.88","8,484,650.02","12,881,392.65","17,581,520.23","5,064,216.48","11,276,346.60","18,293,934.95","29,297,202.92","6,355,999.33","14,629,400.18","23,260,892.96","37,337,326.14","9,981,228.47","21,911,427.43","36,438,930.08","51,164,944.06","10,333,052.80","24,658,826.46","39,240,932.66","59,995,947.12","12,884,931.28","27,849,266.38","44,459,666.51","68,333,115.07","14,472,485.86","32,302,397.93","55,707,569.05","86,846,118.57","20,848,067.15","43,706,673.11","67,338,018.76","96,644,859.92","21,860,125.53","45,015,959.37","69,438,924.83","100,197,441.23","24,780,881.68","49,401,766.30","58,851,712.62","94,136,287.78","17,988,656.14"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,605.42,605.42,"39,005.45",,,,"9,595.97",,,,"43,644.71",,,,"4,331.45",,"19,024.76","19,024.76","19,024.76","294,719.08","382,388.53","456,256.13",,,,,,
