科目,2013-12-31,2014-12-31,2015-12-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"1,241,455,145.58","1,398,526,504.45","1,462,554,484.54","1,885,370,567.73","2,863,572,329.40","3,149,569,892.94","2,875,852,130.31","3,007,529,727.55","2,934,839,196.01","2,772,752,481.48"
短期借款,"29,980,000.00",,,,,,,,,"199,800,000.00"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"20,000.00","370,000.00","594,777.20","600,000.00","350,000.00","650,000.00","687,054.00","297,054.00","160,000.00","100,000.00"
应付票据,"381,093,388.00","403,612,115.00","413,621,680.00","358,036,635.96","424,449,694.12","379,745,284.00","311,553,498.00","353,729,080.04","362,093,927.00","509,702,453.00"
应收账款,"23,683,357.03","11,624,748.71","12,581,308.14","20,171,414.03","12,581,405.95","15,633,661.83","14,653,755.76","24,117,435.89","15,776,266.17","29,723,078.21"
应付账款,"1,301,961,356.45","1,372,394,186.86","1,373,482,716.07","1,273,512,272.65","1,445,169,967.04","1,353,225,857.24","1,343,172,320.24","1,406,344,400.65","1,500,681,330.42","1,599,906,207.09"
预付款项,"230,544,102.24","281,612,093.86","271,265,156.73","241,181,194.81","258,136,564.59","279,309,493.53","204,623,954.75","235,483,047.64","208,995,956.60","248,114,307.25"
预收款项,"1,179,055,933.17","1,184,667,579.79","1,231,601,704.25","1,406,885,011.97","1,302,992,055.64","1,387,138,016.18","1,367,525,648.44","1,548,174,219.78","1,395,421,002.07","1,552,580,187.16"
其他应收款,"33,786,563.26","51,176,254.72","56,294,180.97","59,913,254.65","37,465,093.11","38,215,497.38","36,652,231.05","48,809,216.69","38,422,504.02","152,818,364.02"
应付职工薪酬,"71,478,147.32","76,343,583.70","83,566,033.63","76,448,271.66","80,639,458.85","88,046,973.29","75,194,511.43","84,356,171.57","89,212,422.59","102,389,451.18"
应收关联公司款,,,,,,,,,,
应交税费,"85,320,454.28","86,249,009.19","49,044,392.97","52,318,083.15","42,424,362.95","46,383,837.55","34,477,302.10","41,566,826.01","42,559,317.11","87,872,618.51"
应收利息,,,,,,,,,,
应付利息,"64,852.67",,,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,"3,223,426.05",,,
存货,"1,079,347,279.98","1,059,991,756.49","1,176,012,233.56","947,395,531.07","1,299,002,329.72","1,043,111,288.02","1,028,602,895.88","1,197,998,489.09","1,252,855,196.14","1,212,603,125.93"
其他应付款,"60,355,112.52","121,523,454.14","141,144,465.26","130,356,868.41","151,355,819.15","142,776,651.95","143,679,091.52","141,113,523.07","164,461,823.04","308,382,011.32"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,"51,745,277.07","32,010,293.33","38,511,514.28","16,675,316.86","38,024,482.41","54,952,452.02","206,328,312.54","222,720,260.48","34,660,802.95","462,764,246.96"
其他流动负债,"131,325,744.26","139,334,434.13","159,702,647.72","171,589,256.91","169,689,150.96","167,386,569.67","169,836,547.54","166,601,965.27","171,807,222.98","175,507,796.18"
流动资产合计,"2,660,581,725.16","2,835,311,651.56","3,017,813,655.42","3,171,307,279.15","4,509,132,205.18","4,581,442,285.72","4,367,400,334.29","4,736,955,231.34","4,485,709,921.89","4,878,875,603.85"
流动负债合计,"3,240,634,988.67","3,384,124,362.81","3,452,163,639.90","3,469,146,400.71","3,616,720,508.71","3,564,703,189.88","3,448,662,345.32","3,741,886,186.39","3,726,237,045.21","4,536,140,724.44"
可供出售金融资产,"310,176.00","310,176.00","310,176.00","310,176.00","310,176.00","310,176.00","310,176.00","310,176.00","310,176.00","310,176.00"
长期借款,,,,,,,,,,"90,000,000.00"
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,"1,394,208.43","3,214,613.42","2,800,854.83","2,073,789.91","1,741,973.68","1,481,109.03","1,179,232.60","895,347.05","120,088,211.64","119,491,691.82"
专项应付款,,,,,,,,,,
投资性房地产,,,,,,,,,,
预计负债,"2,640,000.00","1,110,000.00",,,"1,405,181.00","1,194,221.00","1,194,221.00","194,221.00",,
固定资产,"952,456,828.23","1,146,492,195.07","1,115,499,262.17","1,100,669,341.74","1,120,864,317.33","1,101,686,492.36","1,088,341,812.93","1,079,000,420.73","1,185,831,533.74","1,708,880,187.48"
递延所得税负债,"975,568.59",,,,,,,,,"97,748,222.78"
在建工程,"105,125,068.00",,"444,816.38","9,108,254.91","24,275,451.06","27,957,723.85","35,313,571.63","53,054,334.71","23,790,211.94","52,655,685.03"
其他非流动负债,"16,512,824.16","21,873,535.02","26,546,240.44","31,878,783.70","28,116,621.01","30,793,163.01",,,,
工程物资,,,,,,,,,,
非流动负债合计,"40,238,789.33","41,537,486.34","44,377,079.99","56,081,282.18","57,137,519.82","59,336,906.60","61,519,752.57","62,041,860.05","63,938,195.12","254,787,921.69"
固定资产清理,,"5,966,300.48","7,221,656.33","7,221,656.33","7,221,656.33","7,221,776.30","7,221,656.33","7,221,656.33","12,892,460.71","10,566,880.57"
负债合计,"3,280,873,778.00","3,425,661,849.15","3,496,540,719.89","3,525,227,682.89","3,673,858,028.53","3,624,040,096.48","3,510,182,097.89","3,803,928,046.44","3,790,175,240.33","4,790,928,646.13"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"270,000,000.00","270,000,000.00","270,000,000.00","270,000,000.00","360,000,000.00","360,000,000.00","468,000,000.00","468,000,000.00","468,000,000.00","468,000,000.00"
油气资产,,,,,,,,,,
资本公积,"352,649,937.27","352,649,937.27","352,649,937.27","352,649,937.27","1,411,331,447.61","1,411,331,447.61","1,303,331,447.61","1,303,331,447.61","1,303,331,447.61","1,378,661,934.12"
无形资产,"70,082,524.07","89,879,762.25","94,270,044.95","106,243,192.61","104,992,103.17","103,807,575.46","104,091,976.60","103,658,920.86","103,989,714.47","110,429,156.23"
盈余公积,"19,574,176.24","49,023,834.46","77,079,785.46","77,079,785.46","101,064,008.93","101,064,008.93","101,064,008.93","101,064,008.93","120,655,847.69","122,285,321.76"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,,
商誉,,,,,,,,,,"299,655,229.64"
未分配利润,"165,716,269.77","254,064,138.23","300,463,433.82","408,634,525.63","457,527,414.01","549,679,526.05","438,336,626.14","520,170,728.14","586,675,912.14","705,706,216.71"
长期待摊费用,"186,204,499.74","232,413,279.18","229,287,318.68","194,812,916.86","211,391,947.43","198,870,468.23","192,274,494.83","174,817,936.47","216,171,827.59","264,414,958.82"
少数股东权益,"49,775,922.45","1,506,722.05","1,402,191.44","1,255,702.84","1,261,873.52","1,223,004.45","1,257,049.95","1,264,767.18","3,651,788.32","45,222,612.42"
递延所得税资产,"19,350,616.01","19,527,248.55","19,881,064.99","20,314,050.10","3,691,662.64","3,533,317.28","4,294,703.67","5,011,293.24","6,265,612.08","6,296,934.36"
外币报表折算价差,,,,,,,,,,
其他非流动资产,"12,660,000.00","19,773,294.65","10,667,826.22","23,019,076.15","21,916,838.55","21,484,368.24","22,073,632.27","37,024,435.08","117,526,992.82","59,064,927.78"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"1,478,008,358.57","1,517,576,869.60","1,480,383,020.55","1,463,772,454.61","1,496,406,126.19","1,466,353,006.75","1,455,101,256.86","1,460,994,520.47","1,786,866,740.99","2,631,765,827.73"
所有者权益(或股东权益)合计,"857,716,305.73","927,226,672.01","1,001,655,956.08","1,109,852,050.87","2,331,680,302.84","2,423,755,195.99","2,312,319,493.26","2,394,021,705.37","2,482,401,422.55","2,719,712,785.45"
资产总计,"4,138,590,083.73","4,352,888,521.16","4,498,196,675.97","4,635,079,733.76","6,005,538,331.37","6,047,795,292.47","5,822,501,591.15","6,197,949,751.81","6,272,576,662.88","7,510,641,431.58"
负债和所有者(或股东权益)合计,"4,138,590,083.73","4,352,888,521.16","4,498,196,675.97","4,635,079,733.76","6,005,538,331.37","6,047,795,292.47","5,822,501,591.15","6,197,949,751.81","6,272,576,662.88","7,510,641,431.58"
