科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"27,304,131.22","85,073,937.92","158,065,471.66","541,157,906.48","484,035,498.78","449,997,513.76","408,577,849.41","384,872,161.73","296,482,335.58","305,200,995.80","281,810,683.32","295,040,684.83","282,924,877.34","290,208,376.92","285,482,185.71","282,101,254.71","259,274,969.48","258,347,527.86","292,614,659.69","295,430,767.04","325,881,218.07","318,467,066.42","336,537,552.20","348,400,968.56","374,409,460.30","636,544,383.84","594,220,465.89","550,798,927.28","393,404,055.83","350,066,113.29","522,300,524.44","296,696,278.66","206,034,434.13","373,947,465.93","419,318,190.09","417,844,264.99","293,915,116.85"
短期借款,"9,000,000.00","20,000,000.00",,,,,,,,,,"14,000,000.00","12,000,000.00","16,000,000.00","3,000,000.00","3,000,000.00","17,800,000.00","17,714,639.90",,,,,,,,"489,000,000.00","568,348,992.92","558,348,992.92","586,000,000.00","829,549,879.18","989,205,138.79","1,015,300,894.07","1,337,356,230.83","1,369,475,942.55","901,500,000.00","1,060,745,000.00","1,096,493,417.54"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"25,530,000.00","39,787,073.30","81,125,841.58","93,852,639.65","164,581,675.70","163,090,859.19","142,123,776.76","127,293,726.27","168,527,483.79","183,166,947.93","186,124,696.93","170,687,031.08","196,790,635.59","148,369,905.13","152,516,636.46","136,582,584.10","178,376,654.89","148,144,791.38","153,759,200.88","163,862,398.54","156,891,250.54","177,762,825.97","185,862,513.37","164,803,026.43","148,877,985.42","51,174,819.47","14,750,179.00","2,100,000.00","1,036,500.00","3,281,755.00","61,896,492.14","1,544,949.24","9,398,832.00","9,698,500.00","11,411,298.04","13,425,350.32","7,656,450.00"
应付票据,"46,513,875.57","58,510,000.00","147,703,000.00","65,643,016.20","64,517,705.08","54,007,000.00","81,739,000.00","54,090,000.00","38,090,000.00","96,197,200.00","78,364,600.00","61,966,000.00","64,598,000.00",,"108,945,400.00","110,730,000.00","67,714,600.00","49,706,800.00","98,214,900.00","123,245,100.00","100,149,000.00","90,417,255.92","82,892,077.73","97,801,144.81","98,813,000.85","131,678,240.87","39,746,283.50","74,133,997.40","54,262,431.03","48,210,869.81","116,645,213.35","115,180,858.79","67,459,159.39","126,553,457.91","209,355,615.97","308,171,208.28","259,871,184.90"
应收账款,"48,422,245.35","55,290,623.03","69,924,988.88","77,891,872.97","73,429,512.97","60,925,102.53","66,356,244.91","96,914,187.45","83,269,043.90","82,964,830.08","88,375,681.66","109,679,026.85","118,012,989.29","99,394,384.56","95,036,203.06","123,507,522.99","126,452,768.38","109,147,045.75","104,739,425.83","132,143,849.20","134,081,031.83","118,245,913.30","100,655,190.29","123,321,978.01","132,401,873.86","92,553,886.46","120,624,964.44","142,336,216.29","359,957,379.19","584,088,009.06","461,328,813.14","587,816,971.46","655,169,037.64","920,981,385.96","781,755,181.13","814,558,671.32","767,531,269.90"
应付账款,"33,828,972.19","27,008,963.51","38,712,521.86","51,448,587.32","57,526,333.07","45,816,949.37","46,803,355.17","58,548,498.06","58,638,809.41","133,311,890.10","59,918,201.49","71,826,854.69","78,444,751.51","75,910,000.00","72,524,077.76","84,198,571.53","96,743,161.46","73,897,874.22","55,454,508.50","68,420,829.21","60,000,247.79","53,695,474.59","76,759,145.58","81,685,185.76","66,784,239.60","105,891,521.95","183,554,260.97","182,259,390.43","108,679,857.44","156,463,978.04","191,074,052.62","243,667,830.47","262,014,949.04","172,881,011.24","221,319,583.65","213,935,734.56","269,973,480.89"
预付款项,"13,839,657.19","18,002,089.94","26,242,067.59","25,533,265.00","26,851,814.58","44,230,992.72","54,180,277.47","40,602,994.70","46,664,866.79","100,174,232.07","72,552,134.72","34,000,014.11","26,691,675.67","33,286,786.21","50,586,325.21","61,697,671.56","57,838,832.80","36,015,052.65","28,958,433.57","43,198,539.47","27,168,401.44","17,156,595.93","18,628,455.33","19,661,529.24","23,728,350.44","103,767,115.93","33,718,466.18","53,841,797.15","14,828,468.38","43,964,666.15","90,725,518.15","129,368,900.76","118,676,200.01","120,109,754.13","73,016,711.81","127,647,960.94","74,121,323.72"
预收款项,"251,948.67","298,972.85","834,077.19",,"5,783,009.30","6,209,808.53","5,336,838.65",,,,"3,003,942.81","8,825,519.41","5,249,363.20","65,844,426.83","2,112,732.09","3,464,601.15","3,564,332.89","6,109,242.27","749,233.25","2,465,087.69","3,912,134.81","2,851,866.81","551,971.94","3,371,827.58","406,875.55","146,330,358.60","213,406,427.06","131,574,689.85","116,560,873.09","134,820,912.86","135,526,098.79","151,370,797.46","144,541,605.39","81,324,767.14","169,289,618.21","171,456,972.89","219,685,997.54"
其他应收款,"752,719.78","603,591.78","1,594,088.42","2,030,976.07","3,675,272.96","2,116,604.92","3,654,141.65","11,048,100.78","1,059,246.89","2,119,175.96","3,980,132.14","4,089,975.93","3,473,386.24","3,844,641.97","30,881,119.38","31,860,772.19","31,408,158.44","31,634,888.67","2,310,638.20","2,251,613.92","2,294,970.73","2,378,570.21","1,825,698.24","2,111,800.29","1,886,081.88","10,864,669.79","11,066,515.35","13,503,479.01","27,707,932.26","34,171,543.91","34,076,111.40","54,618,060.93","56,851,687.72","83,779,516.69","83,133,049.39","122,580,083.55","94,149,185.88"
