科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月
一、营业收入,"12,410,083,539.81","26,039,536,932.78","39,139,732,070.81","54,159,639,117.51","15,765,565,653.53","37,299,746,524.12","58,129,040,751.04","73,338,706,168.91","10,913,095,060.20","23,525,823,569.69","37,396,004,895.00","53,714,166,530.18","16,725,322,232.01","35,948,313,026.86","54,435,300,991.99","75,596,603,085.56","20,987,654,624.01","50,821,765,910.06","76,789,840,850.26","101,058,310,544.89","22,270,459,707.17","45,308,342,921.84","67,221,361,554.05","91,579,393,163.28","23,386,747,486.79","44,397,987,941.85","66,659,300,301.49","89,581,302,568.61","19,853,556,673.87","40,941,640,058.42","61,101,395,638.91","99,373,089,374.80","17,555,350,915.69","34,518,339,887.46","48,952,052,811.20","58,338,039,869.86","12,889,619,214.62","28,849,549,600.67","42,911,999,630.46"
二、营业利润,"2,106,597,155.42","5,142,527,288.43","7,501,681,283.22","9,456,467,648.63","2,233,962,080.25","6,098,390,613.46","9,059,236,776.21","6,310,048,140.43","358,866,161.36","668,498,474.39","1,389,548,144.66","1,901,690,098.10","397,829,232.99","1,292,832,778.28","1,656,640,615.54","2,186,525,885.94","822,005,610.03","1,600,191,202.60","2,121,883,390.23","1,365,390,168.57","38,096,637.30","184,615,579.78","391,231,450.67","-377,466,296.76","356,179,099.62","644,928,764.87","891,072,277.96","270,572,601.10","269,324,319.86","606,877,672.24","1,081,502,196.23","1,162,412,270.92","579,120,375.45","685,940,182.54","-1,202,628,659.82","-7,934,777,085.23","120,559,585.58","339,678,656.13","542,853,574.14"
减:营业成本,"9,768,580,802.69","19,829,367,806.60","30,202,744,370.09","41,924,630,656.56","12,657,011,096.73","29,480,974,601.62","46,451,172,604.87","62,618,308,630.17","9,849,035,864.29","21,815,500,344.87","34,170,345,818.91","49,359,612,807.70","15,352,671,844.55","32,591,346,133.81","49,809,168,115.22","69,439,736,834.28","19,204,538,646.63","46,885,471,089.12","71,114,694,373.58","94,826,339,058.08","21,094,121,774.15","42,754,823,649.70","63,230,169,150.39","86,564,802,062.03","21,685,747,379.17","41,387,959,967.96","62,125,207,942.90","84,092,196,984.67","18,434,896,129.44","37,916,075,166.10","56,334,909,296.95","91,933,497,635.82","15,830,685,614.02","31,451,315,279.52","45,805,421,991.47","59,223,471,323.83","11,813,313,971.18","26,586,563,881.96","39,586,070,057.38"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"90,480,928.46","172,008,612.25","250,463,859.13","356,349,088.33","101,463,104.45","230,584,160.07","360,045,985.86","385,867,840.24","-16,600,692.13","33,808,375.17","87,304,503.54","157,653,493.65","50,230,324.99","87,786,744.90","128,065,642.09","187,954,607.81","72,551,524.30","162,798,693.02","252,718,669.09","234,329,750.10","57,316,515.40","117,513,405.33","162,065,969.45","286,727,890.14","81,644,704.05","133,062,276.38","160,891,759.74","204,931,908.73","70,338,185.98","134,664,486.75","211,670,379.14","320,394,249.07","70,104,483.14","136,278,190.00","174,833,799.86","195,292,430.85","16,433,319.85","64,702,729.98","102,897,516.68"
营业外收入,"1,197,406.76","6,626,552.48","8,044,390.43","32,963,939.70","18,049,748.10","20,550,413.07","56,913,623.64","85,168,124.09","1,550,085.82","14,027,055.24","18,732,820.22","67,660,581.70","3,204,082.88","6,329,285.89","9,742,375.67","30,630,618.30","4,637,305.99","13,544,942.31","19,056,936.73","71,755,265.35","4,337,352.30","17,252,906.35","29,706,870.82","503,459,566.68","33,119,709.57","46,397,278.07","64,511,956.84","348,438,858.29","23,704,368.10","39,178,494.84","46,058,962.05","398,949,146.80","3,914,160.33","19,380,833.17","29,388,874.07","69,594,222.90","9,348,036.65","20,426,301.94","31,263,019.33"
销售费用,"84,286,662.73","178,326,598.14","259,422,793.25","444,878,184.99","105,944,029.65","243,175,993.84","385,158,834.17","549,141,642.80","96,748,662.41","204,234,835.22","349,752,059.38","513,855,441.15","149,937,619.36","318,215,562.41","481,626,420.10","739,082,700.73","187,401,294.22","394,372,639.49","586,859,401.02","860,506,099.31","185,658,787.08","380,705,202.08","598,902,599.03","846,209,676.97","218,954,914.42","406,452,973.09","615,680,118.38","831,093,395.00","180,514,754.84","365,845,562.31","560,299,450.87","994,497,644.34","202,144,437.17","408,789,801.22","619,053,269.26","892,888,579.97","122,254,972.70","283,473,721.42","443,375,370.71"
减:营业外支出,"2,208,625.47","28,615,643.78","39,870,371.78","82,900,521.46","4,966,929.77","9,803,161.95","25,658,656.63","44,921,171.65","1,280,600.99","5,508,549.59","11,728,766.04","12,672,194.21","9,466,066.11","9,631,966.78","9,909,108.05","10,331,628.61",100.00,"1,550,203.18","1,628,551.56","14,207,647.71","62,429.64","1,332,618.95","1,857,308.13","14,023,286.45","5,145.84","326,638.68","3,096,915.26","9,988,571.16","310,296.13","4,640,983.77","5,408,146.19","14,564,442.26","453,705.92","1,708,968.35","2,141,820.79","14,140,946.48","70,018.07","319,294.75","6,431,338.33"
管理费用,"353,628,622.73","787,977,798.11","892,571,946.22","1,817,489,555.30","404,336,816.02","946,412,459.70","1,267,896,334.06","1,478,746,526.96","487,965,020.02","776,233,381.10","1,376,319,196.81","1,682,985,606.85","535,912,613.75","1,026,678,666.86","1,425,121,640.27","1,934,151,394.75","517,544,884.09","1,254,855,727.03","1,988,515,599.57","2,630,159,028.66","528,843,375.90","1,036,700,191.19","1,627,841,984.07","2,644,012,758.40","726,675,730.50","1,160,193,451.54","1,867,522,837.91","2,845,748,111.92","573,819,508.86","1,125,885,708.29","1,757,194,080.34","3,268,545,093.58","567,852,927.70","1,221,088,368.39","1,917,399,255.73","3,035,682,109.43","365,659,507.97","671,187,952.29","981,397,393.87"
其中:非流动资产处置净损失,"564,862.60","25,273,201.34","34,757,235.31","65,476,223.07","1,422,442.27","517,858.08","11,579,873.02","17,108,516.17","280,138.56","1,452,652.53","6,605,115.86","10,138,653.76","9,464,725.88","9,464,725.88","9,732,306.61","10,100,630.10",,"1,156,996.47","1,174,970.99","13,767,079.03",605.20,"6,635.99","195,028.42","12,032,315.31","1,545.84","1,545.84","2,646,657.97","7,690,329.23","213,725.81","4,148,431.58","4,148,431.58","11,427,940.95","9,469.48","237,841.29","317,406.87","2,466,792.64","22,222.21","91,751.18","195,863.46"
