科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"966,914,960.02","1,575,697,858.95","1,619,534,411.76","381,078,462.43","782,290,851.90","1,216,652,180.12","1,740,023,869.85","438,774,716.62","941,849,690.66","1,422,920,667.22","1,977,437,743.81","541,385,171.99","1,097,574,393.57","1,627,179,319.13","2,261,745,304.05","513,752,086.76","1,018,113,483.26","1,560,004,813.24","2,461,863,715.87","455,277,180.35","946,363,771.41","1,490,971,493.79","2,377,638,522.07","555,550,642.85","1,604,690,293.47","3,141,096,816.70","4,750,821,263.37","802,651,197.45"
二、营业利润,"115,695,484.05","161,942,336.77","278,542,051.37","29,738,577.80","54,323,346.58","69,059,641.65","87,662,769.87","19,626,230.80","36,793,104.22","61,485,953.38","45,689,629.02","9,838,328.23","28,516,860.53","43,428,815.85","26,246,832.53","5,152,540.37","15,772,428.40","18,169,191.19","2,805,775.01","12,544,128.86","3,268,356.24","9,421,767.54","31,722,557.42","1,921,104.95","72,332,555.97","145,356,358.34","228,599,884.36","51,947,923.26"
减:营业成本,"684,503,594.59","1,205,147,428.68","1,231,766,946.33","294,895,137.38","610,901,240.37","967,214,252.02","1,414,103,711.45","354,151,421.81","782,563,685.70","1,178,069,247.19","1,679,004,435.94","457,380,696.86","940,678,621.15","1,400,507,650.97","1,981,820,257.38","436,336,013.22","860,220,824.40","1,331,076,172.30","2,143,248,305.89","379,828,940.21","789,948,455.40","1,250,508,140.90","2,029,311,254.54","469,329,706.03","1,330,513,506.26","2,630,140,671.30","4,058,378,127.39","681,261,923.50"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"26,956,390.20","46,947,297.53","47,728,566.01","8,702,885.33","17,828,170.64","26,506,787.22","31,529,776.00","2,525,163.64","5,060,987.35","8,195,050.92","11,004,507.60","2,562,226.22","5,262,348.81","8,475,253.78","12,471,667.34","2,986,220.17","6,368,301.98","9,511,510.76","14,398,025.44","3,209,929.74","5,469,415.22","7,168,911.69","16,632,943.74","5,005,101.12","10,268,071.34","16,902,783.04","29,722,286.76","6,877,916.15"
营业外收入,"8,166,233.71","25,473,654.14","27,964,934.40","2,865,397.31","16,632,594.14","84,176,857.89","94,556,221.37","16,399,997.64","28,020,109.10","65,252,818.48","87,419,452.08","11,565,714.57","22,245,042.84","37,463,152.51","48,172,618.39","17,233,875.93","35,362,628.96","52,156,853.53","91,007,891.69","7,539,145.66","43,737,085.37","56,530,838.52","72,772,374.15","23,234,362.40","11,827,940.14","15,882,750.19","24,114,436.35","2,673,856.14"
销售费用,"11,559,238.14","18,621,643.79","34,631,272.58","5,240,050.47","10,611,041.89","17,511,562.70","27,430,496.50","5,945,291.42","12,310,237.56","19,113,688.94","28,721,760.81","9,351,077.96","17,630,606.35","24,640,790.80","33,307,380.88","8,845,329.90","17,126,276.67","26,078,519.96","37,882,952.00","10,523,326.33","23,605,824.03","36,848,802.48","56,344,347.78","16,843,777.56","52,142,295.95","119,112,781.28","114,754,715.35","25,621,882.90"
减:营业外支出,"2,672,544.76","2,359,470.54","4,602,393.60","172,636.49","677,319.07","1,007,445.53","3,487,295.99","483,845.77","1,062,967.57","1,821,069.07","3,590,901.62","379,887.98","3,523,390.70","4,607,999.45","11,858,452.95","555,483.56","1,144,191.47","2,461,052.12","6,954,916.95","1,686,078.52","3,312,645.15","5,093,095.67","12,464,745.54","1,412,155.84","2,994,618.89","2,460,660.14","1,598,284.75","2,076,275.92"
管理费用,"108,344,168.78","124,364,388.57","139,362,390.85","36,131,045.45","71,923,650.33","110,710,795.37","154,879,203.02","45,053,911.29","86,133,485.06","129,160,287.85","178,969,685.86","50,645,751.59","95,677,227.80","136,930,870.00","182,509,677.83","54,457,235.46","100,823,290.49","146,163,092.61","202,080,162.00","50,113,566.57","106,543,005.02","156,411,831.57","219,250,584.15","52,661,062.47","119,221,080.95","184,537,282.32","263,388,303.93","62,592,344.72"
其中:非流动资产处置净损失,"443,332.96","1,826,900.35","1,699,548.18","49,536.70","399,993.50","558,400.37","2,808,727.83","214,383.71","581,509.18","889,245.95","2,014,969.59","232,691.93","895,364.03","1,306,628.77","7,183,755.28","369,374.74","802,145.42","1,695,051.77","3,460,735.74","1,199,144.72","2,389,759.77","3,346,039.19","5,904,851.70","592,767.81","2,008,658.91","3,002,432.31",,
