科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"172,413,410.51","183,333,910.18","194,851,420.58","55,367,330.31","98,866,008.12","234,201,286.39","38,351,169.70","77,471,431.34","117,580,293.18","177,828,174.95","48,631,189.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"23,078,320.00",
收到的税费返还,"9,695,445.27","7,870,771.96","12,861,635.72","4,129,053.38","7,153,452.93","9,087,974.63",,"3,291,000.13","5,183,237.45","7,914,839.40","168,781.59"
支付其他与投资活动有关的现金,,,,,,,,,,,
收到其他与经营活动有关的现金,"15,223,212.74","15,677,985.73","16,816,287.03","4,954,824.32","10,412,193.44","21,623,105.60","3,158,012.07","9,125,559.82","16,101,698.95","19,165,114.46","4,260,275.97"
投资活动现金流出小计,"1,635,684.16","5,113,207.55","1,670,359.35","1,211,428.56","1,315,583.06","52,155,292.51","508,269.50","74,194,605.54","163,424,636.81","232,969,967.52","88,602,014.00"
经营活动现金流入小计,"197,332,068.52","206,882,667.87","224,529,343.33","64,451,208.01","116,431,654.49","264,912,366.62","41,509,181.77","89,887,991.29","138,865,229.58","204,908,128.81","53,060,246.61"
投资活动产生的现金流量净额,"-1,606,184.16","-5,102,027.55","-1,669,859.35","-1,211,428.56","-1,315,583.06","-52,155,292.51","49,916,662.01","27,076,654.87","-41,916,658.59","12,019,671.56","-5,999,033.18"
购买商品、接受劳务支付的现金,"78,268,110.87","105,625,720.64","99,231,890.85","47,422,086.50","77,866,004.89","142,237,412.78","79,385,833.02","122,067,957.80","170,847,028.85","201,624,332.19","38,162,107.11"
吸收投资收到的现金,,,,,,"194,740,000.00",,"4,900,000.00","4,900,000.00","7,350,000.00",
支付给职工以及为职工支付的现金,"27,202,875.49","33,125,071.65","31,701,185.01","18,143,205.68","24,098,695.12","30,140,250.64","14,377,470.67","20,763,848.16","29,939,961.30","38,088,189.62","16,866,914.65"
取得借款收到的现金,,,,,,,,,,,
支付的各项税费,"27,036,216.37","19,561,167.52","33,361,973.07","14,397,865.82","17,922,905.07","23,575,437.60","7,780,445.90","13,376,628.43","15,259,016.11","21,692,362.96","6,343,894.11"
收到其他与筹资活动有关的现金,,,,,,,,,,,
支付其他与经营活动有关的现金,"31,978,335.39","32,558,927.33","35,269,702.72","24,214,473.22","34,793,063.18","40,644,422.59","18,500,455.19","28,780,254.68","35,987,516.92","36,044,174.97","11,587,608.70"
筹资活动现金流入小计,,,,,,"194,740,000.00",,"4,900,000.00","4,900,000.00","7,350,000.00",
经营活动现金流出小计,"164,485,538.12","190,870,887.14","199,564,751.65","104,177,631.22","154,680,668.26","236,597,523.61","120,044,204.78","184,988,689.07","252,033,523.18","297,449,059.74","72,960,524.57"
偿还债务支付的现金,,,,,,,,,,,
经营活动产生的现金流量净额,"32,846,530.40","16,011,780.73","24,964,591.68","-39,726,423.21","-38,249,013.77","28,314,843.01","-78,535,023.01","-95,100,697.78","-113,168,293.60","-92,540,930.93","-19,900,277.96"
分配股利、利润或偿还利息支付的现金,"12,500,562.00","11,557,719.00","17,610,259.00",,,,,"22,267,416.00","22,267,416.00","22,267,416.00",
收回投资收到的现金,,,,,,,"50,000,000.00","100,000,000.00","120,000,000.00","244,905,397.26","82,000,000.00"
支付其他与筹资活动有关的现金,"550,000.00","2,945,000.00","700,000.00","300,000.00","300,000.00","23,308,820.00",,,,,
取得投资收益收到的现金,,,,,,,"424,931.51","1,243,890.41","1,441,808.22",,"602,980.82"
筹资活动现金流出小计,"13,050,562.00","14,502,719.00","18,310,259.00","300,000.00","300,000.00","23,308,820.00",,"22,267,416.00","22,267,416.00","22,267,416.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"29,500.00","11,180.00",500.00,,,,,"27,370.00","66,170.00","84,241.82",
筹资活动产生的现金流量净额,"-13,050,562.00","-14,502,719.00","-18,310,259.00","-300,000.00","-300,000.00","171,431,180.00",,"-17,367,416.00","-17,367,416.00","-14,917,416.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"29,500.00","11,180.00",500.00,,,,"50,424,931.51","101,271,260.41","121,507,978.22","244,989,639.08","82,602,980.82"
五、现金及现金等价物净增加额,"18,189,784.24","-3,592,965.82","4,984,473.33","-41,237,851.77","-39,864,596.83","147,590,730.50","-28,618,361.00","-85,391,458.91","-172,452,368.19","-95,438,675.37","-25,899,311.14"
购建固定资产、无形资产和其他长期资产支付的现金,"1,635,684.16","5,113,207.55","1,670,359.35","1,211,428.56","1,315,583.06","2,155,292.51","508,269.50","1,116,285.54","8,346,316.81","17,891,647.52","6,602,014.00"
期初现金及现金等价物余额,"109,603,134.98","127,792,919.22","124,199,953.40","129,184,426.73","129,184,426.73","129,184,426.73","276,775,157.23","276,775,157.23","276,775,157.23","276,775,157.23","181,336,481.86"
投资支付的现金,,,,,,"50,000,000.00",,"73,078,320.00","155,078,320.00","192,000,000.00","82,000,000.00"
期末现金及现金等价物余额,"127,792,919.22","124,199,953.40","129,184,426.73","87,946,574.96","89,319,829.90","276,775,157.23","248,156,796.23","191,383,698.32","104,322,789.04","181,336,481.86","155,437,170.72"
