科目,2009年度,2010年度,2011年度,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"214,362,943.90","339,067,765.37","446,189,901.41","304,203,474.61","425,149,261.51","78,307,928.97","209,940,755.26","374,485,863.95","498,278,058.25","118,371,054.45","391,386,316.05","596,807,163.68","832,616,141.67","125,741,600.20","313,634,220.20","625,723,502.53","964,579,214.91","268,739,992.21","870,899,672.03","1,522,905,259.76","2,330,939,606.79","404,181,324.91","1,032,547,812.83","1,704,195,618.89","2,767,571,424.23","585,413,955.68","1,583,069,868.63","2,543,816,756.16","3,599,465,997.37","835,827,371.49"
二、营业利润,"16,323,870.40","37,213,513.26","51,530,797.09","43,105,495.30","60,792,777.69","7,697,106.42","20,766,307.31","39,167,600.53","49,418,608.87","3,666,583.18","13,281,209.27","21,910,128.90","14,771,070.55","-606,465.49","2,007,498.55","36,967,024.30","36,947,744.51","17,396,483.79","100,230,051.67","202,973,087.55","268,981,662.83","27,334,173.60","137,006,044.37","255,631,679.22","447,775,303.96","49,921,617.79","144,276,400.67","223,708,385.89","-1,874,496,361.99","51,614,931.09"
减:营业成本,"186,458,523.27","289,050,565.67","379,167,853.12","246,945,256.03","341,885,600.30","65,005,630.78","177,512,785.77","312,894,030.55","411,708,315.96","107,380,203.61","349,709,991.74","528,671,617.71","742,935,128.71","114,765,767.32","281,584,265.81","529,271,898.84","817,737,733.63","226,125,117.45","679,195,702.80","1,175,117,064.17","1,817,662,274.80","334,652,664.58","821,854,685.98","1,321,227,060.64","2,102,100,189.05","478,261,056.86","1,302,999,649.65","2,103,799,393.14","3,012,063,736.00","694,292,659.01"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"366,728.28","626,359.16","1,391,702.00","1,197,815.36","2,209,705.27","292,928.90","987,196.24","1,622,306.94","3,356,779.47","206,575.46","1,368,622.18","1,941,767.37","3,213,198.70","163,997.33","814,260.42","3,864,493.44","5,823,487.56","1,752,757.32","6,350,190.56","11,713,784.76","23,360,812.23","2,588,137.45","10,070,311.15","14,788,988.85","15,822,931.40","4,042,643.19","7,161,464.54","11,797,197.61","16,711,554.21","4,486,089.39"
营业外收入,,"80,300.00","7,012,858.50","23,740.00","2,052,340.00","1,038,962.00","2,702,285.96","3,125,387.10","20,054,506.70","356,937.52","596,638.62","1,328,883.63","3,948,187.68","1,272,247.00","2,239,693.87","6,040,156.82","7,428,007.12","2,223,558.76","14,389,920.08","16,576,647.93","18,301,356.46","5,548,946.41","17,603,391.57","18,920,116.91","21,411,134.72","1,915,094.94","10,147,354.54","22,478,759.40","20,701,254.89","3,166,227.40"
销售费用,"5,627,872.17","6,854,550.54","7,282,454.96","5,824,565.68","9,183,300.18","2,586,236.17","5,396,776.80","9,517,213.65","15,129,981.80","3,004,353.25","10,229,029.07","17,469,152.20","27,521,514.81","4,011,321.19","9,217,402.37","21,291,547.41","39,461,263.65","9,689,546.18","23,540,595.86","63,387,361.28","101,215,825.86","26,538,966.33","53,664,893.04","79,944,993.61","116,823,240.14","27,622,257.36","61,849,392.65","97,093,003.07","160,948,815.26","51,005,723.33"
减:营业外支出,"170,117.67","6,922.42","1,634.69","1,100.45","49,794.53",,"1,067.80","1,067.80","36,567.80",,"140,085.83","456,633.83","1,994,902.01",807.83,807.83,"97,330.63","130,805.33","18,864.50","43,862.81","455,196.97","1,658,640.49","42,826.91","78,325.73","131,498.22","222,825.65","113,725.20","1,448,777.68","1,473,069.42","3,889,058.97","1,356,622.23"
管理费用,"4,960,557.58","4,512,016.14","6,608,391.10","5,577,175.52","8,574,304.55","2,667,439.18","5,640,451.22","11,092,369.88","16,172,630.30","3,885,774.95","10,131,329.93","16,757,897.18","27,484,519.89","6,711,227.85","14,370,567.89","32,170,310.58","55,290,827.54","12,116,941.51","47,124,317.15","52,063,477.06","84,536,037.91","16,387,239.78","36,062,076.08","56,437,837.67","113,648,798.41","24,593,123.10","51,822,174.66","63,723,269.02","135,822,444.07","23,558,383.69"
其中:非流动资产处置净损失,"165,990.39",,,,,,,,,,"61,186.97","61,186.97","68,522.89",,,"63,229.47","70,237.02",,"3,591.77","3,412.92","151,221.09","29,398.16","61,586.67","111,324.65",,,,,,
