科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"4,063,217,804.09","6,416,803,174.76","11,738,046,737.54",,"11,404,741,902.77","14,087,168,834.78","17,238,577,848.93","18,085,945,888.54","15,115,678,551.12","16,334,082,351.79","12,570,741,090.87","10,100,321,792.76","10,421,887,879.60","6,341,401,859.06","11,889,256,151.80","12,849,153,276.21"
短期借款,"3,798,143,318.05","5,683,793,201.81","10,029,079,998.33",,"9,638,870,507.66","10,103,139,265.78","13,099,143,676.84","16,293,066,451.14","9,431,109,614.57","10,760,438,554.11","8,542,699,579.97","6,018,281,728.38","6,689,197,687.48","5,996,718,195.03","10,010,397,445.98","12,011,068,762.37"
交易性金融资产,"34,398,349.16","72,818,987.39","14,868,489.45",,"54,368,511.96","19,850,988.39","41,961,012.33","57,245,496.97","101,179,826.25","104,014,294.23","69,057,227.65","83,220,068.21","140,094,768.68","275,243,669.88","319,391,165.45","543,665,804.80"
交易性金融负债,"33,377,837.43","64,475,285.08","434,067.48",,"102,216,145.50","97,052,129.52","109,191,930.00","209,389,072.52","154,434,069.51","59,573,114.32","2,444,549.71","27,327,494.97","66,582,353.60","167,767,326.25","235,507,983.53","526,240,148.26"
应收票据,"30,000,000.00","195,701,572.93",,,"1,896,074.31","1,345,228.95","716,595.36",,,,"4,950,430.42","130,430.42","833,204.00","1,338,276.00","1,338,276.00","26,651.51"
应付票据,"106,660,000.00","50,000,000.00","32,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,
应收账款,"603,076,204.72","484,835,750.84","781,406,902.27",,"603,650,469.79","667,904,695.01","878,061,502.68","650,031,702.35","584,409,870.82","609,092,186.98","844,958,582.89","762,514,164.81","873,778,702.06","1,351,638,732.48","967,051,496.48","879,207,866.91"
应付账款,"833,111,491.00","384,864,755.64","584,711,963.58",,"406,732,464.17","472,280,140.00","545,961,107.23","320,661,483.60","325,935,019.86","286,187,086.29","480,361,945.28","542,274,366.76","581,187,256.71","581,111,953.83","356,981,016.82","316,370,960.43"
预付款项,"93,821,485.20","133,046,408.34","76,207,014.34",,"67,734,132.54","132,045,076.90","60,049,348.94","101,999,647.16","112,418,392.64","44,075,072.55","27,517,177.10","84,192,371.78","115,525,546.65","136,922,117.36","43,540,657.01","79,557,075.52"
预收款项,"27,612,410.90","63,579,309.81","40,905,008.86",,"26,417,554.64","65,746,507.43","56,927,873.42","64,650,858.16","48,416,787.66","60,354,898.41","112,443,262.37","274,118,498.20","178,556,327.80","196,835,815.43","154,543,516.93","118,258,951.94"
其他应收款,"120,705,504.03","40,577,595.70","37,808,218.11",,"82,948,329.65","87,107,468.76","183,633,927.45","151,383,266.28","508,824,449.61","370,638,941.19","640,250,603.78","629,065,500.16","545,110,626.70","538,007,139.77","160,339,884.79","427,510,242.74"
