科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月
一、营业收入,"42,252,119.37","81,724,728.20","287,738,289.63","953,262,904.00","367,316,329.77","821,479,802.44","1,418,974,986.82","1,821,362,414.23","28,613,746.06","69,888,020.62","156,454,740.11","478,638,553.69","191,705,179.62","543,066,483.22","1,028,792,993.51","1,596,922,548.76","203,841,421.40","455,017,925.65","4,032,998,523.29","5,082,173,210.01","1,238,313,465.11","2,378,831,241.84","3,562,491,354.85","4,791,575,028.26","1,135,418,145.52"
二、营业利润,"27,427,349.70","52,254,402.88","84,649,006.97","121,569,419.55","-20,428,599.06","-10,028,222.72","67,465,597.79","85,756,784.72","-17,221,260.82","-24,638,936.17","-26,051,873.34","-38,158,265.14","-29,913,567.01","-101,138,791.95","-127,950,325.29","-80,043,303.00","-39,789,731.15","-38,902,702.88","890,853,080.14","999,789,982.92","752,399,657.83","821,005,371.76","957,902,528.92","1,345,848,728.48","334,184,927.13"
减:营业成本,"7,333,263.29","24,587,930.86","167,178,650.25","759,372,166.63","356,902,542.19","787,824,507.57","1,288,724,090.60","1,631,599,561.25","6,995,451.65","15,637,024.84","56,719,690.05","325,278,196.59","202,384,166.41","568,581,538.47","1,055,377,146.91","1,550,536,596.70","215,576,210.51","445,057,536.97","3,118,987,745.30","3,874,472,463.38","932,081,565.11","1,665,236,025.07","2,580,649,027.66","3,555,817,266.10","717,808,334.30"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,595,781.99","2,255,828.39","3,830,188.83","7,102,179.00","1,970,905.31","2,902,654.74","4,291,210.62","7,251,377.58","1,046,350.48","2,407,640.70","4,294,437.43","7,670,607.86","1,079,022.75","2,765,944.03","4,540,189.94","7,980,444.87","605,765.00","2,655,779.65","48,379,454.36","68,828,407.44","14,880,374.67","31,555,048.82","44,772,665.21","59,851,895.18","19,357,103.46"
营业外收入,,,,"1,000,000.00",,,,"13,499,287.97",,"319,200.00","361,286.37","5,191,286.39","1,263,750.09","3,263,750.09","3,265,550.09","3,876,907.66","4,506,800.00","4,506,800.00","4,624,275.00","7,467,424.24","4,070,217.31","22,966,710.11","45,140,729.17","33,008,214.74","856,150.00"
销售费用,"1,493,898.03","673,019.28","8,188,468.11","14,315,143.66","696,908.25","3,069,534.13","8,644,684.05","9,115,937.13","497,441.91","1,069,538.95","1,601,706.20","10,289,513.02","1,411,823.14","2,652,711.36","5,319,099.29","14,590,786.40","1,730,559.46","2,830,439.07","12,309,530.82","11,791,567.48","1,325,521.42","2,166,542.96","2,185,212.96","5,608,871.29","99,693.03"
减:营业外支出,,,,"154,479.47","1,485.00","36,290,648.56","36,290,648.56","36,295,645.46",,"10,115.63","22,801,542.28","233,198.23",2.11,"24,861.50","1,268,543.57","25,661.34","7,298.41","22,952.74","4,583,998.36","43,559,362.86","120,050.00","293,950.31","811,154.35","34,280,669.85","40,000.00"
管理费用,"5,198,137.99","4,397,475.78","16,229,529.21","29,892,325.76","14,395,352.59","20,567,823.03","24,097,143.06","35,633,475.66","30,299,223.70","61,308,857.22","83,196,939.09","114,316,187.78","9,286,112.97","41,509,984.96","51,274,823.39","72,324,327.36","11,962,630.69","29,238,634.95","60,863,704.22","198,328,016.52","20,052,293.87","87,164,623.27","92,078,768.05","188,225,438.12","52,220,124.26"
其中:非流动资产处置净损失,,,,"48,052.56",,,,"4,996.90",,,,,,,,,,,,"107,295.90",,,,"160,449.32",
