科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"16,979,690,544.69","22,776,397,566.17","12,530,039,068.39","28,054,510,182.69","6,548,578,659.61","14,571,139,859.90","22,003,980,049.88","32,583,233,535.62","6,810,599,985.56","17,448,769,774.17","28,584,012,574.32","43,537,955,934.85","9,470,722,927.82","22,982,485,707.90","38,057,808,449.53","54,116,707,488.31","12,395,732,106.32","27,797,678,940.69","44,943,060,412.96","61,727,690,089.52","14,439,345,143.90","33,121,989,858.70","50,683,917,155.63","69,255,686,472.96","15,509,345,049.42","31,023,078,295.18","44,740,223,239.74","63,532,339,745.92","11,050,841,374.78","24,822,224,610.13","36,515,037,469.17","53,075,755,593.79","10,514,555,391.10","24,944,094,556.89","38,345,388,368.06"
二、营业利润,"987,199,461.80","815,969,101.00","550,099,681.21","1,274,772,235.61","374,718,306.46","823,650,185.46","1,246,175,126.57","2,155,511,129.61","369,459,162.64","1,201,907,966.09","1,795,279,003.78","3,034,242,107.98","507,621,592.19","1,681,938,142.26","2,546,218,433.80","3,804,827,029.50","749,818,497.43","1,963,213,334.59","3,013,518,847.75","4,124,310,919.11","828,821,932.17","2,165,369,103.39","3,094,112,026.16","4,104,301,492.04","616,930,650.19","1,422,264,716.21","2,272,242,699.64","3,490,795,938.85","440,307,633.75","916,668,522.34","1,532,717,586.75","2,021,562,709.29","494,703,121.62","1,170,869,922.61","1,804,991,765.73"
减:营业成本,"14,321,997,667.62","19,605,548,954.18","10,923,550,206.14","24,546,210,403.32","5,655,631,615.38","12,605,231,241.44","19,029,685,318.58","27,874,948,296.90","5,827,011,764.58","15,046,625,026.17","24,732,884,385.64","37,316,311,730.67","8,241,803,988.16","19,747,605,963.67","33,139,136,586.35","46,145,576,547.29","10,744,797,509.41","23,949,588,739.16","38,868,589,840.74","52,759,342,062.41","12,771,368,412.65","29,122,562,856.52","44,581,983,668.57","60,095,424,340.14","14,054,602,396.82","27,567,467,786.54","39,226,334,327.30","54,796,045,598.80","9,598,403,107.49","21,649,336,309.41","31,672,157,432.12","45,636,156,375.43","9,131,770,043.73","21,512,176,565.51","33,082,099,653.94"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"486,429,055.41","668,540,403.41","311,997,161.80","645,038,522.95","143,090,901.67","316,568,935.50","489,770,144.24","763,965,108.47","174,582,711.91","377,917,341.28","663,010,338.32","945,956,001.79","223,516,593.22","532,368,538.34","808,139,017.70","1,146,190,748.64","227,687,452.80","548,224,094.56","815,087,602.02","1,118,983,164.85","232,813,691.51","525,205,996.67","726,670,940.01","1,069,652,676.90","175,989,590.74","392,144,196.79","602,460,356.33","900,192,282.18","179,225,596.27","278,936,391.88","343,131,043.26","426,882,699.08","39,348,097.92","120,071,390.55","177,136,683.86"
营业外收入,"109,799,650.62","90,571,670.62","15,191,591.90","45,045,825.48","2,426,468.15","11,338,367.67","25,429,511.58","45,115,963.68","16,852,191.46","21,334,139.15","33,847,240.51","74,766,291.71","3,243,565.90","11,156,037.83","45,778,150.49","90,977,417.46","17,922,279.69","17,087,806.76","65,960,433.51","110,165,350.12","18,811,062.17","48,049,011.88","75,807,046.39","123,451,310.98","19,524,026.84","41,542,114.40","99,013,533.50","164,724,462.02","45,267,685.97","73,468,462.80","160,506,640.01","306,165,947.86","22,183,375.56","35,278,694.82","46,910,609.38"
销售费用,"106,655,915.83","130,275,294.80","50,112,110.57","115,146,918.75","29,299,305.91","62,493,573.74","100,976,889.61","146,382,426.96","46,867,945.62","84,782,347.68","133,692,124.07","196,195,365.77","42,560,522.81","91,357,684.07","146,197,562.51","227,917,004.70","48,849,672.41","103,115,718.33","149,927,395.03","215,692,216.12","42,190,632.61","88,976,548.71","137,263,519.84","218,898,047.81","49,853,478.80","103,444,850.77","166,931,018.46","254,464,627.52","53,936,229.17","104,423,872.37","157,454,769.37","254,329,691.33","59,384,349.38","120,822,083.98","186,672,209.17"
减:营业外支出,"38,164,531.38","18,582,105.61","4,678,656.25","9,464,265.45","1,677,425.73","16,502,219.39","19,671,455.25","26,930,898.56","957,279.30","3,355,352.51","5,688,385.14","10,689,527.76","846,013.43","4,696,451.97","11,319,275.30","13,835,067.86","6,612,116.57","11,106,395.87","11,769,284.92","21,760,884.02","3,857,672.13","7,546,940.53","16,588,614.31","338,773,134.61","2,179,605.09","10,631,023.55","16,758,439.22","43,659,207.48","7,882,580.24","10,240,837.99","17,895,195.60","133,025,372.90","4,015,917.63","13,181,132.39","19,156,804.04"
管理费用,"766,451,789.61","1,142,707,495.00","548,394,767.73","1,431,028,607.65","334,665,635.16","690,184,355.00","1,094,003,147.28","1,729,333,976.65","416,708,787.40","816,883,799.21","1,382,698,127.08","2,350,923,794.44","512,880,201.85","1,054,845,151.28","1,718,706,218.76","3,134,287,742.39","625,249,298.16","1,274,672,078.88","2,154,513,018.63","3,572,392,177.07","604,389,369.03","1,270,158,725.12","2,210,626,494.24","3,818,049,698.60","696,962,465.26","1,467,054,278.23","2,341,945,228.28","3,923,350,264.26","718,420,793.04","1,439,818,322.76","2,362,375,314.60","3,774,306,404.66","730,798,041.49","1,577,301,140.49","2,516,211,544.63"
其中:非流动资产处置净损失,"24,871,978.22","5,671,679.87","1,917,928.00","5,021,756.16","32,600.47","14,460,704.14","16,077,852.58","16,590,672.25","338,776.33","1,812,558.09","1,779,909.83","2,367,704.65","144,219.33","1,159,755.58","4,726,032.51","6,618,070.19","258,759.97","1,452,535.01","1,787,447.29","3,991,544.66","189,458.75","1,011,544.12","937,785.87","20,623,361.57","97,134.31","1,880,897.94","3,348,630.18","21,491,825.21","596,166.50","5,708,164.02","8,623,683.36","15,104,332.67","258,573.89","1,182,223.32","1,665,202.88"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"278,711,264.38","368,920,823.53","92,056,014.38","5,734,621.73","-6,724,978.35","42,176,497.56","22,902,861.77","-79,522,376.34","-30,203,631.24","-91,114,587.18","-135,150,039.96","-315,059,948.35","-56,038,486.05","-119,513,524.74","-287,576,282.82","-354,265,099.17","-20,635,168.33","-77,863,938.69","-89,532,089.47","-155,081,120.35","-24,511,457.83","28,647,369.21","38,131,349.30","21,176,253.40","-16,720,204.17","27,894,046.29","-19,634,481.46","10,089,610.19","100,680,418.37","36,795,998.07","41,371,637.69","-62,465,689.20","99,181,487.33","254,148,801.89","423,095,098.86"
三、利润总额,"1,058,834,581.04","887,958,666.01","560,612,616.86","1,310,353,795.64","375,467,348.88","818,486,333.74","1,251,933,182.90","2,173,696,194.73","385,354,074.80","1,219,886,752.73","1,823,437,859.15","3,098,318,871.93","510,019,144.66","1,688,397,728.12","2,580,677,308.99","3,881,969,379.10","761,128,660.55","1,969,194,745.48","3,067,709,996.34","4,212,715,385.21","843,775,322.21","2,205,871,174.74","3,153,330,458.24","3,888,979,668.41","634,275,071.94","1,453,175,807.06","2,354,497,793.92","3,611,861,193.39","477,692,739.48","979,896,147.15","1,675,329,031.16","2,194,703,284.25","512,870,579.55","1,192,967,485.04","1,832,745,571.07"
资产减值损失,"55,729,999.17","52,434,350.55","51,865,339.09","39,006,117.04","19,000,043.91","35,145,926.84","23,605,578.55","1,297,472.33","6,865,978.45","28,103,133.68","30,458,102.42","32,012,050.92","1,429,357.23","-5,135,436.16","-8,072,144.31","10,847,558.59","21,206,560.16","37,797,740.66","35,728,918.98","119,886,911.48","-6,046,575.89","23,291,990.79","39,604,731.75","125,873,868.22","-18,527,593.83","145,920,940.26","308,214,983.90","365,382,728.86","10,822,896.57","474,606,709.57","493,152,350.26","1,126,303,902.83","-21,467,759.76","243,384,075.58","235,276,082.03"
减:所得税,"274,852,826.09","206,440,645.57","120,082,495.98","268,704,725.63","57,217,872.56","131,736,063.00","215,645,377.17","427,112,499.38","57,026,195.42","285,613,572.09","387,242,408.39","579,335,307.94","82,571,300.83","279,584,252.15","397,431,984.91","646,083,500.02","128,964,000.16","345,032,149.19","512,764,377.95","738,886,518.92","147,179,669.76","353,272,925.74","509,341,743.41","636,320,743.86","123,419,534.07","281,657,832.68","413,080,639.66","647,284,654.19","94,409,845.23","141,550,489.69","217,450,698.42","419,457,461.18","121,640,010.40","255,943,836.99","389,313,981.82"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,832.52","1,295.57","3,070.53",,,,"2,384.84","31,644.07"
