科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"195,567,931.49","246,010,097.51","258,832,259.92","65,389,570.40","253,825,045.54","306,465,284.94","265,062,925.70","145,042,713.41","193,188,801.32","203,191,867.11","76,282,351.01","124,947,142.94","219,147,633.54","269,606,407.50","160,350,628.92","168,963,939.45","357,752,557.90","187,295,609.35"
短期借款,"110,000,000.00","133,000,000.00","133,000,000.00","175,000,000.00","175,000,000.00","175,000,000.00",,,,,"80,000,000.00","250,000,000.00","210,000,000.00","325,000,000.00","345,000,000.00","415,000,000.00","395,000,000.00","415,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"6,274,400.00","5,350,000.00","8,130,000.00","5,123,760.90","18,650,000.00","26,222,266.39","20,530,000.00","16,228,000.00","33,009,054.22","13,572,327.21","17,260,155.58","13,727,363.35","67,615,704.02","41,672,363.35","13,427,195.65","14,330,010.44","46,997,530.64","34,049,813.18"
应付票据,"26,239,240.00","59,906,517.22","103,574,068.89","99,827,762.93","104,141,613.46","91,677,958.53","73,404,000.00","74,639,000.00","57,260,000.00","36,262,434.22","33,812,434.22","23,195,004.16","35,002,259.12","68,849,551.39","73,741,437.89","54,148,057.14","52,263,962.12","81,695,300.68"
应收账款,"510,986,023.86","642,965,139.73","924,407,728.41","1,337,805,684.84","1,351,307,697.42","1,243,553,582.51","1,479,277,295.89","1,590,214,540.19","1,573,563,124.18","1,416,176,364.61","1,552,532,831.29","1,603,375,241.15","1,714,009,526.92","1,483,429,292.20","1,704,833,052.55","1,808,867,026.32","1,835,444,446.74","1,484,132,060.08"
应付账款,"503,411,121.82","581,408,630.51","732,063,628.53","878,587,535.17","1,035,263,721.35","712,474,800.80","931,892,444.35","994,529,364.08","1,059,797,230.77","801,337,766.91","931,579,139.87","983,226,159.60","1,261,222,002.39","870,265,783.22","1,092,712,713.01","1,177,064,022.01","1,462,589,746.99","947,471,883.13"
预付款项,"9,126,044.57","5,690,464.51","14,399,663.69","9,093,810.38","12,970,510.46","2,869,567.35","3,142,786.65","6,601,416.09","3,997,352.05","8,742,836.07","11,813,870.33","20,619,173.71","13,303,142.10","28,372,575.56","17,133,534.84","20,047,371.68","13,324,340.42","43,195,111.52"
预收款项,"19,688,471.38","18,803,163.73","29,354,506.22","9,176,632.16","4,719,630.50","2,879,952.30","6,962,357.82","3,284,473.67","905,138.76","7,847,321.70","20,616,197.67","25,850,724.02","22,453,932.33","36,290,439.64","36,271,082.82","27,239,353.46","19,961,559.58","24,311,933.04"
其他应收款,"25,353,823.42","31,538,027.73","36,372,906.12","40,951,957.88","43,947,833.87","40,666,599.91","41,764,256.18","45,918,349.37","67,896,758.52","72,136,416.20","85,625,497.86","128,606,084.30","64,076,163.33","70,901,578.95","66,562,636.38","82,937,641.15","76,493,886.51","69,268,242.90"
应付职工薪酬,"6,425,326.51","9,333,990.31","16,183,450.67","5,147,421.86","21,045,761.56","4,966,487.94","4,995,118.46","4,616,058.64","21,908,093.76","4,825,472.84","4,835,718.33","5,207,578.45","29,156,958.08","6,557,104.02","4,833,331.51","5,281,743.06","33,100,005.72","7,881,646.67"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"42,500,547.90","44,008,217.76","52,685,540.10","67,150,376.40","63,268,340.15","60,104,270.12","70,802,343.63","75,136,688.97","81,908,730.86","77,258,545.47","69,186,103.54","78,659,112.03","30,642,281.40","27,755,097.71","19,365,277.77","26,724,461.43","29,389,685.11","22,130,740.18"
应收利息,,,,,,,,"735,561.64","157,356.16","217,808.21","40,109.59","29,983.56",,"219,232.88","466,273.98",,,
