科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"423,003,460.41","474,401,296.49","435,412,314.32","61,976,889.28","110,894,301.76","243,158,183.08","467,400,471.86","41,534,995.41","147,589,057.05","286,594,684.94","512,608,243.78","49,207,382.97","171,773,459.36","318,941,641.87","594,810,791.54","59,495,736.88","213,711,835.99","384,509,081.69","609,941,260.48","89,434,085.38","289,126,448.96","507,496,329.65","797,095,544.69","223,450,940.27","494,894,168.23","851,628,404.26","1,246,263,635.50","244,345,695.05"
取得子公司及其他营业单位支付的现金净额,,"45,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"5,437,365.41","4,975,839.20","5,515,246.77","1,427,501.46","2,105,835.74","3,325,003.80","5,578,872.29","1,391,603.19","1,776,603.63","3,462,438.89","6,136,786.82","402,500.46","2,384,556.43","3,691,224.59","8,528,468.17","1,394,168.26","3,031,413.24","3,885,517.60","5,171,592.57",,619.23,"346,252.28","696,014.05",,,,"447,176.79",
支付其他与投资活动有关的现金,,,,,,,,,,,"550,000.00",,,,,,"19,731.47",,,,,"7,920.32",,,,,,
收到其他与经营活动有关的现金,"20,091,928.86","113,314,618.80","11,718,444.94","2,064,167.92","7,884,243.13","8,933,618.51","24,952,202.32","40,692,161.41","11,353,202.41","12,074,578.73","19,914,594.12","17,962,203.69","1,306,845.38","5,206,226.51","15,036,272.81","2,552,024.08","5,416,182.92","15,465,434.68","20,401,853.47","10,528,972.10","3,555,486.72","3,618,633.78","13,847,268.45","8,375,099.98","5,021,563.40","5,763,349.30","46,892,442.86","5,675,979.22"
投资活动现金流出小计,"25,441,760.34","79,561,396.73","57,634,707.76","19,778,873.35","35,963,272.64","45,537,633.34","91,490,923.53","98,427,801.40","658,011,246.88","926,519,669.67","1,521,798,022.94","429,061,446.26","779,339,384.52","1,219,153,286.04","1,606,680,328.94","441,028,962.32","954,640,970.50","1,646,252,350.50","2,101,159,415.17","768,707,255.18","1,242,017,801.06","1,752,220,748.34","2,282,062,017.38","200,900,840.93","663,322,752.15","772,513,790.20","642,501,441.46","84,740,332.76"
经营活动现金流入小计,"448,532,754.68","592,691,754.49","452,646,006.03","65,468,558.66","120,884,380.63","255,416,805.39","497,931,546.47","83,618,760.01","160,718,863.09","302,131,702.56","538,659,624.72","67,572,087.12","175,464,861.17","327,839,092.97","618,375,532.52","63,441,929.22","222,159,432.15","403,860,033.97","635,514,706.52","99,963,057.48","292,682,554.91","511,461,215.71","811,638,827.19","231,826,040.25","499,915,731.63","857,391,753.56","1,293,603,255.15","250,021,674.27"
投资活动产生的现金流量净额,"-23,834,320.99","-77,089,163.35","-56,812,368.80","-19,778,873.35","-35,370,140.49","-43,277,663.61","-91,401,986.60","-98,427,801.40","-525,786,776.86","-574,602,700.42","-701,053,683.65","132,499,509.60","174,918,667.57","219,516,176.43","243,327,996.65","54,589,354.52","182,807,795.37","-143,661,605.53","-46,594,012.00","-143,512,314.70","165,328,330.83","-41,756,584.73","-207,333,725.67","3,268,200.95","-99,798,095.89","-198,108,533.74","240,844,413.82","18,027,023.40"
购买商品、接受劳务支付的现金,"162,266,700.33","222,307,523.15","215,871,777.44","57,667,196.03","87,166,781.89","154,744,916.56","240,367,472.12","59,099,243.20","96,298,966.76","140,666,583.91","244,704,279.10","59,652,933.24","103,631,064.53","153,692,615.50","298,175,130.11","65,767,499.51","124,580,413.99","205,194,399.18","268,313,753.11","65,858,982.78","117,879,855.58","198,752,493.36","298,117,039.48","98,948,324.20","211,319,031.23","332,530,975.35","471,396,971.90","126,956,257.31"
吸收投资收到的现金,,,,,"446,310,000.00","446,310,000.00","456,560,000.00",,,,,,,,,,,,,,,,"35,350,054.04",,,,"1,650,008.34",
支付给职工以及为职工支付的现金,"17,304,359.16","20,464,415.64","32,431,927.56","12,457,721.48","20,560,624.87","27,670,532.54","36,083,258.53","15,941,773.90","24,195,580.80","31,796,180.74","42,516,426.45","15,138,316.92","25,807,769.03","34,697,255.67","48,954,139.10","20,319,594.47","33,683,385.86","47,731,020.72","61,963,876.36","19,746,165.03","32,730,571.98","47,919,620.07","65,910,826.44","32,318,551.78","47,446,149.55","64,023,087.03","90,791,083.38","32,600,197.34"
取得借款收到的现金,"50,000,000.00","60,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"51,416,259.14","49,470,388.44","55,029,846.45","16,281,175.52","29,822,164.01","38,274,056.51","52,301,713.63","19,579,857.12","32,466,028.88","43,170,300.89","54,110,766.87","13,995,024.62","35,050,256.90","45,915,278.27","71,379,129.96","20,591,080.49","34,034,399.35","51,598,782.37","72,577,032.11","31,638,343.14","53,858,012.19","82,131,394.04","108,937,807.94","35,876,069.42","57,817,981.13","98,840,202.46","138,464,864.73","46,162,983.37"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,"3,510,000.00",,,,"11,000,000.00",,,,,"2,263,199.87"
支付其他与经营活动有关的现金,"78,997,303.41","85,860,891.90","69,845,895.36","16,945,878.47","33,244,088.93","40,915,189.52","60,717,058.57","241,150,530.84","27,661,800.13","46,409,615.29","69,156,364.99","14,502,152.08","27,893,655.36","54,692,485.21","70,233,497.04","13,498,651.77","30,193,233.06","55,894,462.27","77,183,766.55","10,886,867.47","24,242,334.51","40,474,864.11","72,164,800.24","16,467,597.58","55,623,172.95","98,826,763.95","144,889,357.61","19,401,539.11"
筹资活动现金流入小计,"50,000,000.00","60,000,000.00",,,"446,310,000.00","446,310,000.00","456,560,000.00",,,,,,,,,,,,"3,510,000.00",,,,"46,350,054.04",,,,"1,650,008.34","2,263,199.87"
经营活动现金流出小计,"309,984,622.04","378,103,219.13","373,179,446.81","103,351,971.50","170,793,659.70","261,604,695.13","389,469,502.85","335,771,405.06","180,622,376.57","262,042,680.83","410,487,837.41","103,288,426.86","192,382,745.82","288,997,634.65","488,741,896.21","120,176,826.24","222,491,432.26","360,418,664.54","480,038,428.13","128,130,358.42","228,710,774.26","369,278,371.58","545,130,474.10","183,610,542.98","372,206,334.86","594,221,028.79","845,542,277.62","225,120,977.13"
偿还债务支付的现金,"60,000,000.00","80,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"138,548,132.64","214,588,535.36","79,466,559.22","-37,883,412.84","-49,909,279.07","-6,187,889.74","108,462,043.62","-252,152,645.05","-19,903,513.48","40,089,021.73","128,171,787.31","-35,716,339.74","-16,917,884.65","38,841,458.32","129,633,636.31","-56,734,897.02","-332,000.11","43,441,369.43","155,476,278.39","-28,167,300.94","63,971,780.65","142,182,844.13","266,508,353.09","48,215,497.27","127,709,396.77","263,170,724.77","448,060,977.53","24,900,697.14"
分配股利、利润或偿还利息支付的现金,"2,865,150.00","68,525,471.00","18,000,000.00",,,,,,"50,000,000.00","50,000,000.00","50,000,000.00",,"70,000,000.00","70,000,000.00","70,000,000.00",,"100,000,000.00","100,000,000.00","100,000,000.00",,"100,000,000.00","100,000,000.00","100,000,000.00",,"198,400,000.00","198,400,000.00","198,400,000.00","6,951.84"
收回投资收到的现金,,,,,,,,,"128,000,000.00","341,000,000.00","799,000,000.00","551,000,000.00","936,550,000.00","1,411,000,000.00","1,815,450,000.00","485,000,000.00","1,120,669,400.00","1,480,669,400.00","2,027,000,000.00","618,000,000.00","1,396,000,000.00","1,696,000,000.00","2,056,000,000.00","200,000,000.00","550,000,000.00","550,000,000.00","850,000,000.00","100,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"8,250,000.00",,,,,,,,,,,,"14,510,000.00",,,,,,,,,"1,404,346.31"
取得投资收益收到的现金,,,,,,,,,"4,224,470.02","10,616,969.25","21,158,658.94","10,554,955.86","17,556,552.09","27,305,962.47","31,753,745.46","10,067,534.11","16,017,450.87","20,530,929.97","26,148,986.93","5,868,535.84","10,027,616.71","13,064,163.61","17,296,394.16","4,062,041.88","13,410,182.49","23,664,056.46","32,004,949.62","2,726,356.16"
筹资活动现金流出小计,"62,865,150.00","148,525,471.00","18,000,000.00",,,,"8,250,000.00",,"50,000,000.00","50,000,000.00","50,000,000.00",,"70,000,000.00","70,000,000.00","70,000,000.00",,"100,000,000.00","100,000,000.00","114,510,000.00",,"100,000,000.00","100,000,000.00","100,000,000.00",,"198,400,000.00","198,400,000.00","198,400,000.00","1,411,298.15"
处置固定资产、无形资产和其他长期资产收回的现金净额,"117,692.31",,"140,847.49",,,"60,400.00","88,936.93",,,"300,000.00","263,966.57","6,000.00","151,500.00","363,500.00","2,498,697.67","550,782.73","761,915.00","1,390,415.00","1,416,416.24","1,326,404.64","1,318,515.18","1,400,000.00","1,431,897.55","107,000.00","114,473.77","741,200.00","737,705.66","41,000.00"
筹资活动产生的现金流量净额,"-12,865,150.00","-88,525,471.00","-18,000,000.00",,"446,310,000.00","446,310,000.00","448,310,000.00",,"-50,000,000.00","-50,000,000.00","-50,000,000.00",,"-70,000,000.00","-70,000,000.00","-70,000,000.00",,"-100,000,000.00","-100,000,000.00","-111,000,000.00",,"-100,000,000.00","-100,000,000.00","-53,649,945.96",,"-198,400,000.00","-198,400,000.00","-196,749,991.66","851,901.72"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,"-1,168.60",,,,818.11,"-2,782.62",563.11,,"2,396.33",,,,,,,,"-22,390.89",
收到其他与投资活动有关的现金,"1,489,747.04","2,472,233.38","681,491.47",,"593,132.15","2,199,569.73",,,,,"321,713.78",,,,"305,882.46",,,,,,,,,,,,"603,200.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,607,439.35","2,472,233.38","822,338.96",,"593,132.15","2,259,969.73","88,936.93",,"132,224,470.02","351,916,969.25","820,744,339.29","561,560,955.86","954,258,052.09","1,438,669,462.47","1,850,008,325.59","495,618,316.84","1,137,448,765.87","1,502,590,744.97","2,054,565,403.17","625,194,940.48","1,407,346,131.89","1,710,464,163.61","2,074,728,291.71","204,169,041.88","563,524,656.26","574,405,256.46","883,345,855.28","102,767,356.16"
五、现金及现金等价物净增加额,"101,848,661.65","48,973,901.01","4,654,190.42","-57,662,286.19","361,030,580.44","396,844,446.65","465,370,057.02","-350,580,446.45","-595,690,290.34","-584,513,678.69","-622,883,064.94","96,783,169.86","88,000,782.92","188,357,634.75","302,962,451.07","-2,148,325.12","82,476,358.37","-200,220,236.10","-2,115,337.28","-171,679,615.64","129,300,111.48","426,259.40","5,524,681.46","51,483,698.22","-170,488,699.12","-133,337,808.97","492,133,008.80","43,779,622.26"
购建固定资产、无形资产和其他长期资产支付的现金,"25,441,760.34","34,561,396.73","57,634,707.76","19,778,873.35","35,963,272.64","45,537,633.34","91,490,923.53","20,427,801.40","39,011,246.88","57,519,669.67","91,798,022.94","4,061,446.26","19,339,384.52","59,153,286.04","86,680,328.94","9,028,962.32","12,621,239.03","24,252,350.50","39,159,415.17","12,707,255.18","16,017,801.06","26,212,828.02","46,062,017.38","900,840.93","13,322,752.15","22,513,790.20","102,501,441.46","84,740,332.76"
期初现金及现金等价物余额,"59,998,452.75","161,847,114.40","210,821,015.41","218,677,578.19","215,475,205.83","215,475,205.83","215,475,205.83","680,845,262.85","680,845,262.85","680,845,262.85","680,845,262.85","57,962,197.91","57,962,197.91","57,962,197.91","57,962,197.91","360,924,648.98","360,924,648.98","360,924,648.98","360,924,648.98","358,809,311.70","358,809,311.70","358,809,311.70","358,809,311.70","364,333,993.16","364,333,993.16","364,333,993.16","364,333,993.16","856,467,001.96"
投资支付的现金,,,,,,,,"78,000,000.00","619,000,000.00","869,000,000.00","1,429,450,000.00","425,000,000.00","760,000,000.00","1,160,000,000.00","1,520,000,000.00","432,000,000.00","942,000,000.00","1,622,000,000.00","2,062,000,000.00","756,000,000.00","1,226,000,000.00","1,726,000,000.00","2,236,000,000.00","200,000,000.00","650,000,000.00","750,000,000.00","540,000,000.00",
期末现金及现金等价物余额,"161,847,114.40","210,821,015.41","215,475,205.83","161,015,292.00","576,505,786.27","612,319,652.48","680,845,262.85","330,264,816.40","85,154,972.51","96,331,584.16","57,962,197.91","154,745,367.77","145,962,980.83","246,319,832.66","360,924,648.98","358,776,323.86","443,401,007.35","160,704,412.88","358,809,311.70","187,129,696.06","488,109,423.18","359,235,571.10","364,333,993.16","415,817,691.38","193,845,294.04","230,996,184.19","856,467,001.96","900,246,624.22"
