科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,295,095,313.94","1,639,383,905.36","2,374,778,063.11",,"1,068,481,003.04","1,639,994,749.43","2,973,538,507.67","686,901,287.53","1,226,777,303.36","1,921,574,612.50","3,402,214,244.82","701,598,415.98","1,286,164,643.17","2,005,927,824.18","3,501,231,496.55","715,431,245.74"
取得子公司及其他营业单位支付的现金净额,"4,374,618.19","4,800,000.00","169,401,394.10",,,,,,,"1,611,394.80","1,611,394.80",,,,,
收到的税费返还,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"3,000,000.00",,,,,,"850,000,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"33,776,444.68","34,947,073.07","40,019,491.10",,"69,186,775.74","58,139,810.45","47,944,866.28","15,918,022.50","30,175,725.95","43,492,631.86","66,167,816.88","16,247,589.33","18,600,351.87","41,685,770.92","72,742,752.13","11,202,696.02"
投资活动现金流出小计,"126,554,586.47","109,364,099.30","334,213,509.76",,"68,664,936.99","97,969,559.43","1,019,136,641.04","452,121,955.87","518,640,509.64","770,312,453.49","921,216,572.19","217,547,321.14","272,175,633.86","323,030,897.98","334,472,751.09","50,888,067.19"
经营活动现金流入小计,"1,328,871,758.62","1,674,330,978.43","2,414,797,554.21",,"1,137,667,778.78","1,698,134,559.88","3,021,483,373.95","702,819,310.03","1,256,953,029.31","1,965,067,244.36","3,468,382,061.70","717,846,005.31","1,304,764,995.04","2,047,613,595.10","3,573,974,248.68","726,633,941.76"
投资活动产生的现金流量净额,"-9,073,114.98","-41,256,939.90","-268,432,593.53","-8,255,640.53","-34,312,892.17","-53,075,246.54","-477,351,245.08","-45,609,594.59","-89,384,310.88","280,812,190.20","202,480,900.06","-30,315,503.98","-79,211,982.30","38,670,893.11","90,407,152.44","-48,504,459.06"
购买商品、接受劳务支付的现金,"979,382,009.23","1,209,488,361.84","1,868,211,547.80",,"827,662,773.49","1,262,740,617.44","2,529,596,511.24","529,316,412.27","966,579,478.98","1,525,872,994.42","2,900,837,518.79","617,379,539.99","1,097,289,534.69","1,691,814,050.29","3,117,715,090.32","596,927,994.78"
吸收投资收到的现金,,,,,"4,900,000.00","928,155,000.00","5,390,000.00",,,"490,000.00","490,000.00",,"18,620,000.00","18,620,000.00","20,090,000.00","1,470,000.00"
支付给职工以及为职工支付的现金,"76,750,784.48","96,211,966.76","114,491,772.37",,"72,369,984.87","104,637,646.92","141,024,475.06","50,296,324.42","87,737,815.46","125,714,677.79","172,343,828.73","57,207,307.90","99,467,947.32","140,285,495.37","188,388,174.37","55,948,054.08"
取得借款收到的现金,"144,613,717.33","151,914,349.70","337,559,522.72",,"228,114,074.14","228,114,074.14","247,114,074.14","9,500,000.00","21,000,000.00","21,000,000.00","60,995,100.20",,,,"20,000,000.00","2,137,501.99"
支付的各项税费,"55,342,642.66","68,713,760.91","66,348,391.71",,"72,219,285.15","106,390,861.40","101,786,441.56","26,385,835.81","51,086,297.57","74,181,495.96","93,702,382.49","47,955,008.96","74,831,134.38","90,085,893.92","93,422,639.44","38,588,178.27"
收到其他与筹资活动有关的现金,,"3,220,000.00",,,,,"922,765,000.00",,,,,,,,,
支付其他与经营活动有关的现金,"49,840,414.02","52,850,422.91","56,573,454.74",,"51,294,486.83","72,992,351.18","57,950,505.97","20,993,686.04","33,256,376.42","62,501,761.03","83,007,937.19","19,658,839.29","27,771,947.87","47,130,369.00","62,737,043.99","30,869,653.76"
筹资活动现金流入小计,"144,613,717.33","155,134,349.70","337,559,522.72",,"233,014,074.14","1,156,269,074.14","1,175,269,074.14","9,500,000.00","21,000,000.00","21,490,000.00","61,485,100.20",,"18,620,000.00","18,620,000.00","40,090,000.00","3,607,501.99"
经营活动现金流出小计,"1,161,315,850.39","1,427,264,512.42","2,105,625,166.62",,"1,023,546,530.34","1,546,761,476.94","2,830,357,933.83","626,992,258.54","1,138,659,968.43","1,788,270,929.20","3,249,891,667.20","742,200,696.14","1,299,360,564.26","1,969,315,808.58","3,462,262,948.12","722,333,880.89"
偿还债务支付的现金,"106,000,000.00","179,367,635.82","265,640,814.28",,"289,588,399.91","339,614,035.58","360,833,278.52","4,143,322.55","5,286,645.10","9,429,967.65","54,227,105.49","49,786,645.07","49,786,645.07","49,786,645.07","86,127,929.98",
经营活动产生的现金流量净额,"167,555,908.23","247,066,466.01","309,172,387.59","99,076,665.47","114,121,248.44","151,373,082.94","191,125,440.12","75,827,051.49","118,293,060.88","176,796,315.16","218,490,394.50","-24,354,690.83","5,404,430.78","78,297,786.52","111,711,300.56","4,300,060.87"
分配股利、利润或偿还利息支付的现金,"25,387,138.62","42,268,542.23","46,149,189.60",,"7,221,652.30","8,754,205.13","12,610,143.57","3,709,872.31","98,253,608.87","99,348,484.59","101,330,586.93","2,894,095.31","4,307,459.11","102,057,464.48","103,049,008.83","929,174.31"
收回投资收到的现金,,,"18,674.24",,,,"450,000,000.00","400,450,000.00","400,000,000.00","1,000,000,000.00","1,000,995,919.44","182,524,076.18","182,524,076.18","332,524,076.18","333,194,476.18","105,000.00"
支付其他与筹资活动有关的现金,"4,043,392.95","3,306,248.75","3,883,849.15",,"3,484,489.32","5,735,198.97","11,656,678.38","703,654.38","2,552,254.38","5,145,164.35","2,713,809.81","1,161,537.00","3,626,337.00","6,102,196.50","2,255,243.27","2,199,403.95"
取得投资收益收到的现金,"12,315,468.96","6,063,267.14","17,356,098.11",,"19,336,720.20","19,664,423.81","34,360,327.52","3,069,827.76","17,951,776.29","30,163,098.51","36,126,400.82","1,292,328.77","1,292,328.77","18,567,843.90","24,287,963.43","38,783.33"
筹资活动现金流出小计,"135,430,531.57","224,942,426.80","315,673,853.03",,"300,294,541.53","354,103,439.68","385,100,100.47","8,556,849.24","106,092,508.35","113,923,616.59","158,271,502.23","53,842,277.38","57,720,441.18","157,946,306.05","191,432,182.08","3,128,578.26"
处置固定资产、无形资产和其他长期资产收回的现金净额,"171,869.39","187,707.15","3,096,409.49",,"15,015,324.62","25,229,889.08","2,987,187.58","2,992,533.52",,"78,020.00","78,120.00",,300.00,300.00,"316,456.15",100.00
筹资活动产生的现金流量净额,"9,183,185.76","-69,808,077.10","21,885,669.69","-44,173,012.40","-67,280,467.39","802,165,634.46","790,168,973.67","943,150.76","-85,092,508.35","-92,433,616.59","-96,786,402.03","-53,842,277.38","-39,100,441.18","-139,326,306.05","-151,342,182.08","478,923.73"
处置子公司及其他营业单位收到的现金净额,"38,444,492.86",,,,,,,,"444,298.96","2,609,998.96","21,758,912.95",,,"3,500,000.00","58,807,217.60",
四、汇率变动对现金的影响,"-4,821.89","1,048.88","22,100.00",,"8,339.33","11,069.71",77.08,"-2,209.42","-9,530.28","-17,590.32","-25,223.54","-14,426.02","4,830.16","20,223.38","20,897.50","-7,602.82"
收到其他与投资活动有关的现金,"16,953,451.55","13,100,000.00","14,982,912.83",,,,"54,437,880.86",,"10,860,123.51","18,273,526.22","64,738,119.04","3,415,412.21","9,146,946.61","7,109,571.01","8,273,790.17","2,239,724.80"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"117,481,471.49","68,107,159.40","65,780,916.23",,"34,352,044.82","44,894,312.89","541,785,395.96","406,512,361.28","429,256,198.76","1,051,124,643.69","1,123,697,472.25","187,231,817.16","192,963,651.56","361,701,791.09","424,879,903.53","2,383,608.13"
五、现金及现金等价物净增加额,"167,661,157.12","136,002,497.89","62,647,563.75","46,646,329.61","12,536,228.21","900,474,540.57","503,943,245.79","31,158,398.24","-56,193,288.63","365,157,298.45","324,159,668.99","-108,526,898.21","-112,903,162.54","-22,337,403.04","50,797,168.42","-43,733,077.28"
购建固定资产、无形资产和其他长期资产支付的现金,"75,699,607.03","60,834,998.99","156,890,990.66",,"68,664,936.99","97,969,559.43","169,136,641.04","49,421,955.87","107,440,509.64","151,501,058.69","202,405,177.39","67,027,321.14","116,355,633.86","164,130,897.98","171,497,751.09","46,923,067.19"
期初现金及现金等价物余额,"211,076,884.10","378,738,041.22","514,740,539.11",,"577,388,102.86","577,388,102.86","577,388,102.86","1,081,331,348.65","1,081,331,348.65","1,081,331,348.65","1,081,331,348.65","1,405,491,017.64","1,405,491,017.64","1,405,491,017.64","1,405,491,017.64","1,456,288,186.06"
