科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"79,078,135.57","181,948,093.78","136,067,026.45","151,509,915.82","784,391,495.54","481,878,530.57","479,355,646.73","431,681,547.71","345,220,215.87","294,645,483.75","407,873,114.98","416,290,197.35","356,161,400.31","422,451,931.46","318,847,750.30","418,607,179.35","321,247,723.36","423,531,211.91","370,241,967.10","455,316,250.43","366,980,765.06","230,499,491.21","252,610,014.40","371,236,325.01","193,619,980.12","197,634,934.47","145,576,185.29","313,788,344.86","412,343,247.88","292,632,105.84","408,264,443.25","337,397,041.68","382,876,660.40","402,432,513.82","528,635,816.68","755,358,494.67","620,094,468.73","445,321,602.92","540,643,221.09","502,698,664.35"
短期借款,"299,387,650.85","342,555,723.50","458,733,526.00","517,864,994.24","138,161,474.59","26,335,323.00","60,232,487.00","80,000,000.00","168,106,192.00","194,573,025.00","205,057,650.00","181,177,200.00","147,966,045.00","238,170,500.00","343,426,750.00","415,003,073.00","352,828,880.00","268,984,800.00","153,000,000.00","327,898,578.00","250,966,000.00","276,830,000.00","286,428,000.00","299,426,600.00","315,559,040.00","316,178,080.00","306,000,000.00","37,000,000.00","20,000,000.00","20,000,000.00","100,000,000.00","378,000,000.00","388,000,000.00","544,500,000.00","694,000,000.00","788,000,000.00","759,939,920.00","634,000,000.00","600,000,000.00","823,000,000.00"
交易性金融资产,,"1,414,787.50","3,686,825.00","2,737,500.00",,,,,,"7,076,470.50","3,717,793.50","1,272,921.00","-1,880,349.00","-2,058,715.00",,,,"1,653,660.00","627,750.00","-2,300,940.00","3,415,705.32","1,591,150.00",,,,,,,,,,,,,"406,510.76",,,,"1,258,030.64",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,"106,380.00",,,,,,,,,,,,,,,,"6,616,691.58","7,834,549.15","45,800.00",
应收票据,"4,081,362.00","964,018.00","3,574,408.47","6,125,405.48","11,609,057.18","14,885,021.69","29,760,670.02","20,561,470.97","35,935,767.56","37,569,150.31","41,318,258.76","81,235,729.61","67,475,463.68","45,852,876.30","34,644,962.65","13,175,404.43","9,819,251.10","36,321,746.28","57,599,988.46","18,858,271.02","34,960,577.12","38,027,934.02","83,190,654.89","44,245,029.74","39,342,105.87","29,263,002.06","86,088,973.53","40,024,323.32","12,231,348.26","21,250,724.13","56,640,283.75","28,020,818.93","7,369,781.85","29,499,568.57","80,772,384.98","25,013,538.01","35,789,802.84","25,185,187.53","33,563,801.41","25,483,853.58"
应付票据,"89,227,450.00","150,800,000.00","120,000,000.00","129,999,950.09","74,008,558.50","75,470,000.00","106,370,000.00","40,000,000.00",,,"50,000.00","50,000.00",,,,,,,,,,,,,,,,,"16,456,343.45","26,720,392.91","25,990,695.82","32,504,282.75","41,720,136.16","62,665,460.71","59,360,462.84","57,607,060.16","96,830,127.35",,"92,118,959.22",
应收账款,"247,522,413.01","310,708,791.16","375,190,508.83","352,716,917.70","396,788,559.96","406,998,254.17","413,150,150.29","406,836,546.38","444,221,927.96","451,256,175.14","447,447,081.01","351,366,433.30","370,013,434.14","438,753,055.44","392,610,587.84","392,703,475.36","418,164,579.06","443,848,003.67","407,867,587.04","385,597,710.82","411,895,850.11","432,756,504.80","387,766,725.43","399,381,203.56","424,942,627.46","492,939,473.50","436,050,213.42","472,586,365.47","422,924,292.90","493,243,920.74","480,409,656.68","486,115,153.47","495,139,379.95","522,782,377.03","609,098,945.48","646,467,579.05","679,261,263.04","728,935,683.17","809,651,140.05","843,350,249.74"
应付账款,"172,044,377.49","209,317,397.62","260,486,745.79","207,846,353.10","217,607,260.96","259,942,529.51","305,098,845.62","243,084,526.62","238,176,730.22","257,427,005.89","256,616,044.93","203,900,614.19","210,763,322.31","229,231,414.15","299,496,107.18","235,429,269.85","234,886,741.88","242,706,603.85","312,683,070.85","258,751,440.99","295,179,215.75","282,182,967.30","282,391,600.89","236,992,062.89","294,382,534.84","296,387,616.48","302,393,325.57","276,181,470.79","303,507,541.31","331,968,091.36","429,267,302.12","416,599,666.14","373,215,012.47","432,171,727.14","509,685,928.13","508,745,949.55","518,003,609.13",,"656,815,293.86",
预付款项,"20,706,436.60","26,719,149.22","34,077,074.49","65,760,803.93","58,343,311.41","137,225,370.40","146,314,225.55","146,102,571.31","155,835,441.04","200,518,369.12","80,831,973.76","105,424,290.52","71,202,028.44","72,967,991.50","63,056,464.78","49,477,415.29","64,396,946.61","45,757,735.73","31,222,554.32","48,834,062.25","45,978,183.41","45,240,250.56","24,399,060.49","35,989,922.16","35,342,648.55","33,421,291.61","25,177,974.78","16,564,946.42","22,578,189.10","19,345,450.87","33,789,920.35","34,868,493.52","36,615,193.45","38,705,515.76","48,554,343.33","44,448,770.41","48,948,916.15","86,413,932.09","59,975,686.22","127,664,776.01"
预收款项,"18,714,027.36","23,764,145.45","28,615,729.12","34,247,111.26","28,384,234.70","30,000,520.04","29,245,873.54","25,470,558.45","35,167,405.62","38,343,198.00","25,675,963.64","36,751,198.14","34,123,122.21","65,087,989.84","47,503,696.43","57,021,990.98","51,179,038.54","47,565,017.68","47,883,824.64","43,230,310.47","45,143,979.99","49,199,917.31","35,405,542.08","30,043,959.77","31,347,625.04","26,742,873.33","34,541,490.93","28,314,926.49","28,855,464.00","35,694,003.25","73,897,118.29","40,855,176.73","42,117,931.77","36,988,637.36","71,274,139.78","77,553,370.24","73,947,433.33","83,203,955.00","88,517,219.38","69,340,475.78"
其他应收款,"66,513,992.53","12,124,353.03","12,645,721.55","13,978,188.82","9,390,029.85","17,896,446.35","16,571,489.33","21,812,059.01","18,925,416.11","15,491,689.75","7,068,520.35","11,500,986.63","19,509,563.49","19,262,882.59","18,987,413.51","25,042,226.98","20,593,232.38","24,952,348.86","20,439,995.97","29,519,414.51","11,316,070.67","12,520,310.29","9,476,395.34","14,387,994.57","14,723,996.72","13,212,779.18","6,910,678.66","17,430,705.32","13,850,690.27","18,756,015.38","6,592,680.35","16,313,026.53","13,952,340.68","17,662,865.68","10,899,333.31","22,110,432.23","24,008,591.07","24,139,620.38","11,117,538.84","22,367,143.90"
应付职工薪酬,"27,963,399.24","23,627,633.59","28,647,168.46","25,463,755.93","27,904,606.16","23,878,485.27","22,183,809.23","22,626,743.25","27,935,650.26","26,682,347.83","26,264,202.37","21,475,898.48","27,655,440.96","28,413,405.75","29,152,837.94","31,871,826.80","30,827,611.59","33,381,274.66","31,578,082.35","35,794,048.05","32,622,420.76","38,743,371.81","46,590,289.12","43,229,991.36","49,750,267.55","51,320,907.58","52,713,324.74","51,315,149.99","50,568,533.23","50,364,559.06","64,541,694.78","54,501,502.40","57,252,568.38","60,464,861.13","70,652,016.07","56,340,353.57","51,454,492.64","55,688,543.30","74,612,799.95","64,799,587.36"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-5,199,605.95","-15,378,299.78","-23,924,621.43","-31,142,816.00","-26,428,246.78","-22,568,763.00","-28,628,885.55","-20,760,355.90","-28,792,247.55","-34,931,730.98","-26,862,487.27","-28,169,426.46","-42,893,411.12","-41,243,335.91","-50,070,479.55","-31,315,774.54","-46,999,051.86","-36,694,548.27","-17,686,226.19","-26,914,394.41","-29,305,703.30","-23,591,117.46","23,154,328.11","22,843,660.26","17,852,189.17","9,967,367.66","16,786,723.98","18,218,179.62","11,827,454.67","14,484,032.79","19,312,981.73","12,456,085.59","19,535,925.51","17,731,181.50","63,838,488.59","59,804,549.61","23,903,863.86","16,301,326.48","21,482,791.40","21,821,608.76"
应收利息,,,,,,,"1,543,492.00","1,925,757.33","804,835.25","342,479.36","800,855.13","830,308.03","1,530,991.24","813,758.94","538,264.49","372,949.03","135,380.56","123,542.73","153,576.52","8,400.00","310,463.02","686,958.90","986,626.33","1,230,735.92","426,664.53","703,420.70","259,722.22",,,"191,602.91",,"178,465.71","298,710.96","426,131.41","395,374.91","389,235.64","930,868.46",,,"94,307.93"
应付利息,"1,245,790.79","1,057,717.66","512,423.61","820,098.94","387,327.69","85,393.87","38,541.49","115,622.22","222,519.72","500,024.25","363,183.78","191,979.32","185,775.13","275,803.45","322,059.92","540,390.69","477,948.31","379,023.18","255,166.67","423,493.54","541,386.58","370,073.53","627,941.42","417,171.68","396,935.61","395,572.24","217,319.46","279,847.24","254,388.89","254,388.89","346,223.22","984,368.28","654,516.40","1,288,329.24","1,236,021.57","2,348,108.63","1,525,225.20",,"1,478,901.10","1,491,236.35"
