科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"134,017,168.79","211,768,593.02","183,593,131.02","158,988,982.57","259,630,120.82","40,106,135.68","87,555,130.98","143,631,610.46","205,275,605.92","36,783,207.49","80,113,480.21","143,026,570.69","219,604,617.37","55,606,355.10","112,167,101.92","163,789,901.91","255,119,872.89","39,402,275.78","103,178,954.38","155,044,002.44","254,340,854.97","44,471,053.21","97,391,289.32","144,863,339.19","241,916,796.70","66,150,579.49","127,940,980.94","182,737,540.45","261,415,836.41","48,088,580.77","93,026,801.35","128,982,683.80","198,494,077.45","37,656,702.32","82,061,241.91"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"573,580.00","583,638.71","431,177.36","1,144,436.93","1,770,706.72","1,229,695.50","2,148,821.41","2,148,821.41","2,429,021.49","143,613.38","150,986.59","150,986.59","211,177.41",,,"168,941.24","168,941.24","190,682.42","419,132.32","419,132.32","419,132.32",,,,,"233,875.11","233,875.11","233,875.11","233,875.11",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"24,036,889.70","12,159,058.76","37,557,716.20","6,675,941.78","7,649,948.20","1,841,953.51","4,480,069.25","10,836,593.88","9,922,256.69","2,580,789.17","5,420,125.32","7,024,617.23","9,776,428.95","4,514,172.74","9,551,541.36","17,977,424.43","8,930,390.15","9,998,747.70","13,966,755.56","12,539,687.18","8,643,915.36","3,862,843.27","2,915,387.00","4,751,055.75","23,282,344.51","1,913,972.74","4,908,244.62","1,781,447.85","12,110,344.39","4,737,999.58","7,492,299.92","7,858,124.06","9,953,811.50","8,514,219.90","10,217,250.74"
投资活动现金流出小计,"13,638,614.80","2,637,579.02","8,214,683.80","18,215,668.50","25,777,783.00","7,604,266.03","25,985,618.69","44,160,244.43","58,785,517.91","17,203,279.01","26,761,939.51","32,698,169.52","42,192,486.01","13,011,150.54","18,904,458.87","30,056,484.92","46,974,024.95","8,245,255.63","16,281,182.42","23,572,669.82","49,483,865.67","15,905,297.72","27,330,966.96","29,875,605.54","37,738,607.12","13,091,688.97","14,151,103.21","26,530,186.63","24,310,856.57","6,843,540.13","16,164,525.51","106,029,596.77","105,146,034.24","48,262,463.65","3,866,005.97"
经营活动现金流入小计,"158,627,638.49","224,511,290.49","221,582,024.58","166,809,361.28","269,050,775.74","43,177,784.69","94,184,021.64","156,617,025.75","217,626,884.10","39,507,610.04","85,684,592.12","150,202,174.51","229,592,223.73","60,120,527.84","121,718,643.28","181,936,267.58","264,219,204.28","49,591,705.90","117,564,842.26","168,002,821.94","263,403,902.65","48,333,896.48","100,306,676.32","149,614,394.94","265,199,141.21","68,298,427.34","133,083,100.67","184,752,863.41","273,760,055.91","52,826,580.35","100,519,101.27","136,840,807.86","208,447,888.95","46,170,922.22","92,278,492.65"
投资活动产生的现金流量净额,"-13,532,114.80","-2,637,579.02","-5,690,551.40","-18,214,168.50","-25,776,283.00","-7,604,266.03","-25,985,618.69","-44,092,436.93","-58,717,732.53","-17,203,279.01","-26,666,939.51","-32,603,169.52","-42,069,000.25","-13,011,150.54","-18,876,997.33","-30,029,023.38","-46,913,375.26","-8,245,255.63","-16,275,981.56","-23,495,042.65","-48,240,669.39","-15,905,297.72","-27,330,966.96","-29,875,605.54","-37,738,607.12","-13,080,288.97","-14,133,183.21","-26,512,266.63","-24,292,936.57","-6,843,540.13","-15,804,325.96","-105,639,397.22","-43,661,949.40","-22,678,466.15","22,050,225.68"
购买商品、接受劳务支付的现金,"101,339,771.97","141,525,791.40","158,685,556.12","130,039,784.68","174,836,429.88","71,545,277.71","114,365,322.33","161,531,371.66","203,016,294.31","35,141,921.25","66,802,160.84","116,080,532.50","153,166,887.75","42,210,992.56","80,284,281.98","120,980,298.20","164,075,725.55","64,967,511.49","111,872,773.31","149,045,694.52","166,229,789.73","38,850,932.89","71,308,064.70","103,394,980.69","138,793,197.80","56,061,351.49","100,290,565.64","123,232,264.79","163,179,633.27","34,301,349.77","68,889,413.14","92,657,788.63","126,616,986.93","39,171,777.65","59,623,277.36"
吸收投资收到的现金,"20,670,000.00",,,,,,"321,875,000.00","321,875,000.00","321,875,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
