科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"17,885,359.48","33,698,117.08","42,314,628.86","56,150,407.57","51,778,778.50","326,430,308.25","226,719,126.30","219,103,939.27","41,968,752.63","63,423,170.66","184,123,328.97","92,583,361.47","77,728,719.01","125,600,428.47","140,701,781.85","132,994,262.50","107,715,001.31","151,832,726.18","591,305,967.00","161,133,113.03","211,355,001.84","200,083,010.35"
短期借款,,,"20,000,000.00","58,000,000.00","58,000,000.00","58,000,000.00",,,,,,,,"6,200,000.00","6,200,000.00","5,606,399.19","5,553,749.83","47,609,018.08","137,825,225.78","132,106,020.20","117,183,348.91","162,150,513.07"
交易性金融资产,"183,056.00",,"523,475.00",,,"1,025,050.00","2,315,735.00","490,800.00",,"359,740.00",,,,"360,480.00","1,089,820.00","990,070.00",,,,,,"317,310,000.00"
交易性金融负债,,,,"726,875.00","409,775.00",,,,"265,410.00",,"638,515.00","302,350.00",,,,,,,,,,
应收票据,"5,229,136.16","4,252,400.00","3,647,813.75","4,368,080.00","3,401,514.47","4,089,210.00","10,977,016.81","9,853,046.81","4,862,620.00","4,382,620.00","14,659,611.08","16,019,771.65","16,366,463.55","18,087,259.17","14,326,091.75","19,047,366.25","29,534,784.30","20,804,419.60","12,430,303.60","12,807,725.57","17,899,196.28","13,631,626.95"
应付票据,"6,000,000.00","1,924,579.00",,"1,521,250.00","2,386,860.00","8,784,400.00",,,,"1,110,000.00","10,000,000.00","4,000,000.00","15,150,000.00","16,010,000.00","17,020,000.00","11,000,000.00",,"1,500,000.00","10,250,000.00",,"19,846,165.00",
应收账款,"17,943,320.54","27,868,147.78","30,627,357.09","40,060,251.63","28,751,817.20","32,503,010.33","31,999,492.91","47,362,998.78","47,230,813.14","43,483,346.27","70,425,522.22","87,768,465.27","61,965,583.35","72,511,542.89","97,432,257.94","91,678,558.44","89,329,103.34","98,887,493.28","113,583,981.36","104,220,677.06","91,424,524.48","102,590,393.06"
应付账款,"14,317,384.57","31,515,316.16","17,868,225.50","20,195,460.21","25,400,245.41","17,399,569.51","22,852,228.50","18,399,845.05","31,719,263.58","28,650,861.38","56,613,318.87","47,496,884.58","36,577,712.02","49,303,326.96","40,138,537.21","34,130,547.35","67,039,977.58","76,452,477.43","57,437,855.09",,"44,965,487.02",
预付款项,"20,334,504.76","5,997,047.64","9,130,626.09","14,443,364.19","24,496,283.83","24,683,177.99","11,184,461.82","24,257,951.87","6,096,582.01","5,972,848.49","8,326,738.92","7,347,125.85","3,316,147.38","8,783,467.75","8,753,711.46","9,197,373.09","14,088,674.57","23,724,315.56","21,699,487.99","42,001,866.34","26,583,899.11","34,215,622.74"
预收款项,"3,814,389.57","1,676,782.29","38,197.11","114,306.56","677,649.53","1,517,513.61","4,681,101.79","163,639.70","378,526.38","1,559,873.72","1,981,730.31","802,297.30","998,730.70","4,989,637.62","1,839,737.42","1,013,913.70","976,767.04","5,681,457.54","4,462,917.60","4,705,434.49","4,374,442.96","5,595,945.28"
