科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"529,151,217.62","643,048,690.82","671,919,284.70","501,408,180.24","733,929,420.22","999,262,136.41","253,619,011.46","524,056,034.99","724,052,696.20","943,837,517.78","202,840,376.97","427,209,124.90","649,088,211.42","869,328,937.77","262,202,928.43","566,417,830.13","869,563,969.11","1,244,005,187.70","369,530,541.89","784,932,570.56","1,179,825,472.08","1,614,686,229.58","464,917,577.00","949,459,622.00","1,385,615,401.62","1,914,844,362.09","476,840,310.97","954,296,583.85","1,460,450,053.84","2,084,826,649.22","592,684,934.02","1,217,308,250.31","1,907,820,611.08","2,665,999,706.54","696,718,212.57","1,442,094,873.08"
二、营业利润,"47,245,968.24","22,103,826.44","58,177,993.06","56,585,892.74","75,274,776.84","99,405,564.10","21,702,831.14","49,567,057.87","53,407,773.91","63,506,545.58","11,003,492.98","30,469,584.58","22,890,284.04","-871,042.16","10,385,539.69","19,683,050.05","20,537,747.54","17,200,724.01","13,326,483.42","24,330,927.97","30,043,581.11","31,490,923.33","16,396,137.47","32,515,963.11","51,347,279.41","53,550,360.74","23,284,808.04","44,714,720.35","66,485,408.12","96,425,159.89","53,979,645.80","103,503,546.46","195,974,166.62","280,678,058.23","85,409,007.98","147,543,425.72"
减:营业成本,"373,166,840.46","479,312,182.22","472,943,830.61","358,295,738.85","538,854,272.71","703,915,823.92","184,772,021.42","384,603,788.15","535,715,082.45","691,766,321.36","157,244,175.31","318,369,291.90","502,304,139.73","675,473,571.65","202,064,971.68","441,098,206.19","683,324,245.86","973,445,832.10","292,021,153.33","628,824,880.46","945,403,368.88","1,271,346,540.41","360,718,287.70","736,487,546.45","1,082,119,742.31","1,478,009,659.79","365,026,727.39","731,691,694.49","1,119,284,543.81","1,569,480,564.27","434,029,081.85","896,173,799.97","1,375,566,908.84","1,904,543,454.08","500,567,568.15","1,059,891,138.19"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,372,220.29","2,619,935.25","2,125,416.76","1,574,478.20","2,362,896.39","3,292,115.89","761,375.76","1,807,293.32","2,523,072.41","3,683,122.80","226,898.20","791,651.19","2,303,431.41","3,726,060.38","934,316.90","1,323,629.27","2,089,709.05","4,295,646.69","565,057.78","1,982,333.23","3,029,782.72","4,916,935.26","852,228.11","2,132,360.92","3,847,910.26","5,747,790.93","2,043,274.39","3,812,028.17","6,286,576.99","17,713,997.88","4,565,673.67","9,993,156.55","15,976,310.24","23,046,193.10","6,804,021.51","12,737,215.78"
营业外收入,"8,451,403.40","6,430,605.55","5,709,120.95","3,684,625.37","5,479,708.88","6,139,577.57","2,329,927.31","9,488,210.77","10,861,493.87","14,032,422.32","1,342,413.50","2,444,669.84","5,455,700.82","38,784,094.83","3,789,122.54","5,417,192.39","8,625,449.03","11,809,981.29","1,019,605.19","6,155,140.08","11,261,875.36","23,932,694.46","1,089,177.11","3,519,053.93","8,995,486.08","14,150,264.14","9,535,540.54","11,610,306.88","17,635,602.18","19,807,284.35","4,485,042.13","2,825,705.79","6,705,027.95","56,252.42","116,103.79","731,961.79"
销售费用,"31,230,084.61","36,556,618.18","30,478,513.16","19,605,778.81","28,565,249.33","42,184,256.97","9,709,106.27","22,601,216.36","36,542,876.38","46,561,178.02","5,534,615.27","14,645,850.12","23,953,389.80","39,599,024.19","5,630,697.34","14,881,606.52","29,011,821.23","46,566,074.98","9,280,958.48","20,580,902.47","35,845,636.45","57,375,064.15","11,521,851.49","29,646,104.83","46,066,281.32","68,316,354.08","14,804,212.33","33,812,705.60","49,712,689.06","76,622,937.09","17,883,059.07","41,093,026.72","59,101,229.16","87,487,711.65","16,800,256.48","41,341,498.82"
减:营业外支出,"663,611.86","1,455,840.19","387,014.78","1,265,743.06","1,362,513.71","2,000,444.68","109,166.74","566,323.63","1,352,223.78","2,116,752.12",,"93,303.48","283,266.02","1,026,077.41",,"53,310.00","53,471.20","442,537.76",,"407,319.62","3,867,938.94","9,904,694.15","2,450.00","17,259.78","1,367,425.01","2,256,470.23","102,400.00","1,088,538.10","1,377,966.01","1,598,966.92","1,633,879.90","5,031,596.74","8,740,417.27","10,229,024.49","3,543,416.43","4,404,347.37"
管理费用,"52,200,393.45","68,434,513.87","83,842,858.56","44,081,725.39","58,999,771.30","110,903,944.52","29,997,145.24","56,591,560.38","82,435,023.80","118,621,824.53","25,244,634.50","54,031,433.79","84,358,497.32","131,711,804.45","36,120,744.79","75,040,056.67","112,682,412.83","171,166,977.79","46,592,467.06","91,550,286.31","137,417,616.66","206,156,598.83","59,962,340.25","123,756,956.81","176,579,352.41","257,672,935.73","67,762,053.65","133,450,345.25","209,560,800.54","297,630,516.94","78,904,964.86","156,686,558.69","245,795,084.05","356,357,760.04","81,439,429.02","166,819,828.60"
其中:非流动资产处置净损失,,,,,,,,,,,,"85,303.48",,"99,261.35",,,,,,,,"3,892,462.21",,,,"2,064,020.23",,"733,106.17",,"1,109,632.68",,"4,896,898.98","5,159,169.67",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"23,470,188.16","34,159,187.94","23,351,553.70","21,394,193.57","30,002,080.97","39,641,474.63","6,676,531.63","8,885,118.91","13,428,867.25","19,650,358.73","3,586,560.71","8,901,313.32","13,278,469.12","19,619,487.03","7,066,658.03","14,509,805.45","22,036,556.62","30,180,280.92","7,744,421.82","16,928,421.38","27,350,667.52","38,048,645.56","15,466,731.98","23,369,775.12","24,103,921.15","25,924,533.81","3,919,235.17","4,226,787.79","6,531,733.12","7,212,734.34","3,322,508.77","6,749,823.52","12,406,501.70","17,766,585.25","9,136,202.91","8,773,936.42"
