科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"112,844,665.00","131,062,598.00","10,099,726.75","157,063,246.71","8,761,943.36","141,325,410.36","158,466,508.36","196,756,753.74","4,202,725.00","109,758,883.10","178,438,228.31","206,352,976.31","18,257,914.05","147,537,944.20","191,209,200.97","366,224,766.96","28,311,305.93","141,683,629.42","198,207,289.99","518,759,420.12","68,720,974.57","218,691,410.60","301,474,468.94","542,286,124.93","61,215,639.15","132,445,562.17","193,490,533.05","589,546,641.10","32,364,606.91","56,885,185.26","176,723,622.73","628,316,592.92","98,630,473.41","148,767,635.75","208,458,335.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,919,455.32",,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,947,684.90","1,711.04","128,551.61","126,840.57"
支付其他与投资活动有关的现金,"88,160.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,700,000.00",,,
收到其他与经营活动有关的现金,"3,964,461.82","2,371,553.20","600,522.56","3,002,839.77","394,779.21","2,995,240.74","3,045,568.14","36,966,232.37","5,695,632.97","7,909,988.61","8,922,985.86","32,231,243.70","1,417,902.58","5,383,516.71","8,457,174.69","16,780,467.54","937,979.98","1,164,946.62","20,973,937.54","21,520,688.45","296,644.31","1,271,539.04","5,639,460.89","4,120,113.38","660,854.94","4,279,243.28","13,359,668.41","64,261,583.42","219,832.36","50,123,203.57","59,221,174.23","82,815,994.58","104,475,829.70","128,305,301.43","127,086,864.10"
投资活动现金流出小计,"35,324,784.62","41,423,466.21","3,600,281.00","75,634,886.15","13,740,722.65","66,477,726.55","216,599,729.44","343,699,433.76","145,513,477.65","256,788,724.41","391,605,636.37","424,936,462.66","12,557,725.79","53,282,544.99","241,010,270.91","414,291,581.77","81,609,629.07","424,719,703.07","560,420,902.56","820,819,829.38","124,426,779.28","385,544,899.02","511,419,293.91","668,373,413.99","62,171,490.90","77,100,948.01","124,867,002.46","146,042,102.19","5,079,979.23","12,748,997.44","16,977,533.47","49,530,309.56","15,611,414.12","46,349,975.84","50,072,175.74"
经营活动现金流入小计,"116,809,126.82","133,434,151.20","10,700,249.31","160,066,086.48","9,156,722.57","144,320,651.10","161,512,076.50","233,722,986.11","9,898,357.97","117,668,871.71","187,361,214.17","238,584,220.01","19,675,816.63","152,921,460.91","199,666,375.66","383,005,234.50","29,249,285.91","142,848,576.04","219,181,227.53","540,280,108.57","69,017,618.88","219,962,949.64","307,113,929.83","546,406,238.31","61,876,494.09","136,724,805.45","206,850,201.46","653,808,224.52","32,584,439.27","107,008,388.83","235,944,796.96","716,080,272.40","203,108,014.15","277,201,488.79","335,672,040.23"
投资活动产生的现金流量净额,"-35,324,784.62","-41,423,466.21","-3,600,281.00","-75,634,886.15","-13,740,722.65","-66,477,726.55","-216,599,729.44","-343,699,433.76","-145,513,477.65","-256,788,724.41","-391,205,636.37","-390,346,954.05","-12,557,725.79","-53,282,544.99","164,702,509.09","-14,880,171.01","-81,609,629.07","-424,719,703.07","-560,420,902.56","-819,674,829.38","-124,426,779.28","-385,544,399.02","-511,184,793.91","-663,728,913.99","-62,171,490.90","-77,100,948.01","-124,867,002.46","-146,038,188.82","-5,079,979.23","-12,721,997.44","-15,944,590.14","-40,994,329.78","-15,596,935.26","-46,230,864.78","-49,947,795.89"
购买商品、接受劳务支付的现金,"47,663,739.98","76,498,892.73","10,997,427.93","57,350,338.36","13,913,788.43","55,903,841.90","64,179,047.28","66,333,599.13","21,173,309.60","141,275,588.29","174,530,120.35","291,866,775.48","25,822,728.60","108,219,975.14","193,160,579.17","203,491,692.19","46,788,111.56","68,540,953.82","75,667,138.82","109,061,539.39","24,354,408.98","89,160,597.08","96,059,364.35","198,389,088.59","10,430,273.69","53,581,075.30","58,184,427.82","120,830,808.44","5,639,536.02","33,672,805.28","145,270,951.35","126,659,687.21","16,353,252.19","36,821,681.14","75,830,666.93"
吸收投资收到的现金,,,,,,,"470,660,000.00","470,660,000.00",,,,,,,,,,,,,"772,997,680.00","772,997,680.00","819,302,680.00","819,302,680.00",,,"7,911,000.00","7,911,000.00",,,,,,,
