科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"83,597,466.67","94,305,910.84","94,358,144.75","94,167,438.82","81,902,021.45","139,070,512.29","237,046,126.36","175,645,589.70","179,998,155.95","206,248,857.91","226,091,022.68","214,936,649.82","127,068,550.75","227,875,546.16","133,697,962.16"
短期借款,,,,,,,,,,,,,,,"2,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,,"3,596,250.00","9,084,559.75","2,199,961.79","4,928,390.65","5,610,050.81","1,704,714.72","930,284.72","1,070,143.22","2,739,205.32","2,886,841.32","4,459,662.70","3,532,918.63","9,058,396.41","9,954,686.41"
应付票据,,,,,,,,,,,,,,"3,760,141.00",
应收账款,"46,407,238.40","72,548,770.69","74,618,688.11","73,996,821.00","94,119,437.25","96,258,338.95","78,394,290.04","90,193,708.12","104,104,642.38","117,877,007.11","102,317,838.38","109,523,395.03","140,205,809.31","174,112,022.17","165,060,628.80"
应付账款,"5,055,025.84","5,346,926.89","8,529,083.78","5,412,162.31","4,571,894.43","7,502,719.52","3,240,438.06","5,638,084.25","4,710,919.00","9,495,352.99","5,920,830.57","9,412,535.30",,"14,450,854.36",
预付款项,"4,896,093.19","3,133,198.45","13,293,082.02","6,606,819.26","15,243,106.21","12,121,657.62","11,726,517.76","9,003,587.10","7,184,558.94","5,523,547.76","4,234,841.64","3,286,255.41","4,550,241.27","4,613,266.39","5,654,800.93"
预收款项,"4,926,938.39","5,892,820.05","5,389,379.71","14,394,474.20","14,297,335.05","12,702,005.88","16,843,498.96","17,659,762.11","21,778,299.64","20,196,159.92","23,494,470.34","21,253,686.31","19,839,346.89","17,044,640.47","25,316,505.72"
其他应收款,"2,865,247.15","2,634,852.67","3,142,627.69","2,250,317.16","2,204,695.51","1,642,127.43","2,531,027.50","1,584,247.68","1,885,322.65","3,654,134.25","3,629,117.80","3,864,751.23","5,791,778.83","5,303,287.53","6,605,333.46"
应付职工薪酬,"3,391,684.18","5,790,310.94","4,705,388.85","41,318.98","38,330.27","8,794,948.34","417,072.96","159,327.47","304,866.35","10,091,916.16","673,643.10","582,436.10","569,758.15","12,325,579.23","1,543,771.12"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"4,597,459.92","12,133,937.59","8,702,599.53","2,834,380.33","4,817,157.41","7,766,890.12","889,499.09","4,045,198.16","7,313,707.10","10,364,940.84","2,891,998.09","5,619,736.65","9,017,241.27","12,583,181.25","6,473,953.15"
应收利息,,,,,,,"609,416.67","787,500.00","1,304,666.66","476,666.67","695,750.02","220,750.01",,"73,333.34",
应付利息,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,
存货,"5,466,525.06","11,042,990.47","12,544,923.97","20,278,302.97","21,470,348.16","16,886,362.07","19,741,744.37","21,456,174.56","21,812,563.78","21,493,508.59","25,973,787.90","24,845,766.49","22,959,134.41","23,435,498.87","32,872,410.73"
其他应付款,"278,850.59","1,243,122.74","421,713.51","86,503.21","2,376,228.68","1,461,645.63","2,543,366.16","2,039,076.88","3,213,610.18","22,505,994.86","21,198,667.64","21,122,920.77","22,203,625.72","20,055,994.85","17,283,534.25"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,
其他流动资产,,,,"359,891.44","708,336.15","199,582.46","80,874,765.39","130,114,307.59","130,092,737.16","130,268,827.71","80,360,592.05","80,206,996.64","100,424,812.10","353,729.01","2,170,152.85"
其他流动负债,,,,,,,,,,,,,,,
流动资产合计,"143,232,570.47","187,261,973.12","207,042,026.29","199,859,552.44","220,576,335.38","271,788,631.63","432,628,602.81","429,715,399.47","447,452,790.74","488,281,755.32","446,189,791.79","441,344,227.33","404,533,245.30","444,751,746.54","356,015,975.34"
流动负债合计,"18,249,958.92","30,407,118.21","27,748,165.38","22,768,839.03","26,100,945.84","38,228,209.49","23,933,875.23","29,541,448.87","37,321,402.27","72,654,364.77","54,179,609.74","57,991,315.13","64,058,594.47","80,220,391.16","78,749,265.32"
可供出售金融资产,,,"1,500,000.00","1,500,000.00","2,041,000.00","2,041,000.00","2,041,000.00","2,041,000.00","12,040,959.90","32,040,959.90","51,320,959.90","51,320,959.90","51,320,959.90","32,040,959.90",
长期借款,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,
长期股权投资,,,"2,912,245.20","8,845,259.80","8,604,367.09","9,644,346.76","9,443,330.94","12,417,624.69","11,143,116.51","11,376,693.71","20,090,506.39","20,249,198.23","20,508,298.06","41,360,646.42","36,687,325.07"
专项应付款,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,
固定资产,"4,313,337.92","4,232,176.92","5,174,441.94","4,976,627.92","4,731,658.76","4,914,245.42","4,793,169.55","4,814,525.23","4,628,898.43","4,608,827.79","4,201,168.91","4,994,455.13","5,568,607.25","5,637,818.24","7,489,275.96"
递延所得税负债,,,,,,,,,,,,,,,
在建工程,,,,,,,,,,,,,,"3,985,474.59","20,743,460.79"
