科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"2,380,762,351.30","2,140,339,283.94","2,816,964,495.41","675,322,278.21","1,363,651,677.14","2,606,367,552.62","3,273,685,790.73","930,376,146.16","1,845,857,054.36","2,824,517,410.08","4,131,404,761.17","1,016,422,543.27","1,968,873,826.64","2,982,566,514.31","4,109,738,278.30","1,132,338,568.95","1,975,103,635.32","3,229,049,086.09","4,424,483,640.42","1,426,302,753.27","2,551,365,952.66","3,820,391,436.76","4,807,178,017.96","1,171,833,055.98","2,306,411,768.10","3,788,096,691.21","4,669,780,479.42","1,214,440,903.19","2,513,410,902.31","3,824,090,770.00","5,402,766,471.82","1,335,002,892.90","2,414,632,288.78","3,852,677,975.03","5,284,286,489.48"
取得子公司及其他营业单位支付的现金净额,,"14,680,163.13","14,309,047.82",,,,,,,,"205,128,880.57",,,,"138,812,603.86",,"76,351,707.12","76,351,707.12","76,351,707.12",,,,,,,"2,953,056.38","2,953,056.38",,"25,002,702.44","54,835,042.24","73,475,051.81",,,"8,423,200.00",
收到的税费返还,"70,978,689.50","80,152,225.80","87,367,949.61",,"41,332,403.62","42,186,697.94","93,000,000.00",,"30,000,000.00","30,000,000.00","98,625,030.02",,"40,000,000.00","40,009,013.34","103,009,013.34",,,"55,000,000.00","115,010,975.99",,"53,409,840.16","53,409,840.16","135,113,898.97",,"50,000,000.00","54,055,786.92","131,468,400.78","1,314,568.65","52,739,920.43","54,345,602.55","138,153,772.80","339,255,534.72","468,685,493.22","491,281,835.53","565,481,680.04"
支付其他与投资活动有关的现金,,"63,623,952.76","14,637,839.68","12,753,038.40","23,525,403.92","126,000,218.02","69,239,163.26","13,435,012.61","84,644,327.32","128,153,928.72","91,198,897.53","4,311,376.62","14,774,679.32","18,008,823.61","20,125,159.25","6,534,003.51","7,069,218.02","9,717,730.74","11,242,533.31","904,971.70","1,506,971.70","2,263,723.50","4,521,642.28","20,000.00","20,000.00","207,500.00","207,500.00",,,"1,546,137.69","1,770,024.95",,,"694,156.00","882,197.00"
收到其他与经营活动有关的现金,"116,672,737.35","202,758,349.39","343,901,348.09","89,323,890.80","178,438,324.50","223,765,470.82","323,701,797.72","70,762,228.93","167,594,768.18","212,217,803.51","475,379,757.65","39,708,281.89","230,424,159.07","365,256,722.24","573,071,079.10","76,534,412.18","330,801,402.78","497,985,660.17","561,494,062.40","73,197,591.18","517,279,605.82","831,432,072.33","1,037,693,485.31","142,828,491.01","276,890,133.15","479,778,818.26","779,511,711.26","203,712,361.37","355,113,971.61","673,751,133.80","905,198,937.41","292,138,477.58","488,494,485.17","672,741,489.38","1,049,695,447.85"
投资活动现金流出小计,"1,666,476,458.01","1,449,810,313.44","1,027,117,174.33","122,518,754.01","389,228,513.32","654,773,921.60","2,983,645,041.47","136,814,608.30","527,207,512.02","1,062,406,218.84","2,381,450,395.26","110,926,487.83","251,846,652.82","409,072,613.84","648,617,929.33","424,594,942.04","573,282,556.38","981,657,908.27","1,314,901,823.82","1,765,469,259.05","3,163,696,713.02","6,069,251,494.26","8,123,545,353.13","1,989,846,695.86","2,443,124,369.59","3,186,618,859.96","4,345,970,938.27","2,128,840,101.53","4,911,467,357.51","6,037,424,674.34","8,061,111,944.26","1,229,078,120.67","2,574,376,362.04","3,704,391,642.70","4,968,320,044.58"
经营活动现金流入小计,"2,568,413,778.15","2,423,249,859.13","3,248,233,793.11","764,646,169.01","1,583,422,405.26","2,872,319,721.38","3,690,387,588.45","1,001,138,375.09","2,043,451,822.54","3,066,735,213.59","4,705,409,548.84","1,056,130,825.16","2,239,297,985.71","3,387,832,249.89","4,785,818,370.74","1,208,872,981.13","2,305,905,038.10","3,782,034,746.26","5,100,988,678.81","1,499,500,344.45","3,122,055,398.64","4,705,233,349.25","5,979,985,402.24","1,314,661,546.99","2,633,301,901.25","4,321,931,296.39","5,580,760,591.46","1,419,467,833.21","2,921,264,794.35","4,552,187,506.35","6,446,119,182.03","1,966,396,905.20","3,371,812,267.17","5,016,701,299.94","6,899,463,617.37"
投资活动产生的现金流量净额,"-897,373,835.93","-856,320,542.25","-434,360,624.62","-112,665,895.66","-321,826,626.30","-362,011,129.64","-2,469,223,994.60","-126,287,363.05","-276,206,860.14","-791,580,834.46","-2,143,266,142.28","372,969,156.29","709,954,179.80","577,826,156.33","667,405,758.29","-409,898,069.36","-540,119,347.08","-855,262,886.81","-1,134,328,603.12","-821,037,156.63","-1,196,533,391.89","-896,661,338.70","-1,292,594,941.39","1,441,986,095.09","2,944,595,578.06","3,114,208,502.23","2,515,230,429.31","-1,103,562,683.61","-443,329,689.65","-527,501,767.09","-813,235,002.54","-646,018,446.49","-642,075,639.73","-734,552,807.07","256,135,566.07"
购买商品、接受劳务支付的现金,"500,454,542.58","576,294,738.18","740,912,651.80","217,535,705.99","408,837,159.32","646,379,739.98","936,375,535.13","302,539,162.46","609,687,097.87","907,514,743.12","1,632,502,149.99","377,365,499.90","730,919,667.12","1,101,767,197.56","1,499,131,226.97","405,920,641.24","683,575,558.60","1,026,180,046.95","1,386,374,862.05","520,593,434.82","891,541,971.49","1,275,615,661.33","1,776,920,295.04","464,270,497.86","832,950,427.93","1,322,727,016.05","1,818,573,265.71","540,837,651.25","1,077,635,487.42","1,544,840,005.86","2,110,780,210.12","505,829,188.56","882,314,309.87","1,272,200,214.64","1,885,764,437.12"
吸收投资收到的现金,"91,460,916.06",,,"3,415,510,000.00","3,415,510,000.00","3,415,510,000.00","3,415,510,000.00",,,,,,,,,,,,"1,485,750,000.00",,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"179,277,027.41","262,478,689.35","305,871,512.06","114,711,649.53","186,402,499.86","272,380,016.98","364,547,054.24","125,973,229.02","211,386,650.78","313,911,696.82","442,712,399.22","142,241,393.77","245,304,303.00","372,974,782.00","517,796,326.43","156,799,934.75","280,297,426.72","419,287,321.66","577,928,021.57","165,703,701.62","288,171,768.43","439,647,314.78","601,272,281.40","195,865,528.58","329,371,949.61","479,735,760.88","648,421,174.49","236,725,694.41","384,253,665.75","557,390,304.86","932,138,013.56","253,120,359.95","418,188,554.80","614,113,734.48","829,655,600.86"
取得借款收到的现金,"681,738,793.57",,"360,000,000.00",,,"20,000,000.00","20,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,,,,,,,"3,320,000.00",,,,,
支付的各项税费,"264,134,864.78","314,737,029.00","342,074,814.43","21,114,515.63","132,821,417.91","176,764,548.71","337,401,699.05","36,557,294.82","119,687,523.52","164,677,749.17","355,552,884.56","29,155,071.30","107,758,518.60","149,582,003.30","281,824,956.37","40,059,928.88","83,935,716.64","176,880,132.49","288,491,923.56","52,115,455.55","157,589,519.47","185,197,995.66","308,920,504.72","28,873,973.77","125,829,929.55","157,517,986.08","321,590,426.27","37,763,857.13","166,131,493.19","200,667,315.58","349,622,570.25","660,447,074.08","900,122,180.74","1,115,667,877.28","1,262,785,281.99"
收到其他与筹资活动有关的现金,"210,100,000.00","134,293,000.00","20,315,256.26",,"11,552,000.00","31,628,600.00","12,980,000.00","275,000.00","17,814,158.34","21,279,855.24","4,451,611.20",,"300,000.00","1,590,094.22","114,319,204.18",,,,,,,,,,,,,,,"9,500,000.00","12,820,000.00",,,"9,560,000.00","9,560,000.00"
支付其他与经营活动有关的现金,"105,788,829.12","244,940,315.80","241,380,436.75","87,766,249.90","153,836,328.88","237,143,625.65","251,574,113.25","134,744,055.26","243,711,423.84","330,262,295.31","363,365,293.77","141,125,300.04","234,472,939.48","359,088,382.76","505,149,741.90","98,878,066.33","344,116,665.62","463,917,769.09","575,075,908.53","90,329,083.60","577,228,413.50","850,248,282.09","1,115,625,937.72","167,037,343.56","292,075,157.22","495,558,593.91","739,771,158.74","217,173,584.07","346,863,054.63","618,434,967.42","924,402,763.72","270,652,841.60","432,068,232.79","629,300,349.14","924,040,102.03"
筹资活动现金流入小计,"983,299,709.63","134,293,000.00","380,315,256.26","3,415,510,000.00","3,427,062,000.00","3,467,138,600.00","3,448,490,000.00","50,275,000.00","67,814,158.34","71,279,855.24","54,451,611.20",,"300,000.00","1,590,094.22","114,319,204.18","1,485,750,000.00","1,485,750,000.00","1,485,750,000.00","1,485,750,000.00",,,,,,,,,,,"12,820,000.00","12,820,000.00",,,"9,560,000.00","9,560,000.00"
经营活动现金流出小计,"1,049,655,263.89","1,398,450,772.33","1,630,239,415.04","441,128,121.05","881,897,405.97","1,332,667,931.32","1,889,898,401.67","599,813,741.56","1,184,472,696.01","1,716,366,484.42","2,794,132,727.54","689,887,265.01","1,318,455,428.20","1,983,412,365.62","2,803,902,251.67","701,658,571.20","1,391,925,367.58","2,086,265,270.19","2,827,870,715.71","828,741,675.59","1,914,531,672.89","2,750,709,253.86","3,802,739,018.88","856,047,343.77","1,580,227,464.31","2,455,539,356.92","3,528,356,025.21","1,032,500,786.86","1,974,883,700.99","2,921,332,593.72","4,316,943,557.65","1,690,049,464.19","2,632,693,278.20","3,631,282,175.54","4,902,245,422.00"
偿还债务支付的现金,"491,215,003.02","102,340,525.67","401,332,491.84","6,858,381.39","25,282,423.69","42,419,281.76","112,258,190.04","85,143,537.86","98,027,123.35","122,124,111.52","154,720,327.60","18,205,532.07","27,559,986.94","56,980,195.02","229,382,553.38","15,712,032.86","33,977,952.80","59,521,158.12","67,115,321.21","25,591,394.50","33,016,865.55","55,100,387.40","65,348,090.29","12,376,117.74","1,718,663,168.49","1,747,520,446.31","1,766,869,865.52","13,868,908.80","21,151,898.09","61,181,501.83","72,498,363.61","35,794,196.04","43,376,248.58","79,605,395.05","86,751,251.67"
经营活动产生的现金流量净额,"1,518,758,514.26","1,024,799,086.80","1,617,994,378.07","323,518,047.96","701,524,999.29","1,539,651,790.06","1,800,489,186.78","401,324,633.53","858,979,126.53","1,350,368,729.17","1,911,276,821.30","366,243,560.15","920,842,557.51","1,404,419,884.27","1,981,916,119.07","507,214,409.93","913,979,670.52","1,695,769,476.07","2,273,117,963.10","670,758,668.86","1,207,523,725.75","1,954,524,095.39","2,177,246,383.36","458,614,203.22","1,053,074,436.94","1,866,391,939.47","2,052,404,566.25","386,967,046.35","946,381,093.36","1,630,854,912.63","2,129,175,624.38","276,347,441.01","739,118,988.97","1,385,419,124.40","1,997,218,195.37"
分配股利、利润或偿还利息支付的现金,"955,492,699.88","691,596,185.96","394,901,984.61","475,860,642.22","566,591,601.93","980,572,928.58","1,062,525,762.34","14,126,642.24","1,007,616,138.79","1,001,818,681.43","1,067,175,424.07","4,431,265.05","1,200,128,543.31","1,207,167,801.25","1,219,658,264.07","5,993,244.39","1,351,448,604.09","1,357,343,729.43","1,359,433,086.96","81,656,115.58","1,464,668,049.77","1,467,929,454.31","1,470,415,819.64","80,276,908.89","1,367,406,307.27","1,371,888,800.47","1,373,356,014.76","80,379,612.08","1,329,817,245.51","1,333,203,338.99","1,337,859,264.50","83,265,992.59","1,428,902,713.56","1,434,146,558.13","1,436,426,908.68"
收回投资收到的现金,"669,381,331.49","483,194,743.81","456,665,096.36","182,264.40","182,264.40","160,345,277.45","390,840,133.75",,"130,000,000.00","130,035,000.00","130,055,000.00","469,896,500.00","719,896,500.00","719,896,500.00","1,019,896,500.00",,,"600,000.00","600,000.00","300,100,582.88","1,270,100,582.88","4,996,346,639.44","6,596,496,469.74","3,350,429,844.91","5,257,681,030.12","6,057,681,030.12","6,557,681,030.12","1,000,000,000.00","4,400,000,000.00","5,400,000,000.00","7,100,044,243.73","500,000,000.00","1,800,000,000.00","2,800,000,000.00","5,087,346,027.39"
支付其他与筹资活动有关的现金,"1,240,000.00",,"42,162,567.41","2,806,280.00","8,636,058.25","11,825,722.09","19,899,572.62","158,857.85","2,896,954.50","5,669,016.53","2,898,505.20",,"212,800,000.00","213,264,000.00","213,264,000.00",,,,,,,,,,,,,,,,"10,800,000.00",,"71,771,676.50","106,606,548.99","123,452,948.99"
