科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"140,909,898.14","172,401,204.70","219,039,470.49","187,147,292.22","518,086,116.51","517,539,767.38","483,466,191.31","407,914,282.33","389,599,094.19","361,879,948.31","398,149,742.13","349,911,429.69","344,502,447.97","371,837,493.08","391,381,620.39","363,342,060.36","351,845,138.16","494,449,263.49","446,758,048.08","969,843,809.21","861,532,531.84","552,537,806.93","656,979,185.02","523,914,613.02","837,417,292.30","789,360,340.80","854,104,828.72","879,854,004.09","825,737,788.71"
短期借款,"126,766,593.01","131,830,818.67","254,826,869.60","232,499,409.41","253,880,091.57","282,980,027.84","258,675,260.62","252,488,802.91","264,452,305.36","302,594,638.69","313,145,845.93","370,093,108.29","288,412,084.26","290,718,844.63","311,964,662.18","345,801,902.68","389,644,657.93","416,897,839.95","426,640,543.03","526,579,744.68","591,652,794.47","640,263,581.65","648,263,581.65","897,356,424.15","932,411,488.85","927,996,424.15","991,449,895.31","883,087,714.90","859,016,320.71"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"9,141,003.43","37,064,964.85","109,472,666.51","110,036,842.03","155,239,231.77","162,414,646.61","167,144,863.61","137,294,514.53","138,895,475.60","152,777,308.82","197,204,121.30","212,275,154.65","132,398,739.52","149,114,651.40","178,985,898.50","126,708,395.89","206,763,393.11","193,129,257.76","267,169,273.15","366,370,553.52","354,306,747.52","366,548,733.41","353,865,771.86","504,993,333.04","480,146,614.29","562,499,149.93","578,363,002.46","374,643,673.28","499,040,848.14"
应付票据,"67,451,190.17","88,426,414.41","99,824,977.40","93,574,855.03","146,654,354.13","225,805,890.90","193,557,959.19","194,326,011.28","177,225,662.96","183,845,736.64","253,208,489.42","256,789,525.51","327,494,526.23","380,148,529.52","420,664,556.84","459,577,545.41","483,670,772.42","555,425,588.21","513,357,070.44","562,535,181.93","608,504,833.13","820,531,570.79","795,427,489.58","763,703,422.16","927,510,356.70","1,108,303,841.50","1,012,308,238.60","1,145,585,624.27","1,069,856,109.71"
应收账款,"123,899,890.08","152,152,086.76","182,811,369.70","191,792,247.84","188,850,398.12","229,148,430.18","212,336,472.69","225,263,546.60","242,505,895.64","309,719,483.40","368,864,500.44","288,668,837.61","362,002,457.48","405,511,519.17","456,433,500.50","451,735,771.40","507,073,746.01","524,952,666.97","525,151,628.38","525,100,704.33","844,598,791.67","894,289,684.52","1,014,417,525.45","1,104,629,771.44","1,075,471,418.89","1,177,587,745.03","1,110,711,707.59","1,249,644,805.71","1,125,668,198.39"
应付账款,"42,121,169.56","73,199,180.93","81,313,013.53","68,642,328.80","55,831,479.00","72,144,924.51","83,890,164.90","48,994,178.07","66,404,265.64","109,487,347.26","127,068,421.57","75,417,485.86","89,271,086.44","102,471,420.93","125,192,914.51","80,995,671.14","105,041,571.00","140,916,078.09","124,346,149.42","98,233,894.83","110,445,940.89","138,736,139.62","169,720,562.49","117,713,053.72","166,113,819.87","184,826,109.48","253,795,703.18","269,264,582.18","301,380,807.82"
预付款项,"20,808,902.43","6,132,203.19","24,917,138.56","13,404,006.37","8,247,578.74","19,877,726.03","46,254,344.25","80,114,726.57","34,047,416.46","47,347,157.40","36,680,719.18","95,335,724.24","104,339,538.82","131,545,395.79","22,589,251.49","49,238,134.91","35,641,505.31","53,223,817.63","22,253,553.94","47,969,033.66","54,994,475.94","156,979,420.42","61,932,861.54","76,230,425.72","28,173,832.07","71,679,983.63","37,962,401.72","99,369,842.73","110,582,727.55"
预收款项,"881,574.64","539,900.73","428,314.45","281,486.13","624,677.37","3,025,132.41","1,283,438.85","880,591.57","758,230.96","2,139,424.73","892,003.80","2,188,353.91","6,669,203.31","4,786,629.17","809,669.43","3,230,307.70","674,406.37","1,091,781.70","8,548,473.46","3,549,117.42","14,256,261.62","28,112,585.58","14,480,177.87","9,798,965.91","3,434,808.24","7,119,696.94","31,575,586.36","5,593,490.50","76,010,034.16"
其他应收款,"5,853,030.66","5,441,163.47","969,071.30","2,364,979.32","933,635.99","1,463,269.46","971,642.40","1,099,048.86","1,012,226.89","1,731,062.82","1,048,209.68","1,262,313.89","1,117,019.25","2,094,306.93","1,972,274.09","2,333,148.12","4,918,372.57","11,907,945.04","7,492,938.19","10,116,744.31","7,765,953.46","7,574,587.29","27,637,193.64","64,176,509.96","6,805,521.95","46,827,595.28","8,530,756.60","13,609,296.68","50,312,790.92"
应付职工薪酬,"115,326.22",,,,,,,,,,,,,,,,,,"406,137.00","82,300.00","543,460.79","732,015.78","1,467,024.42","471,052.32","1,525,704.29","1,478,622.63","9,316,780.23","4,624,556.13","8,299,358.88"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"727,816.85","5,842,041.09","7,948,800.07","1,900,948.92","5,145,911.03","4,772,384.09","6,940,758.10","2,235,180.60","5,493,192.41","8,374,905.15","5,513,636.22","3,363,144.43","1,806,943.31","7,311,593.91","6,926,982.86","-157,758.65","4,207,760.59","5,323,519.73","9,223,663.44","3,807,874.98","9,888,743.45","4,411,326.16","16,080,287.07","3,105,634.10","7,521,545.75","5,161,309.09","18,314,092.98","7,243,415.23","14,951,921.39"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,"818,797.01",,,,"1,182,100.92",,,,"970,798.17",,"989,142.15",,"921,337.78",,"1,615,549.44",,"1,962,135.26","358,377.91","1,462,135.26"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,"6,000,000.00",,,,,,,,,,,,,,,,,302.25,302.25,,,,,,,
存货,"53,901,710.95","64,520,065.28","97,826,135.22","94,887,423.93","114,432,837.91","139,019,880.41","120,592,619.93","143,301,320.15","154,871,700.18","144,352,871.56","120,274,543.26","157,074,184.23","210,221,105.15","202,273,797.90","196,421,196.67","290,344,311.85","271,309,462.19","254,304,786.40","195,678,575.31","319,458,764.33","228,025,980.36","360,657,790.02","369,152,738.75","413,929,145.58","348,384,559.25","337,252,808.10","429,323,936.51","428,224,831.22","551,048,750.70"
