科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"93,412,629.70","110,307,291.99","155,203,314.50","57,620,078.75","105,167,221.11","165,825,878.84","25,721,452.22","49,942,557.30","118,527,188.22","313,712,113.06","24,657,581.16","83,723,725.86","144,825,605.17","292,765,769.91","33,497,219.28","40,339,170.20","49,817,870.75","253,086,887.73","30,943,882.71","96,325,645.67","148,638,532.59","304,116,408.81","26,451,637.28","88,063,288.84","167,837,657.95","321,369,567.92","66,277,025.97","124,064,161.14","231,913,459.76","369,939,081.77","78,986,681.47","190,045,077.55","250,312,280.69","407,668,254.83"
取得子公司及其他营业单位支付的现金净额,"600,000.00",,,,,,,,,,,,,"48,731,934.08",,,,,,,,,,,,"32,551,948.37","1,260,000.00",,,,,,,
收到的税费返还,,,"10,783.61",,,,,,,,,"67,526.40","173,974.62","334,999.35","661,037.99","1,195,694.39","1,263,220.79","1,744,368.33","175,544.57","391,743.01","1,184,345.98","1,655,889.12","411,250.47","883,018.68","1,393,435.35","1,601,285.01","81,187.48","207,762.48","1,018,195.17","890,124.91","404,887.97","2,096,516.85","2,854,710.55","538,154.81"
支付其他与投资活动有关的现金,,,,,,,,,,,,"6,604.00","6,604.00",,,,,,,,,,,,,,,,,,,,"42,308.15",
收到其他与经营活动有关的现金,"1,616,930.16","20,036,877.85","2,313,230.12","1,168,676.15","2,150,308.09","2,467,869.61","1,871,075.07","415,378.44","2,774,387.69","2,801,836.96","2,416,594.77","13,677,484.24","28,004,247.49","5,534,598.22","2,667,379.37","4,979,458.14","8,802,678.63","2,468,936.51","9,349,115.56","16,706,773.57","24,579,416.23","8,720,597.08","4,777,271.12","12,239,066.34","19,320,988.43","6,395,916.65","8,796,202.17","57,652,600.76","80,324,499.06","4,308,948.33","24,202,816.82","47,661,247.28","68,721,742.85","9,084,564.94"
投资活动现金流出小计,"788,660.00","12,885,303.00","31,393.72","12,613,800.38","16,352,776.74","19,401,895.32","2,643,554.53","18,070,238.46","28,020,502.48","40,276,139.92","68,541,879.77","76,682,060.19","86,346,951.81","91,839,580.17","8,516,306.90","14,927,731.50","19,610,781.50","27,283,115.56","56,709,528.30","57,375,288.30","65,695,473.60","68,425,374.38","209,000.00","503,024.68","35,487,481.06","39,296,768.14","3,921,146.16","33,171,837.32","33,899,859.38","43,651,061.16","2,774,084.94","16,701,936.95","17,430,529.70","33,557,445.21"
经营活动现金流入小计,"95,029,559.86","130,344,169.84","157,527,328.23","58,788,754.90","107,317,529.20","168,293,748.45","27,592,527.29","50,357,935.74","121,301,575.91","316,513,950.02","27,074,175.93","97,468,736.50","173,003,827.28","298,635,367.48","36,825,636.64","46,514,322.73","59,883,770.17","257,300,192.57","40,468,542.84","113,424,162.25","174,402,294.80","314,492,895.01","31,640,158.87","101,185,373.86","188,552,081.73","329,366,769.58","75,154,415.62","181,924,524.38","313,256,153.99","375,138,155.01","103,594,386.26","239,802,841.68","321,888,734.09","417,290,974.58"
投资活动产生的现金流量净额,"3,641,340.00","1,892,171.70","-31,393.72","-2,570,348.33","-6,309,324.69","-9,358,443.27","-2,643,554.53","-18,070,238.46","-27,785,302.48","-40,040,939.92","-68,541,879.77","-76,682,060.19","-86,271,551.81","-91,374,564.54","-8,516,306.90","-14,927,731.50","-19,610,781.50","-27,283,115.56","-56,574,528.30","-57,240,288.30","-65,560,473.60","-67,310,873.55","52,541,000.00","52,246,975.32","17,262,518.94","13,453,231.86","-3,821,146.16","-12,999,508.55","-13,727,530.61","-13,436,828.28","-2,774,084.94","-16,671,936.95","-17,400,529.70","-21,323,503.87"
购买商品、接受劳务支付的现金,"64,609,087.32","98,175,978.75","99,678,123.61","57,135,677.54","85,174,398.79","109,917,803.58","34,977,716.87","56,980,930.07","91,937,374.11","176,673,143.93","46,186,273.54","124,524,657.11","194,160,891.04","272,815,394.49","22,536,719.62","63,424,009.34","102,462,532.39","194,839,025.68","62,064,808.33","93,091,400.78","160,767,453.27","227,120,682.33","64,946,536.20","112,182,272.61","159,966,870.38","284,045,801.74","59,500,190.81","98,776,340.25","148,565,163.32","252,759,883.32","51,826,799.05","128,173,860.42","212,224,522.02","301,859,174.68"
吸收投资收到的现金,"2,480,000.00",,"19,400,000.00",,,"400,121,800.00",,,,,,,,,,,,,"5,288,010.00","5,288,010.00","12,130,094.00","12,482,094.00",,"1,524,072.00","1,524,072.00","11,671,972.00",,"1,744,000.00","1,744,000.00","3,514,460.00",,,"30,173,300.00","30,373,300.00"
