科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"164,389,460.88","175,021,609.48","76,252,948.88","73,428,146.75","68,300,697.86","43,002,092.22","63,321,234.99","123,131,657.73","79,472,227.44","80,214,991.20","21,526,565.98","71,070,535.69","89,425,031.24","104,958,498.26","98,304,735.93","102,080,476.62","95,288,230.04","89,183,400.84","56,311,815.18","84,834,075.22","80,395,584.86","83,250,716.66","84,670,828.01","77,969,165.88","62,251,474.61","81,208,143.92","72,694,493.72","77,723,931.62","85,232,478.35","95,645,413.11","75,094,966.25","118,226,566.79","139,147,714.95","298,392,045.12","296,678,088.24","277,382,875.81","222,142,334.18","192,952,771.82","256,176,508.28","210,925,127.39","274,397,977.91","195,876,657.29","258,569,403.67","322,984,473.80"
短期借款,"50,000,000.00","35,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,"35,000,000.00","95,000,000.00","55,000,000.00","55,000,000.00",,,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,"30,000,000.00",,"10,000,000.00","10,000,000.00","2,000,000.00",,,,,,,,,"49,054,844.13","50,656,771.29","50,398,930.00","50,000,000.00","50,000,000.00","50,000,000.00","49,979,086.41","50,124,360.72","50,164,216.70","50,187,261.55","110,091,456.70","110,051,377.77","49,971,231.15"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"23,082,189.62","21,385,994.26","18,268,522.40","18,331,107.43","19,928,439.57","20,368,102.80","19,085,664.81","19,675,017.80","26,662,367.81","26,042,673.28","23,887,172.40","25,424,829.57","26,037,646.34","23,780,258.44","22,924,665.57","23,991,898.12","29,436,379.94","32,341,172.96","29,435,093.73","30,650,149.95","33,688,834.17","27,179,526.45","25,273,906.51","27,245,483.79","30,994,736.53","28,890,454.11","29,041,585.47","26,196,715.57","25,520,130.54","19,984,591.80","16,810,245.54","17,259,279.74","14,644,843.41","16,431,970.06","16,177,719.30","11,576,897.72","11,402,621.01","11,146,428.01","10,460,934.26","7,934,248.94","7,226,384.72","6,269,146.24","3,915,328.71","2,535,100.23"
应付账款,"5,865,009.67","3,859,561.57","2,600,889.30","3,920,328.64","4,133,412.08","5,174,041.99","3,252,309.41","5,740,400.47","6,052,144.39","3,359,969.41","2,458,041.05","2,375,397.74","2,144,587.72","1,582,323.01","1,640,656.34","2,365,371.01","3,009,192.27","2,442,734.57","2,762,198.18","2,847,720.72","2,969,175.44","1,928,086.61","2,257,469.84","2,349,935.39","2,503,009.20","1,873,788.35","1,680,192.60","1,771,181.05","2,104,616.58","1,680,999.07","1,804,977.56","1,681,067.22","1,494,771.09","1,557,536.72","1,610,895.91","1,661,897.22","1,866,433.36","1,334,437.87","1,390,926.22","2,281,895.90","2,537,614.25","1,526,511.89","1,209,358.87","2,582,186.94"
预付款项,"28,111,652.14","1,119,834.83","2,210,530.40","48,198,338.65","48,079,683.41","50,598,496.35","52,125,447.19","386,795.97","2,017,318.34","1,457,473.06","2,971,469.23","333,494.03","1,550,140.79","1,084,275.60","2,015,332.22","2,222,819.77","1,725,608.01","1,146,040.40","4,014,967.82","1,388,620.33","1,122,260.91","844,954.72","3,129,443.58","1,505,507.07","1,217,808.16","569,172.13","2,762,436.08","697,106.33","710,450.35","231,594.83","1,034,878.40","720,009.79","809,349.33","558,886.10","1,259,595.42","940,271.83","953,416.97","510,098.83","1,514,894.10","1,586,225.79","963,677.71","720,886.54","2,221,214.81","1,136,296.59"
预收款项,"28,666,985.73","32,324,936.53","342,663.41","1,581,248.47","892,293.36","546,188.76","727,621.76","136,670.76","85,042.26","39,484.01","27,552.51","109,218.26","343,285.65","174,191.65","3,603,342.51","2,157,306.52","365,483.52","351,062.92","954,773.52","1,690,478.52","502,273.52","481,920.20","276,535.02","216,941.52","175,951.52","866,231.07","250,917.77","78,375.00","59,475.00","125,275.00","120,955.00","104,532.16","78,030.99","57,972.99","134,048.12","68,381.02","89,125.84","16,611.58","57,131.91","77,631.80","543,113.90","416,043.60","393,377.65","1,201,492.11"
