科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
财务费用,"1,307,616.55","4,258,322.57","313,982.01","147,483.44","838,088.27","135,394.14","1,004,572.00","-102,472.72","484,867.27","-4,536,348.65","-4,242,252.95","-5,621,269.62","-3,931,605.57","-911,755.41","-158,834.49","122,917.12","781,961.85","1,122,393.33","2,327,109.97","4,521,731.24","6,171,502.95","1,829,617.80","5,607,543.37","7,154,806.48","9,786,314.32","2,384,160.60","6,944,568.65","7,294,823.19","8,770,850.42","418,327.31","2,892,036.87","4,265,026.57","8,964,391.35","1,621,213.57","2,876,395.37","4,239,157.45","10,354,653.78","1,912,919.73"
三、利润总额,"64,665,149.80","72,231,587.72","37,648,289.39","53,676,453.42","75,784,390.54","21,479,532.86","29,114,574.61","44,516,379.41","55,760,786.30","21,541,319.18","38,030,602.28","58,345,281.59","81,668,341.41","20,281,557.50","42,360,175.89","59,695,379.89","53,246,873.74","20,872,821.56","25,237,402.94","23,772,602.20","18,903,549.54","14,913,628.24","15,348,794.09","13,241,470.23","8,851,106.77","2,881,777.13","8,680,015.99","13,032,315.10","15,475,408.02","4,318,710.92","11,752,065.12","15,893,140.38","15,298,647.51","3,123,304.66","9,587,806.04","14,350,410.40","-104,860,055.84","4,751,453.00"
资产减值损失,"2,628,977.29","1,264,964.01","208,815.97","-13,193.51","1,960,446.27","550,103.43","1,664,992.39","2,407,107.91","5,667,027.58","2,701,500.45","4,960,407.25","6,135,715.16","-1,217,671.89","1,145,843.58","2,499,290.92","4,525,456.67","10,592,968.03","3,735,174.36","3,806,358.06","7,526,250.56","17,705,162.20","5,769,609.49","11,060,857.91","14,420,118.05","23,769,701.62","5,640,078.87","10,950,225.78","19,271,015.10","26,427,261.18","2,837,891.16","5,803,026.52","13,276,966.00","15,735,766.84","2,561,139.81","6,429,015.53","10,267,356.12","199,081,093.06","1,257,332.10"
减:所得税,"19,809,086.53","9,486,350.04","5,706,840.99","8,042,197.03","12,373,709.74","3,304,265.25","4,548,614.66","6,245,727.76","6,873,799.97","2,852,089.77","4,746,198.46","7,701,844.16","14,221,215.63","3,018,969.03","6,409,492.65","8,540,575.69","10,470,166.72","2,727,801.07","3,456,021.00","3,061,153.96","4,356,372.63","1,325,609.36","1,007,452.55","2,399,302.80","427,022.70","640,063.96","633,876.56","1,564,254.11","3,857,351.43","862,615.08","1,463,401.47","2,575,036.92","5,351,765.54","727,783.27","1,074,957.69","2,594,290.54","2,641,566.00","1,763,904.75"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,156,000.00",
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,"88,482.19","210,017.80","210,017.80","210,017.80",,"243,889.20","243,889.20","243,889.20",,"-438,267.12","-484,688.89","2,132,850.10","68,756.75","-41,858.06","-56,936.27","-7,683,408.45","-2,069,566.97","-299,774.88","-780,025.44","-631,335.81","4,994,007.15","3,199,865.68","1,825,694.47","7,096,641.64","-477,761.39","3,654,437.37","2,053,034.64","-1,323,120.05","-893,424.01","3,321,627.88","371,415.52","-5,546,784.14","-61,458.01","6,523,183.69","6,462,863.04","6,376,650.39","-226,017.19"
四、净利润,"44,856,063.27","62,745,237.68","31,941,448.40","45,623,006.39","63,410,680.80","18,175,267.61","24,565,959.95","38,270,651.65","48,886,986.33","18,689,229.41","33,284,403.82","50,643,437.43","67,447,125.78","17,262,588.47","35,950,683.24","51,154,804.20","42,776,707.02","18,145,020.49","21,781,381.94","20,711,448.24","14,547,176.91","13,588,018.88","14,341,341.54","10,842,167.43","8,424,084.07","2,241,713.17","8,046,139.43","11,468,060.99","11,618,056.59","3,456,095.84","10,288,663.65","13,318,103.46","9,946,881.97","2,395,521.39","8,512,848.35","11,756,119.86","-107,501,621.84","2,987,548.25"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,"-7,853,408.45",,,,"-781,335.81","-1,895,992.85","-3,690,134.32","-5,064,305.53","206,641.64","-477,761.39","-3,095,562.63","-4,696,965.36","-8,073,120.05","-893,424.01","-3,428,372.12","-6,378,584.48","-12,296,784.14","-61,458.01","-226,816.31","-287,136.96","-373,349.61","-226,017.19"
归属于母公司所有者的净利润,"44,856,063.27","62,745,237.68","31,941,448.40","45,623,006.39","63,410,680.80","18,175,267.61","24,565,959.95","38,270,651.65","48,886,986.33","18,689,229.41","33,168,769.71","50,600,468.96","67,072,251.90","17,244,322.66","35,911,932.47","51,067,284.98","42,681,862.07","18,132,545.44","21,783,290.30","20,727,453.95","14,527,341.29","13,595,824.13","14,373,273.63","10,902,593.30","8,416,718.29","2,264,405.20","8,067,663.40","11,475,820.21","11,605,375.43","3,459,723.83","10,312,218.32","13,360,807.49","10,038,469.55","2,403,807.24","8,588,167.55","10,252,677.55","-74,233,592.97","4,009,868.83"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,"115,634.11","42,968.47","374,873.88","18,265.81","38,750.77","87,519.22","94,844.95","12,475.05","-1,908.36","-16,005.71","19,835.62","-7,805.25","-31,932.09","-60,425.87","7,365.78","-22,692.03","-21,523.97","-7,759.22","12,681.16","-3,627.99","-23,554.67","-42,704.03","-91,587.58","-8,285.85","-75,319.20","1,503,442.31","-33,268,028.87","-1,022,320.58"
