科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"4,872,695,246.70","5,192,703,411.83","2,469,313,789.05","5,612,837,650.89","1,310,660,818.75","3,189,307,949.69","5,244,457,207.67","7,123,961,486.00","1,699,965,244.91","4,089,331,425.17","6,564,885,081.41","8,931,141,854.57","2,106,931,828.09","4,674,539,154.35","8,361,764,493.32","12,283,600,410.94","1,899,445,534.87","5,045,877,367.07","8,167,610,639.67","12,413,188,034.73","2,713,905,274.70","6,335,613,720.49","9,940,722,338.41","14,735,320,346.30","2,591,347,582.76","5,726,959,741.83","8,465,180,687.49","12,100,622,403.98","2,526,075,472.64","5,851,896,191.63","9,307,783,907.53","21,441,950,637.72","3,996,433,424.71","9,723,330,088.91","15,126,417,460.85","23,730,780,569.28","5,365,056,460.30","11,886,955,252.32","19,275,786,013.65","27,526,093,780.23","5,990,501,617.73"
取得子公司及其他营业单位支付的现金净额,,"150,000,000.00",,,,,"702,998.45",,,,,"116,500,000.00",,,"817,617,355.36","639,417,659.33","90,300,000.00","15,300,000.00","15,300,000.00","7,206,380.75",,,,,,,,"9,524,719.76",,,,"2,944,714.69","116,186,061.15",,,"118,873,122.11",,"587,731.58","587,731.58","234,315,097.97",
收到的税费返还,,"892,956.33",,"169,118.61",,"537,740.59","1,581,671.71","1,876,721.64","908,293.26","1,220,578.50","3,889,157.12","4,818,444.31","1,431,537.85","5,649,126.16","9,554,055.86","14,847,327.93","5,864,721.13","7,873,567.12","10,174,233.12","8,659,952.72","573,460.58","4,195,507.21","6,899,012.93","21,998,023.04","10,095,260.48","20,740,142.47","28,975,685.35","43,362,362.41","8,962,471.91","25,506,702.89","29,515,623.80","264,936,451.82","11,339,980.72","52,981,559.41","111,967,420.78","266,395,197.66","164,107,052.61","278,818,270.67","431,435,487.73","614,169,075.98","241,269,305.83"
支付其他与投资活动有关的现金,,,"132,368.68",,,"72,800.00","72,800.00",,,,,,,,,"18,500,000.00","500,000,000.00","834,500,000.00","800,850,000.00",,,,,,,,,,,,,"24,977,845.34",,"34,031,217.74","85,394,392.21","1,011,269,058.11","38,277,329.15","82,660,565.77","82,660,565.77","620,728,685.38","7,288,389.19"
收到其他与经营活动有关的现金,"43,587,425.55","9,075,250.73","75,890,000.00","85,837,169.49","11,328,076.71","17,021,731.49","40,097,267.99","36,846,182.70","45,480,803.91","10,616,863.94","19,815,182.57","65,641,075.60","27,833,310.37","31,569,583.10","228,585,653.73","342,173,458.27","39,456,700.64","72,547,400.39","125,408,808.22","128,730,298.86","26,716,410.13","52,948,107.59","111,310,118.96","82,766,581.46","33,736,399.66","101,078,674.07","168,356,797.87","69,193,523.46","67,493,798.80","53,017,435.46","125,418,455.18","1,451,046,012.01","404,527,868.66","453,095,408.95","1,356,828,452.50","937,772,045.66","646,649,649.11","733,236,694.78","851,960,698.65","1,140,566,249.65","618,719,577.77"
投资活动现金流出小计,"117,297,534.72","274,687,824.64","24,772,990.15","106,700,015.20","12,514,110.98","46,946,789.75","89,090,485.36","100,383,291.88","200,952,359.46","282,772,529.97","351,939,041.66","757,823,702.91","57,100,908.82","252,993,372.40","1,317,675,685.82","1,686,351,563.45","694,885,971.78","1,184,075,788.00","1,271,559,080.93","3,586,521,528.33","134,798,968.43","1,094,064,668.12","2,004,068,669.09","3,441,095,778.40","2,010,759,945.77","7,282,818,810.82","12,802,348,689.13","15,834,981,937.74","3,149,941,018.68","8,198,458,534.59","11,141,208,452.62","18,871,395,421.34","5,891,920,210.02","9,056,806,908.67","10,088,342,394.17","13,573,041,714.05","3,500,870,250.68","4,697,064,901.57","6,100,816,290.16","8,445,953,900.72","897,968,790.59"
经营活动现金流入小计,"4,916,282,672.25","5,202,671,618.89","2,545,203,789.05","5,698,843,938.99","1,321,988,895.46","3,206,867,421.77","5,286,136,147.37","7,162,684,390.34","1,746,354,342.08","4,101,168,867.61","6,588,589,421.10","9,001,601,374.48","2,136,196,676.31","4,711,757,863.61","8,599,904,202.91","12,640,621,197.14","1,944,766,956.64","5,126,298,334.58","8,303,193,681.01","12,550,578,286.31","2,741,195,145.41","6,392,757,335.29","10,058,931,470.30","14,840,084,950.80","2,635,179,242.90","5,848,778,558.37","8,662,513,170.71","12,213,178,289.85","2,602,531,743.35","5,930,420,329.98","9,462,717,986.51","23,157,933,101.55","4,412,301,274.09","10,229,407,057.27","16,595,213,334.13","24,934,947,812.60","6,175,813,162.02","12,899,010,217.77","20,559,182,200.03","29,280,829,105.86","6,850,490,501.33"
投资活动产生的现金流量净额,"-47,684,409.60","-259,961,245.74","3,990,261.18","-63,240,014.42","-12,314,062.59","-43,513,554.81","-84,480,066.72","-66,549,526.83","-200,937,169.46","-233,482,394.18","-278,549,179.94","-640,853,603.99","-881,988.81","-173,703,572.14","-1,215,168,153.59","-1,649,193,851.12","-651,363,125.11","-1,118,112,764.94","-1,182,171,175.20","-1,517,128,350.48","434,076,171.62","-6,392,744.99","247,585,259.48","-392,671,346.26","-315,422,835.46","-315,289,037.55","-914,187,779.62","-1,082,937,558.65","365,432,478.39","-1,207,417,745.49","-132,050,009.62","-4,260,873,854.43","-823,084,059.76","-623,404,086.68","-1,391,790,149.62","-2,713,324,908.20","-116,979,240.66","-333,041,123.86","-1,136,682,097.55","-2,646,224,308.02","-818,919,103.20"
购买商品、接受劳务支付的现金,"3,438,282,688.92","3,663,600,770.93","1,286,525,013.16","3,243,097,872.03","1,134,240,624.71","2,145,776,111.39","3,462,262,863.69","4,909,651,449.53","1,510,814,972.48","3,003,080,296.93","5,074,131,429.03","6,997,254,515.13","1,485,687,892.32","2,813,038,769.60","5,114,390,475.89","7,351,050,069.16","1,771,327,737.68","3,424,313,317.86","5,807,044,608.42","8,810,123,140.37","2,150,846,787.38","3,954,653,604.81","6,269,729,372.77","9,172,571,169.19","1,611,583,493.01","2,984,927,717.35","4,714,844,441.64","6,773,479,887.45","1,180,156,222.63","2,694,350,802.54","4,844,178,853.50","12,750,964,439.38","3,100,106,145.15","6,341,070,942.06","9,982,896,002.70","15,393,062,973.19","4,069,665,264.00","8,005,080,195.46","13,343,362,445.83","18,815,342,367.62","4,929,296,100.39"
吸收投资收到的现金,"26,749,800.00",,,,"2,463,024,100.00","2,463,024,100.00","2,463,024,100.00","2,460,024,100.00",,,,,,,,,,,,"79,180,720.00","600,000.00","5,220,888.00","5,220,888.00","65,432,493.00",,,"300,000.00","800,000.00",,"61,466,522.50","68,516,522.50","65,108,022.34","4,397,007,838.89","4,404,939,790.89","4,623,944,087.39","4,459,434,714.36","1,121,201.32","853,043.20","1,894,549.12","16,026,072.09",
