科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"161,075,023.34","256,959,785.72","333,070,351.36","168,129,133.90","238,538,150.08","377,218,100.70","24,511,290.48","114,823,561.57","220,236,518.75","321,688,019.77","108,022,136.47","331,927,244.34","461,607,527.48","662,592,783.86","159,941,526.47","338,888,194.10","540,791,122.43","934,517,193.94","154,818,133.34","308,070,987.63","445,155,079.56","757,875,700.73","228,689,921.13","599,691,890.31","807,224,035.43","877,819,611.08","272,881,474.15","449,653,615.56"
取得子公司及其他营业单位支付的现金净额,,"1,088,000.00",,,,,,"3,120,000.00",,,,,"7,000,000.00",,,,"329,050,345.85","375,900,345.85",,,,"193,748,266.19",,,,"113,721,504.35",,
收到的税费返还,,,,,,"4,146,292.52",,,,,,,,"11,302,459.34","5,575,998.28","8,186,920.87","12,515,731.71","16,370,366.80","1,376,307.79","2,648,308.50","2,648,308.50","3,813,774.52","1,625,684.83","689,252.73","689,252.73","369,830.96",,
支付其他与投资活动有关的现金,,,,,,,,,,"1,000,000.00",,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"5,865,137.86","5,010,294.26","4,049,186.77","2,967,442.46","10,140,322.83","2,037,354.46","3,144,859.61","8,225,847.53","11,918,106.67","31,604,455.37","4,475,089.14","3,234,836.41","3,873,634.16","14,562,747.29","797,930.64","2,905,387.04","5,414,847.87","19,231,627.58","126,350,670.87","127,479,995.61","127,479,995.61","144,926,013.98","127,479,995.61","29,437,523.65","90,703,157.71","38,982,253.56","29,837,412.41","19,065,030.27"
投资活动现金流出小计,"10,233,779.06","24,668,163.96","25,226,088.88","7,688,630.95","12,598,860.73","21,621,395.05","4,327,363.12","10,283,171.86","9,760,535.51","23,687,878.91","2,320,726.91","9,114,508.38","38,524,407.00","66,949,608.73","55,173,051.44","60,252,364.76","423,663,124.39","511,083,438.43","7,287,073.02","42,509,113.92","42,509,113.92","344,834,723.64","25,282,880.00","162,897,908.00","193,226,468.53","231,822,462.74","10,876,319.67","32,888,975.49"
经营活动现金流入小计,"166,940,161.20","261,970,079.98","337,119,538.13","171,096,576.36","248,678,472.91","383,401,747.68","27,656,150.09","123,049,409.10","232,154,625.42","353,292,475.14","112,497,225.61","335,162,080.75","465,481,161.64","688,457,990.49","166,315,455.39","349,980,502.01","558,721,702.01","970,119,188.32","282,545,112.00","438,199,291.74","575,283,383.67","906,615,489.23","357,795,601.57","629,818,666.69","898,616,445.87","917,171,695.60","302,718,886.56","468,718,645.83"
投资活动产生的现金流量净额,"-10,233,779.06","-24,668,163.96","-24,804,022.88","-7,688,630.95","-12,598,860.73","-21,603,395.05","-4,217,963.12","-10,225,384.86","-9,627,835.51","-23,551,178.91","-1,770,975.05","-8,514,271.16","-37,788,613.98","-36,760,502.41","-54,773,051.44","-59,745,364.76","-408,006,124.39","-433,256,524.75","-7,287,073.02","-42,468,384.52","-28,468,384.52","-322,618,169.53","-25,282,880.00","-102,851,822.53","-129,272,329.48","-170,135,938.04","-10,863,419.67","-32,854,075.49"
购买商品、接受劳务支付的现金,"138,859,402.72","196,380,823.17","279,868,092.23","140,470,952.03","234,459,135.44","295,237,873.07","53,791,623.45","168,973,835.65","246,027,487.00","333,215,842.05","98,676,132.23","306,702,735.59","374,387,774.82","598,322,609.34","130,966,347.08","279,130,679.90","437,726,924.29","630,334,326.19","109,732,237.59","200,053,241.05","283,410,542.54","408,898,166.30","255,372,280.08","523,082,176.13","687,938,101.87","658,762,819.73","204,536,060.43","327,000,722.01"
吸收投资收到的现金,"16,200,000.00","2,000,000.00","141,232.00",,"178,716,815.00","185,865,000.00",,,"11,842,000.00","7,500,000.00",,,,,,,"329,999,978.82","327,688,679.13",,,,,,,,,,
