科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"174,904,271.42","250,261,755.94","30,382,038.37","183,764,813.08","33,271,744.04","69,103,168.62","134,176,921.90","200,523,764.01","35,993,566.00","119,564,534.53","175,842,692.12","288,582,136.45","40,672,186.07","111,259,536.37","200,127,265.93","382,679,607.49","147,548,117.23","531,669,401.71","677,690,367.46","886,240,601.70","94,543,149.54","319,693,917.35","499,939,338.09","594,804,126.13","127,367,227.18","252,237,958.22","365,805,221.26","447,370,472.55","180,141,510.41","261,551,783.59","324,184,807.82","376,394,939.03","87,942,399.60","176,089,499.90","299,681,106.83","543,830,653.04","68,189,751.53","168,167,982.24","258,898,427.28","442,066,399.41","118,555,360.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"48,054,110.55","48,054,110.55","48,054,110.55",,,,,,"22,229,725.74","98,404,769.88","98,404,769.88",,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"5,468,987.37","12,345,221.81","1,016,845.69","7,962,459.22","750,448.23","788,755.92","822,755.92","856,755.92","148,691.87","336,204.68","1,036,462.27","2,883,760.80","1,511,640.42","1,651,011.39","1,835,814.80","2,287,984.98","251,990.54","1,332,217.03","2,720,638.81","2,746,265.05","454,889.55","473,645.96","523,184.69","522,824.69","1,790,652.57","2,409,579.81","4,172,343.36","4,679,357.56","2,157,699.37","8,561,051.06","10,677,226.70","11,765,611.53","2,251,838.23","4,205,192.93","6,750,347.02","8,037,539.52","1,853,377.61","5,643,572.40","48,270,714.22","51,763,736.65","5,285,727.33"
支付其他与投资活动有关的现金,,,,,"2,400.00",,,"2,850,000.00",,,,,,,,,,,,,,,,,,,,,,,,"13,905,281.61","30,000.00","1,694,197.30","8,077,561.97","2,056,840.16","690,916.92","1,073,325.44","1,085,174.63","1,096,903.98","2,454.17"
收到其他与经营活动有关的现金,"52,230,290.78","34,954,459.51","6,616,568.00","29,051,198.90","5,062,784.36","14,692,929.54","18,526,756.88","32,652,625.03","6,187,964.25","15,007,552.19","13,260,011.88","42,987,752.51","6,180,608.13","32,776,435.48","33,592,908.10","58,291,401.90","6,088,800.27","17,197,989.63","56,707,866.77","92,142,859.84","6,764,191.29","20,304,830.83","42,018,802.79","43,423,307.15","8,284,120.19","21,052,027.55","23,546,189.33","34,702,860.69","25,184,866.50","27,508,931.19","40,062,353.81","43,911,424.00","3,201,742.36","3,680,614.89","18,946,335.95","23,798,256.98","606,041.57","13,715,001.00","20,127,476.48","32,850,028.28","814,117.49"
投资活动现金流出小计,"58,320,388.17","81,519,083.90","17,313,456.46","30,348,653.17","5,877,865.13","12,546,893.42","25,124,258.90","46,805,728.28","50,842,949.87","68,405,522.59","113,514,835.02","171,186,106.29","38,877,803.97","88,063,288.75","163,193,254.78","272,229,369.17","71,225,786.88","179,498,221.01","308,115,141.25","394,328,795.01","94,899,723.72","203,938,149.08","273,147,861.73","318,914,423.73","45,570,954.80","93,397,145.12","132,458,255.77","138,385,671.54","19,176,379.73","69,164,235.41","83,737,461.11","116,080,802.67","41,394,467.68","55,365,890.48","67,759,826.85","69,189,214.57","8,682,644.92","22,189,095.96","31,652,708.18","39,750,571.37","6,459,442.01"
经营活动现金流入小计,"232,603,549.57","297,561,437.26","38,015,452.06","220,778,471.20","39,084,976.63","84,584,854.08","153,526,434.70","234,033,144.96","42,330,222.12","134,908,291.40","190,139,166.27","334,453,649.76","48,364,434.62","145,686,983.24","235,555,988.83","443,258,994.37","153,888,908.04","550,199,608.37","737,118,873.04","981,129,726.59","101,762,230.38","340,472,394.14","542,481,325.57","638,750,257.97","137,441,999.94","275,699,565.58","393,523,753.95","486,752,690.80","207,484,076.28","297,621,765.84","374,924,388.33","432,071,974.56","93,395,980.19","183,975,307.72","325,377,789.80","575,666,449.54","70,649,170.71","187,526,555.64","327,296,617.98","526,680,164.34","124,655,205.07"
投资活动产生的现金流量净额,"-48,104,172.46","-80,819,939.95","-17,313,456.46","-30,348,653.17","-5,877,865.13","-12,520,893.42","-25,098,258.90","-46,779,728.28","-50,842,949.87","-68,384,922.59","-113,493,175.02","-171,164,446.29","-38,877,803.97","-88,051,288.75","-156,495,842.69","-258,729,652.17","-71,225,786.88","-174,998,221.01","-303,615,141.25","-389,828,495.01","-94,899,723.72","-203,938,149.08","-273,115,131.73","-318,881,693.73","-45,570,954.80","-93,396,095.12","-123,946,685.56","-78,574,101.33","-19,176,379.73","-69,146,935.41","-83,720,161.11","-92,354,542.67","-39,670,753.28","-50,123,816.08","-62,508,772.45","-59,638,460.17","-7,095,644.92","-19,489,395.96","-28,939,808.18","-34,319,271.37","-6,459,442.01"
购买商品、接受劳务支付的现金,"66,158,047.91","136,253,886.67","15,555,716.64","41,545,907.39","9,098,044.22","24,655,809.56","31,700,711.49","46,386,781.66","92,606,153.40","85,693,494.01","114,274,283.77","147,742,305.75","18,414,447.76","222,477,446.90","374,018,260.68","508,210,085.36","125,994,696.62","279,504,055.24","386,592,931.00","497,952,483.61","63,259,619.56","140,675,241.49","255,220,090.15","356,463,450.24","60,561,494.58","130,895,284.07","202,550,724.21","277,084,705.34","39,833,728.65","47,603,816.94","91,591,918.04","91,143,738.14","22,965,151.63","56,823,620.36","136,916,452.76","324,134,611.54","68,351,054.59","131,156,466.63","200,239,188.10","319,824,758.24","209,544,283.36"
吸收投资收到的现金,,"5,400,000.00",,,,"960,000,000.00","960,000,000.00","960,000,000.00",,,,,,,,,,,"3,000,000.00","3,000,000.00",,,,"25,640,000.00",,,,,,,,,,,,,,,,,
