科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"153,763,646.97","174,760,949.65","306,543,666.12","85,383,511.85","192,322,652.39","278,591,423.36","536,110,765.30","171,526,280.62","391,384,026.56","592,867,506.15","1,078,980,824.28","262,016,171.79","622,632,707.93","1,047,909,355.20","2,176,895,329.22","656,559,627.08","1,440,294,957.79","2,695,882,714.82","3,890,034,989.26","843,626,866.88"
二、营业利润,"48,452,938.76","42,292,658.76","74,867,042.05","26,220,834.64","42,846,449.45","53,265,901.56","130,545,446.78","47,868,910.57","94,774,419.48","124,780,939.30","269,503,122.53","84,806,266.06","191,268,040.59","306,607,911.73","604,218,017.62","201,845,013.96","378,313,457.27","634,993,080.89","969,422,217.71","223,153,271.91"
减:营业成本,"73,125,745.83","96,789,510.50","173,243,793.48","48,422,474.53","115,726,137.74","164,243,281.93","305,325,072.09","98,651,374.03","230,945,695.23","342,659,247.19","619,816,227.21","144,274,041.99","344,912,847.64","607,758,203.01","1,281,265,898.70","380,023,152.74","881,167,928.70","1,696,922,239.48","2,369,713,692.02","461,058,226.64"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,321,257.88","1,580,956.60","1,917,010.41","709,755.02","1,710,755.02","4,912,882.90","6,015,246.69","988,943.63","5,209,006.95","7,842,655.24","11,384,683.43","1,686,303.86","6,809,192.08","15,028,381.47","20,216,664.18","3,147,981.45","9,380,374.57","16,242,592.31","30,270,764.16","14,004,487.93"
营业外收入,"3,662,911.00","1,585,682.82","2,805,394.95","2,684,441.18","11,723,696.83","25,655,462.97","39,899,346.64","9,392,207.37","17,189,938.10","57,158,437.09","101,428,585.70","22,193,971.15","19,200,199.44","20,968,261.09","29,581,641.27","1,820,976.39","4,377,429.43","10,658,683.32","11,443,608.56","3,470,963.06"
销售费用,"3,953,161.44","5,959,331.16","10,447,628.68","1,552,154.72","5,403,860.56","9,112,850.61","16,767,082.95","2,545,630.81","8,447,272.59","16,209,078.04","30,636,423.92","2,230,951.10","16,384,890.66","37,123,887.22","84,102,302.57","15,614,772.49","38,012,801.93","83,496,238.30","123,210,915.90","22,899,870.31"
减:营业外支出,"1,684,445.69","64,783.33","389,297.59",,"72,125.12","153,684.68","187,794.68",,"13,717.04","1,831,708.91","36,817,673.44","3,197.89","403,079.07","488,344.13","11,114,684.49","8,148.54","249,737.79","3,675,350.46","142,089,874.24","263,006.38"
管理费用,"22,877,258.72","24,878,318.80","38,660,932.28","10,273,381.88","28,359,694.74","50,811,729.23","78,129,413.11","21,400,809.13","49,180,311.22","99,378,722.02","142,281,841.78","32,515,361.97","82,724,993.43","153,217,583.96","251,176,554.19","70,649,284.23","164,769,618.79","322,850,332.66","231,612,294.61","70,043,196.64"
其中:非流动资产处置净损失,,,"13,663.38",,,,"66,559.56",,"7,583.40",,"75,205.55",,"1,406.47",,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,
