科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月
销售商品、提供劳务收到的现金,"16,656,296.41","42,168,400.44","69,973,265.68","135,158,213.17","13,345,656.32","32,182,922.25","48,722,106.31","68,511,822.05","12,831,144.20","27,171,712.72","42,278,374.84","56,027,530.84","12,904,404.65","27,121,445.59","40,485,365.66","51,113,443.78","8,723,057.83","16,968,844.30","38,640,887.00","31,362,751.66","4,146,844.00","7,898,229.78","18,920,374.91","21,099,083.97",,"6,918,259.55","2,854,372,134.74","2,976,931,854.50","1,206,377,176.82","4,681,062,624.53","9,722,043,486.84","7,813,447,774.34","1,913,399,094.42","6,551,838,409.09","10,119,747,817.54","10,369,606,831.53","222,351,776.09","1,357,054,242.56","2,134,593,081.02","2,420,450,731.09","408,226,458.04","408,861,164.77","409,434,160.20","456,178,155.43","1,049,909.69","1,413,771.69","2,043,288.66"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400,000.00",,,,,,,,,,,,,,,,,,
收到的税费返还,,,"7,400.00",,"390,000.00","2,907.18","2,907.18","2,907.18",,,,,,,,,,,"1,958.82",,,,,,,,,,,,,,,,,,,,,"46,754.71",,,,,,"1,455.70","1,455.70"
支付其他与投资活动有关的现金,"11,017,174.19","7,000,000.00","7,000,000.00",,"100,000.00","224,014.23",,,,,,,,,,,,,,"153,984,000.00",,"2,360,459.56",,"147,493,101.00",,"76,695,000.00","79,076,553.40",,"1,305.00","512,678.00","1,077,362.85",,"332,268.70","529,289.20","848,382.40","24,009,088.05","385,717.20","437,310.20","458,520.20","458,520.20",,"1,054.00","1,054.00","16,054.00",,,
收到其他与经营活动有关的现金,"3,939,200.21","1,377,875.07","2,734,149.31","7,335,629.87","2,059,266.03","3,214,980.25","4,154,492.07","4,920,474.93","959,128.58","2,141,806.98","1,286,572.14","4,674,768.70","1,521,389.33","1,725,629.80","1,730,861.83",,"1,487,014.46",,"4,081,085.16",,"5,843,551.72",,"12,859,354.50","7,707,500.00","1,504,587.25","3,907,456.07","149,353,681.69","6,617,937.32","443,714,946.78","992,732,657.02","1,698,203,096.33","7,806,096.16","932,229,649.86","1,827,819,625.40","2,219,074,520.28","14,343,098.17","196,876,925.45","47,548,427.28","54,995,700.05","12,617,334.65","4,783,504.90","6,099,438.26","7,911,854.42","11,872,330.07","1,937,809.17","2,019,423.37","1,289,453.80"
投资活动现金流出小计,"13,154,067.33","10,509,601.05","10,353,190.45","19,463,524.57","1,104,427.20","6,578,305.43","12,644,281.60","18,602,656.61","1,561,006.85","2,810,116.57","3,941,615.65","5,120,870.15","634,223.50","1,184,814.50","1,931,666.00","4,931,045.99","209,221.95","1,578,112.00","564,125.95","156,567,717.87","18,880.00","3,214,295.22","511,090.00","148,873,368.41",,"76,753,525.00","86,992,320.92","8,825,788.85","8,574,036.35","7,531,848.36","34,958,059.99","316,296,160.20","110,656,093.50","599,715,024.89","723,892,952.07","775,068,996.72","6,895,107.20","12,580,728.95","13,354,141.15","13,889,443.85","823,396.71","867,522.07","928,538.07","1,149,418.07",,,"4,000.00"
经营活动现金流入小计,"20,595,496.62","43,546,275.51","72,714,814.99","142,493,843.04","15,794,922.35","35,400,809.68","52,879,505.56","73,435,204.16","13,790,272.78","29,313,519.70","43,564,946.98","60,702,299.54","14,425,793.98","28,847,075.39","42,216,227.49","51,113,443.78","10,210,072.29","16,968,844.30","42,723,930.98","31,362,751.66","9,990,395.72","7,898,229.78","31,779,729.41","28,806,583.97","1,504,587.25","10,825,715.62","3,003,725,816.43","2,983,549,791.82","1,650,092,123.60","5,673,795,281.55","11,420,246,583.17","7,821,253,870.50","2,845,628,744.28","8,379,658,034.49","12,338,822,337.82","10,383,949,929.70","419,228,701.54","1,404,602,669.84","2,189,588,781.07","2,433,114,820.45","413,009,962.94","414,960,603.03","417,346,014.62","468,050,485.50","2,987,718.86","3,434,650.76","3,334,198.16"
投资活动产生的现金流量净额,"-13,154,067.33","-10,449,337.11","-10,013,238.76","-6,982,152.99","-1,101,927.20","896,694.57","-4,589,981.60","-10,548,356.61","-1,445,037.25","-2,781,384.07","-3,912,883.15","-5,092,137.65","-625,543.50","-1,175,514.50","-1,922,341.00","34,079,041.01","9,790,778.05","32,154,018.54","12,288,504.59","37,119,901.86","1,022,795.00","-2,172,620.22","307,602.19","10,507,274.49","610,000.00","-75,213,488.07","-84,078,658.18","-6,278,324.00","-7,974,036.35","-6,931,848.36","-34,018,090.26","-316,296,160.20","21,329,165.96","-267,399,765.43","-10,095,121.01","-769,635,827.84","104,930,344.46","679,829,602.04","679,056,189.84","713,438,773.43","-420,198.71","-454,324.07","-266,590.07","-487,470.07","66,600.00","66,600.00","62,600.00"
购买商品、接受劳务支付的现金,"4,344,453.11","10,479,842.62","25,119,858.17","89,381,832.96","4,252,484.13","7,055,155.61","11,475,696.23","15,817,142.85","5,889,445.99","10,659,653.15","15,802,175.08","20,062,411.96","4,697,668.04","11,145,948.03","15,577,683.22","20,046,202.05","2,735,218.76","9,267,023.89","8,425,198.89","27,123,693.28","3,044,668.40","7,576,417.14","9,189,800.98","8,210,676.45","1,105,245.82","3,819,821.43","2,829,650,927.78","2,679,347,511.69","865,864,942.82","4,164,462,485.28","8,467,298,392.22","7,202,822,998.99","1,969,053,844.10","6,047,023,392.05","10,002,626,874.27","10,198,563,365.06","826,891,816.41","2,195,137,256.57","3,085,117,841.21","3,196,556,324.31","404,389,143.53","404,770,854.95","405,269,984.27","449,791,029.50","121,297.11","295,350.24","607,140.24"
吸收投资收到的现金,"559,748.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,000,000.00","40,000,000.00",,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"3,401,983.26","6,071,570.23","8,575,312.91","15,174,592.23","3,908,292.40","7,279,469.45","11,474,118.29","16,253,644.47","5,266,844.61","10,697,473.19","14,807,470.18","18,030,892.15","5,140,569.56","8,710,655.26","15,176,743.20","18,077,953.56","2,227,879.70","4,572,932.18","4,390,864.99","6,551,617.13","1,739,133.07","3,430,543.79","4,477,876.33","4,446,619.11","966,888.43","1,831,331.17","25,873,078.92","28,415,711.93","7,909,119.79","15,264,229.01","22,812,400.75","33,436,936.77","4,929,552.40","15,411,812.56","22,613,406.07","27,418,643.75","6,040,210.99","12,707,568.22","19,735,717.47","26,402,268.37","2,878,634.23","4,106,567.61","5,399,394.34","6,461,843.65","1,073,295.06","1,256,868.31","1,319,428.18"
