科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"780,605,000,000.00","496,066,000,000.00","1,410,865,000,000.00","758,469,000,000.00","1,093,284,000,000.00","1,336,975,000,000.00","226,065,000,000.00","459,398,000,000.00","731,018,000,000.00","969,560,000,000.00","145,062,000,000.00","394,735,000,000.00","590,043,000,000.00","827,708,000,000.00","82,980,000,000.00","271,517,000,000.00","477,726,000,000.00","634,630,000,000.00","101,209,000,000.00","280,469,000,000.00","353,766,000,000.00","629,129,000,000.00","157,611,000,000.00","394,329,000,000.00","599,227,000,000.00","870,994,000,000.00","249,663,000,000.00","624,695,000,000.00","932,656,000,000.00","1,261,234,000,000.00","369,077,000,000.00","834,459,000,000.00","1,346,833,000,000.00"
客户存款和同业存放款项净增加额,"592,258,000,000.00","803,705,000,000.00","1,684,598,000,000.00","796,598,000,000.00","1,085,852,000,000.00","1,397,743,000,000.00","592,710,000,000.00","936,023,000,000.00","903,189,000,000.00","823,152,000,000.00","776,132,000,000.00",,,,,,,,,,,"823,773,000,000.00",,,,,,"900,491,000,000.00","1,154,886,000,000.00","1,433,784,000,000.00",,"842,940,000,000.00","1,104,642,000,000.00"
取得投资收益收到的现金,"34,186,000,000.00","65,563,000,000.00","74,566,000,000.00","35,317,000,000.00","53,227,000,000.00","76,405,000,000.00","11,525,000,000.00","36,516,000,000.00","60,419,000,000.00","79,766,000,000.00","16,749,000,000.00","36,025,000,000.00","44,668,000,000.00","87,158,000,000.00","17,030,000,000.00","40,392,000,000.00","69,878,000,000.00","99,120,000,000.00","21,012,000,000.00","45,570,000,000.00","78,915,000,000.00","112,781,000,000.00","28,229,000,000.00","59,756,000,000.00","102,347,000,000.00","135,037,000,000.00","33,199,000,000.00","72,111,000,000.00","116,099,000,000.00","154,753,000,000.00","43,332,000,000.00","87,598,000,000.00","139,802,000,000.00"
向中央银行借款净增加额,,"49,000,000.00",,,,,,,,"20,000,000.00",,"16,000,000.00","16,000,000.00","16,000,000.00","4,000,000.00","24,000,000.00","44,000,000.00","38,000,000.00","18,000,000.00","37,000,000.00","100,037,000,000.00","80,017,000,000.00","19,989,000,000.00",,,,"56,504,000,000.00","5,439,000,000.00","70,458,000,000.00","230,453,000,000.00","113,975,000,000.00","144,697,000,000.00","155,698,000,000.00"
收到其他与投资活动有关的现金,"6,628,000,000.00","1,830,000,000.00","1,917,000,000.00","573,000,000.00","1,011,000,000.00","1,373,000,000.00","543,000,000.00","330,000,000.00","360,000,000.00","1,356,000,000.00","726,000,000.00","558,000,000.00","287,000,000.00","1,843,000,000.00","360,000,000.00","617,000,000.00","1,135,000,000.00","1,181,000,000.00","167,000,000.00","652,000,000.00","609,000,000.00","2,820,000,000.00","106,000,000.00","718,000,000.00","472,000,000.00","1,032,000,000.00","204,000,000.00","276,000,000.00","308,000,000.00","2,287,000,000.00","374,000,000.00","531,000,000.00","1,231,000,000.00"
向其他金融机构拆入资金净增加额,"5,481,000,000.00","4,752,000,000.00",,,"305,000,000.00","15,750,000,000.00","8,252,000,000.00","4,702,000,000.00","12,128,000,000.00",,,,,,,,,,,,,"1,742,000,000.00",,,,,,,,,"55,361,000,000.00","91,841,000,000.00",
投资活动现金流入小计,"821,419,000,000.00","563,459,000,000.00","1,487,348,000,000.00","794,359,000,000.00","1,147,522,000,000.00","1,414,753,000,000.00","238,133,000,000.00","496,244,000,000.00","791,797,000,000.00","1,050,682,000,000.00","162,537,000,000.00","431,318,000,000.00","634,998,000,000.00","916,709,000,000.00","100,370,000,000.00","312,526,000,000.00","548,739,000,000.00","734,931,000,000.00","122,388,000,000.00","326,691,000,000.00","433,290,000,000.00","744,730,000,000.00","185,946,000,000.00","454,803,000,000.00","702,046,000,000.00","1,007,063,000,000.00","283,066,000,000.00","697,082,000,000.00","1,049,063,000,000.00","1,418,274,000,000.00","412,783,000,000.00","922,588,000,000.00","1,487,866,000,000.00"
收取利息、手续费及佣金的现金,"218,564,000,000.00","267,081,000,000.00","254,901,000,000.00","148,405,000,000.00","230,245,000,000.00","321,741,000,000.00","102,241,000,000.00","209,662,000,000.00","324,977,000,000.00","454,160,000,000.00","133,891,000,000.00","262,227,000,000.00","439,833,000,000.00","543,743,000,000.00","140,939,000,000.00","286,298,000,000.00","430,550,000,000.00","583,655,000,000.00","157,311,000,000.00","315,564,000,000.00","475,485,000,000.00","636,350,000,000.00","166,459,000,000.00","329,029,000,000.00","492,674,000,000.00","647,374,000,000.00","146,818,000,000.00","304,082,000,000.00","446,716,000,000.00","575,991,000,000.00","143,273,000,000.00","296,871,000,000.00","442,419,000,000.00"
投资支付的现金,"913,942,000,000.00","783,606,000,000.00","1,655,801,000,000.00","757,107,000,000.00","1,209,963,000,000.00","1,326,763,000,000.00","172,738,000,000.00","7,623,000,000.00","725,625,000,000.00","1,051,872,000,000.00","242,262,000,000.00","439,204,000,000.00","679,481,000,000.00","922,765,000,000.00","212,247,000,000.00","450,725,000,000.00","752,428,000,000.00","891,097,000,000.00","174,328,000,000.00","421,384,000,000.00","591,719,000,000.00","859,158,000,000.00","320,448,000,000.00","847,439,000,000.00","1,274,144,000,000.00","1,752,782,000,000.00","501,730,000,000.00","1,149,671,000,000.00","1,600,661,000,000.00","2,039,374,000,000.00","635,389,000,000.00","1,264,737,000,000.00","1,911,610,000,000.00"
