科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
实收资本(或股本),"80,000,000.00","80,000,000.00","80,000,000.00","106,670,000.00","106,670,000.00","106,670,000.00","106,670,000.00","106,670,000.00","218,366,000.00","218,366,000.00","218,346,000.00","218,346,000.00","218,811,000.00","218,811,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"28,177,354.51","27,910,124.32","27,687,678.09","338,479,678.09","339,131,204.45","339,131,204.45","339,131,204.45","339,131,204.45","275,544,231.49","278,960,406.49","281,925,711.27","283,447,575.69","287,115,448.56","289,011,121.25"
无形资产,"28,773,084.82","28,528,163.37","32,123,139.46","31,836,759.52","31,550,379.58","31,586,221.85","32,323,146.66","37,200,261.47","36,858,516.62","36,677,424.16","48,212,378.45","48,255,065.81","47,796,846.74","47,268,726.36"
盈余公积,"8,426,777.49","12,987,179.49","18,503,059.33","18,503,059.33","18,503,059.33","18,503,059.33","24,402,175.35","24,402,175.35","24,402,175.35","24,402,175.35","31,208,332.31","31,208,332.31","31,208,332.31","31,208,332.31"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,"45,729,810.00","45,729,810.00","33,766,536.00","33,766,536.00"
商誉,,,,,,,,,"23,987,901.90","23,987,901.90","19,818,048.95","19,818,048.95","19,818,048.95","19,818,048.95"
未分配利润,"91,653,521.04","156,513,879.45","220,313,691.75","245,928,544.28","271,902,455.08","287,646,112.17","307,249,213.18","336,041,957.91","334,168,206.63","360,143,001.54","391,499,879.30","423,390,710.31","424,790,020.17","451,234,421.22"
长期待摊费用,"1,397,669.55","1,271,780.28","1,056,016.23","930,825.22","859,470.37","998,781.10","1,005,897.83","2,951,478.44","2,460,411.85","2,015,149.80","1,724,313.92","2,897,367.99","2,680,159.21","5,685,588.27"
少数股东权益,"4,911,916.45","9,939,069.68","10,399,316.27","10,992,534.02","11,703,445.57","12,222,907.87","12,275,134.04","12,843,466.73","21,532,972.80","27,958,215.22","31,541,422.15","33,547,537.19","29,275,531.17","27,772,422.32"
递延所得税资产,"1,931,712.81","2,670,486.23","2,435,990.34","2,447,824.17","2,567,664.96","1,931,196.21","2,648,320.63","2,783,482.83","2,794,401.58","2,836,576.20","5,717,698.44","4,663,733.67","3,511,727.81","3,726,635.03"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,"3,468,856.00","19,658.12","19,658.12","1,669,658.12","1,669,658.12","19,657,638.12","14,064,295.12","14,102,663.12","8,849,420.32","124,450.00",,"25,147,260.00","118,071,780.00"
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"128,351,375.35","152,680,883.96","172,283,477.72","177,091,712.28","191,942,799.00","202,757,756.74","237,383,110.42","260,794,354.98","329,400,733.71","357,105,807.58","396,942,366.89","420,824,237.81","454,334,417.14","580,172,013.09"
所有者权益(或股东权益)合计,"213,169,569.49","287,350,252.94","356,903,745.44","720,573,815.72","747,910,164.43","764,173,283.82","789,727,727.02","819,088,804.44","874,013,586.27","909,829,798.60","908,791,535.03","944,210,345.50","957,433,796.21","984,270,761.10"
资产总计,"384,499,185.45","496,152,079.25","581,232,044.31","926,074,772.50","921,018,532.07","910,847,841.71","951,254,560.14","988,546,100.69","1,111,095,875.53","1,158,236,962.85","1,238,788,387.65","1,263,473,702.82","1,322,340,727.17","1,366,530,014.73"
负债和所有者(或股东权益)合计,"384,499,185.45","496,152,079.25","581,232,044.31","926,074,772.50","921,018,532.07","910,847,841.71","951,254,560.14","988,546,100.69","1,111,095,875.53","1,158,236,962.85","1,238,788,387.65","1,263,473,702.82","1,322,340,727.17","1,366,530,014.73"
