科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"772,150,078.88","737,801,156.90","789,114,151.33","309,782,321.81","506,171,534.65","687,324,168.04","59,166,666.00","307,221,493.96","431,309,522.69","667,401,668.77","39,621,550.45","87,060,616.75","164,158,217.17","252,508,424.10","90,030,422.13","208,789,540.71","272,514,548.74","440,058,247.68","31,104,862.61","242,225,721.16","436,556,907.69","713,834,462.37","191,649,103.58"
二、营业利润,"54,126,378.06","55,367,770.17","50,739,372.66","20,002,105.59","28,921,483.97","40,431,951.41","-21,794,922.30","1,124,308.29","-20,306,267.07","-4,583,255.87","-29,893,301.59","-62,009,524.05","-92,714,346.19","-109,076,943.47","-10,942,613.83","-4,315,851.36","-42,977,193.89","-10,119,469.14","-13,118,287.47","-400,437.91","-1,211,065.43","7,640,057.30","4,020,388.42"
减:营业成本,"595,773,364.16","548,987,374.63","592,944,289.42","223,219,140.34","376,248,370.60","504,588,059.16","51,740,298.79","240,473,933.76","348,111,722.71","525,026,355.05","41,703,688.79","85,686,777.47","156,091,772.51","232,024,524.53","79,518,523.42","183,027,270.62","246,629,210.25","393,011,624.01","29,236,554.65","200,030,513.69","364,392,596.63","578,208,463.49","162,816,808.41"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,567,911.55","4,307,211.59","6,015,038.20","1,911,554.62","3,148,228.28","3,471,628.51","126,178.05","2,107,471.01","2,765,307.56","5,605,412.48","321,702.92","446,498.88","468,319.90","4,201,993.93","1,292,201.03","2,592,625.69","3,998,721.78","5,330,454.18","1,300,157.24","2,640,385.00","3,974,522.30","5,341,114.27","1,401,790.99"
营业外收入,"11,437,298.66","18,470,116.09","15,869,924.13","5,827,772.60","8,182,589.06","13,052,080.32","2,526,926.34","3,854,109.75","5,770,573.79","10,937,380.62","1,506,591.46","3,265,963.22","4,726,829.68","7,106,791.27","1,556,591.46","6,040,312.36","36,646,806.54","20,616,115.84","1,450,591.46","3,651,182.92","5,102,054.38","6,688,264.04","237,614.31"
销售费用,"21,632,503.62","25,062,104.65","27,021,527.24","12,810,683.88","17,214,658.26","24,636,285.42","5,585,557.31","13,755,232.66","18,444,462.42","25,193,702.17","4,221,998.74","8,797,175.93","13,933,662.92","19,382,010.98","6,028,246.12","12,149,716.12","17,883,633.62","23,904,370.83","3,822,131.17","9,628,796.34","18,691,585.56","28,673,751.52","4,043,240.83"
减:营业外支出,"203,713.20","10,214,374.84","719,375.08","316,180.00","345,206.74","345,206.74","20,030.00","23,102.92","28,980.95","131,226.89","69,345.36","104,393.15","104,393.15","979,982.13","22,749.90","92,790.79","97,021.79","97,114.34","50,502.50","57,837.18","233,100.00","243,453.68","66,597.56"
管理费用,"78,497,511.06","77,904,648.86","81,327,115.52","38,544,056.67","60,942,451.85","86,341,147.99","22,294,883.22","40,727,951.99","61,450,702.58","86,505,572.91","18,746,205.00","37,726,767.65","61,536,056.74","80,006,982.21","14,227,960.83","28,689,287.39","43,080,676.57","66,822,041.53","14,247,350.24","29,506,842.89","35,736,938.83","50,546,311.44","13,446,124.09"
其中:非流动资产处置净损失,"-1,265,540.41","44,219.51","-24,049.27",,,,,,,,,,,,,422.67,,,,"7,737.18",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,
