科目,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"77,683,830,326.95","89,998,175,410.40","44,376,164,487.49","70,821,379,170.24","93,472,050,829.66","20,896,544,159.62","44,043,262,185.87","75,522,093,378.66","104,351,989,935.58","26,057,213,148.19","52,749,585,632.37","91,091,986,186.57","132,843,943,526.50","34,142,697,762.02","65,431,683,036.80","103,071,262,054.35","151,711,278,752.18","38,931,932,531.95","82,789,249,475.21","123,688,441,501.16","187,074,228,820.23","42,973,151,690.82","90,255,958,574.99","144,991,619,585.50","226,334,014,011.99","52,284,586,926.83","104,468,469,110.01","161,812,335,303.35","243,660,371,552.93","55,667,644,579.26","110,558,648,791.34"
取得子公司及其他营业单位支付的现金净额,,,"13,205,165.67","10,246,986.88",,,,"1,000,000,000.00",,,"136,505,141.39","365,625,041.93","397,327,146.28",,"170,389,495.00","170,389,495.00","170,389,495.00","324,722.20",,"1,108,364,542.82","1,301,770,604.95",,,,"18,064,539.65",,"134,435,075.90","119,042,675.90","148,429,650.73",,"1,530,916,049.08"
收到的税费返还,"359,306,478.77","422,385,943.57","124,675,467.76","253,367,856.10","374,475,040.71","147,379,071.58","359,192,712.26","266,758,131.22","402,118,446.10","88,220,113.14","353,545,347.85","438,900,145.66","473,815,089.92","118,481,610.02","260,602,253.82","502,354,896.09","602,880,125.53","185,869,009.89","578,200,117.39","1,084,986,130.35","947,348,335.48","310,771,640.68","683,256,635.12","916,825,150.58","1,066,836,059.26","155,566,107.09","475,412,550.11","695,180,455.24","981,107,585.00","229,425,101.11","816,839,677.03"
支付其他与投资活动有关的现金,"9,840,383.26","25,731,988.56","101,799,283.59","48,833,488.96","46,016,665.24","6,536,502.88","6,134,997.86","24,033,981.59","690,113,180.51","3,593,421.45","24,937,088.93","49,598,635.77","407,496,998.14","18,013,298.54","17,863,339.93","1,344,720,381.32","42,040,451.15","11,424,008.97","582,588,885.37","804,534,039.58","1,425,359,587.86","40,604,430.74","432,857,039.16","460,172,458.36","2,953,968,743.54","2,264,279,984.35","2,466,881,291.01","3,638,703,107.37","6,706,053,253.04","1,142,933,319.39","2,156,689,815.81"
收到其他与经营活动有关的现金,"1,383,354,349.78","2,128,912,883.88","1,904,778,530.17","2,325,181,839.74","2,993,607,401.97","452,801,877.80","3,231,924,590.36","3,086,447,530.09","5,253,560,152.42","1,713,767,711.92","4,367,118,159.56","5,491,193,178.93","8,093,245,393.30","2,321,704,746.13","5,448,947,061.72","6,604,142,037.16","8,926,721,476.89","2,726,796,033.00","6,911,892,042.07","8,833,663,200.40","12,887,763,392.18","6,177,103,286.80","9,062,472,262.66","9,176,612,401.44","17,023,157,542.06","7,614,396,893.77","10,104,958,894.43","15,121,473,150.77","21,838,025,376.06","10,502,156,650.37","17,395,097,752.34"
投资活动现金流出小计,"11,476,802,278.52","10,027,374,345.74","8,835,977,219.47","11,364,326,578.71","14,186,826,496.14","2,334,678,528.06","5,192,323,040.01","11,076,580,549.46","16,906,978,500.30","3,753,097,643.51","8,088,375,166.22","12,591,674,739.40","20,348,488,616.94","5,597,411,633.24","13,085,462,106.35","22,525,522,694.09","32,253,193,260.93","8,421,784,603.63","19,051,554,326.11","30,786,713,079.85","44,522,740,862.29","11,751,836,115.17","23,246,396,826.93","39,503,363,216.70","62,047,481,389.35","27,260,770,630.84","42,426,452,474.95","61,712,910,515.50","84,890,932,132.58","12,549,498,429.78","27,174,511,551.52"
经营活动现金流入小计,"79,426,491,155.50","92,549,474,237.85","46,405,618,485.42","73,399,928,866.08","96,840,133,272.34","21,496,725,109.00","47,634,379,488.49","78,875,299,039.97","110,007,668,534.10","27,859,200,973.25","57,470,249,139.78","97,022,079,511.16","141,411,004,009.72","36,582,884,118.17","71,141,232,352.34","110,177,758,987.60","161,240,880,354.60","41,844,597,574.84","90,279,341,634.67","133,607,090,831.91","200,909,340,547.89","53,961,643,982.64","106,125,339,617.88","163,090,785,313.09","257,483,846,143.94","57,137,751,400.52","114,346,291,191.27","177,106,754,613.11","267,203,689,692.91","61,723,095,499.60","125,552,721,181.92"
投资活动产生的现金流量净额,"-11,244,129,690.46","-9,898,646,279.02","-8,720,477,028.63","-11,172,692,311.39","-13,432,903,702.22","-2,242,100,331.83","-4,332,776,272.54","-9,688,172,163.90","-14,129,129,569.52","-3,562,312,214.52","-7,739,479,021.11","-10,598,186,565.93","-15,377,044,522.84","-1,851,351,869.66","-7,639,449,371.12","-15,303,068,026.38","-20,314,464,753.17","-4,791,250,070.81","-14,336,877,961.05","-22,113,279,456.15","-26,171,245,100.23","-5,885,778,880.06","-12,659,624,827.27","-23,263,315,627.13","-33,849,264,748.82","-21,120,827,452.28","-30,367,245,063.72","-44,582,547,616.74","-63,865,364,811.67","-9,254,960,745.42","-20,889,720,438.23"
购买商品、接受劳务支付的现金,"62,555,309,610.88","72,684,409,128.30","35,818,713,473.09","58,084,872,304.59","72,227,405,021.60","17,731,953,357.40","38,971,767,380.94","64,243,169,989.24","85,568,177,949.19","24,079,604,472.68","46,811,427,071.96","79,593,492,199.94","108,030,709,711.78","28,185,986,140.21","55,942,806,658.62","85,870,935,010.74","120,292,829,812.05","33,556,019,954.76","67,762,912,959.68","101,400,308,825.94","141,399,096,984.17","40,465,785,253.80","75,831,092,181.47","121,650,101,839.18","167,181,730,911.25","47,130,777,603.65","92,721,117,244.18","143,518,913,662.22","194,281,424,371.88","60,055,332,063.36","108,223,847,114.58"
吸收投资收到的现金,"1,559,811,508.93","634,308,757.23","1,079,455,120.00","14,469,148,657.87","14,567,210,649.00","80,373,676.10","102,650,315.61","85,235,255.00","624,402,634.82","25,000,000.00","310,604,307.07","353,109,909.87","1,453,591,344.67","153,871,502.40","224,271,002.40","474,614,840.98","3,545,327,461.96","159,480,858.20","203,832,898.19","6,860,759,080.90","10,684,820,730.18","1,184,783,604.44","1,306,547,545.86","5,522,469,667.04","9,864,303,573.41","1,056,947,880.00","19,012,628,827.49","21,789,403,932.06","28,425,946,349.00","2,555,228,100.00","4,852,008,541.39"
