科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"248,062,816.90","277,643,590.81","112,641,041.22","182,552,205.86","336,247,480.88","29,634,650.45","97,278,581.50","163,840,482.24","341,563,469.57","77,267,954.32","163,848,107.92","266,233,337.11","576,570,657.57","102,895,350.28","236,605,706.35","362,140,328.44","725,553,513.39","139,645,757.27","330,724,047.01","525,051,202.97","891,371,593.38","171,083,874.06","367,233,826.48","591,891,753.99","1,098,306,655.63","166,750,703.27","374,244,478.93","601,427,445.71","1,163,977,563.13","248,338,885.78","458,078,935.22","730,313,963.43","1,327,935,204.96","259,399,374.13","485,118,004.97","861,126,425.85","1,578,680,067.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"1,515,916.22",,,,"-140,209.33",,,,,,,,,,"7,348,996.29","7,348,996.29","7,348,996.29",,,"14,422,042.18","14,422,042.18",,,,"900,000.00",,,,
收到的税费返还,"7,193,866.41","10,782,473.91","5,300,837.75","8,353,896.25","13,324,260.51","1,808,299.43","2,904,718.33","5,710,953.90","13,375,230.31","3,450,429.43","3,450,429.43","4,909,532.38","13,843,678.77","693,840.49","8,688,752.23","17,239,863.51","21,594,872.11","15,907,088.67","19,904,974.45","26,507,500.10","41,379,270.37","2,855,638.48","6,736,554.23","12,489,538.81","27,798,800.35","3,247,565.39","4,393,853.94","10,713,327.70","23,946,251.76","3,344,553.27","10,741,408.93","17,457,925.13","33,873,264.60","3,199,001.17","7,800,248.59","20,185,583.42","30,704,872.70"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"26,674,707.13","29,677,814.80","43,497,221.67","51,352,960.81","52,730,800.47","7,010,513.35","21,854,539.32","30,052,765.17","55,176,882.60","11,752,063.51","25,205,409.94","36,824,068.82","51,643,471.69","9,300,158.90","22,392,767.67","33,612,948.56","61,019,153.13","10,123,521.38","24,358,394.56","39,811,805.96","58,466,003.18","9,143,448.27","20,466,048.40","38,724,405.58","62,953,315.31","10,723,023.78","28,495,550.83","51,388,768.50","91,103,431.26","18,668,313.86","51,523,621.17","81,058,982.08","114,874,054.34","55,751,555.67","86,070,168.31","123,172,274.55","177,979,305.43"
投资活动现金流出小计,"3,283,046.51","3,016,632.66","1,084,527.20","1,543,662.04","1,654,709.04","1,210,415.44","4,754,140.68","6,697,211.83","99,516,996.19","4,322,904.26","36,822,415.44","48,971,406.56","51,116,613.26","21,483,745.61","33,853,611.36","53,465,456.17","72,112,488.15","11,976,249.53","59,873,410.77","91,313,311.36","106,433,392.09","25,177,141.80","41,570,093.06","56,969,735.34","65,066,579.82","27,451,742.98","68,260,313.91","93,997,941.25","114,323,366.59","16,488,141.31","121,609,574.40","146,642,117.43","148,561,781.61","133,242,359.28","139,158,104.88","147,508,463.47","156,771,085.62"
经营活动现金流入小计,"281,931,390.44","318,103,879.52","161,439,100.64","242,259,062.92","402,302,541.86","38,453,463.23","122,037,839.15","199,604,201.31","410,115,582.48","92,470,447.26","192,503,947.29","307,966,938.31","642,057,808.03","112,889,349.67","267,687,226.25","412,993,140.51","808,167,538.63","165,676,367.32","374,987,416.02","591,370,509.03","991,216,866.93","183,082,960.81","394,436,429.11","643,105,698.38","1,189,058,771.29","180,721,292.44","407,133,883.70","663,529,541.91","1,279,027,246.15","270,351,752.91","520,343,965.32","828,830,870.64","1,476,682,523.90","318,349,930.97","578,988,421.87","1,004,484,283.82","1,787,364,245.97"
投资活动产生的现金流量净额,"-3,093,086.51","-3,014,287.68","-1,084,143.14","-1,440,777.98","-1,551,124.98","-1,210,030.82","-4,749,856.06","-6,689,941.21","-99,507,875.57","-4,322,904.26","-36,819,415.44","-48,915,406.56","4,339,786.74","-21,480,945.61","-33,850,811.36","-53,462,656.17","-62,280,895.15","-11,976,249.53","-59,872,984.85","-91,312,239.24","-106,431,719.97","-25,174,003.50","-26,566,954.76","-41,957,537.04","-50,054,381.52","-27,451,742.98","-68,260,313.91","-93,677,419.25","-114,314,358.59","-16,488,141.31","-121,597,847.90","-142,707,543.93","-137,372,017.13","-133,242,359.28","-138,073,584.88","-146,423,943.47","-152,676,565.62"
购买商品、接受劳务支付的现金,"130,956,915.82","140,216,254.32","104,044,070.46","157,271,156.65","192,749,987.07","80,933,202.36","149,402,880.69","202,980,385.63","280,513,890.29","81,663,490.20","156,262,019.19","250,605,896.06","376,670,811.69","125,404,850.47","236,445,465.64","361,052,469.36","449,148,204.41","174,322,151.17","300,995,076.81","447,141,923.40","584,498,224.31","96,396,071.31","295,819,507.48","498,597,861.61","699,644,913.36","208,620,952.15","361,373,736.55","559,088,744.06","751,580,660.88","219,598,941.81","383,675,557.37","680,407,123.41","925,763,144.69","211,006,186.39","390,387,452.69","656,701,655.88","978,605,966.94"
吸收投资收到的现金,"15,826,815.13",,,,,"522,500,000.00","526,303,520.00","526,303,520.00","526,303,520.00",,,,,,,,,"213,100,000.00","220,985,300.00","220,985,300.00","221,965,300.00",,,,,,,,"2,701,000.00","1,419,000.00","1,909,000.00","980,000.00","4,234,000.00","46,320,000.00","47,790,000.00","203,186,000.00","204,176,000.00"
