科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"119,085,153.19","145,829,794.47","211,163,569.69","152,692,021.99","592,069,203.98","605,654,039.98","518,319,578.93","67,716,209.42","94,882,415.45","21,609,843.11","7,193,118.28","80,743,853.02","17,730,780.67","21,248,477.43","33,691,620.95","73,848,831.88","11,416,561.74","16,097,625.95","15,795,363.76","18,965,233.96","12,377,249.18","11,863,089.05","87,216,532.07","57,725,501.47","71,367,813.73"
短期借款,,,"60,000,000.00","30,000,000.00",,,,,,,,,,,,,,,,,,,,"774,960.00","782,330.00"
交易性金融资产,,,,,,,"107,190,396.87","97,843,080.15","202,704,206.75","259,966,756.39","341,360,832.36","313,499,276.31","336,491,716.49","388,825,049.04","436,297,214.93","432,211,855.54","410,993,076.38","360,188,501.61","340,881,164.65","334,042,498.98","369,245,895.08","308,329,097.25","338,265,634.78","396,837,646.71","382,026,329.63"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"16,707,725.25","22,484,627.49","52,201,292.58","41,309,507.01","40,706,265.70","104,039,886.97","84,642,114.83","67,392,845.10","84,033,062.60","66,366,048.25","127,782,658.07","76,273,819.83","99,814,766.07","106,341,587.73","83,426,191.68","64,119,736.10","58,916,490.55","64,004,718.50","80,605,496.75","81,707,066.75","64,552,783.89","112,223,681.08","120,018,531.73","115,790,011.16","134,769,933.03"
应付票据,,,,,,,,,,,,,,"4,480,000.00",,,,,"2,007,059.84","2,007,059.84",,,,,
应收账款,"128,251,048.00","199,598,691.11","236,405,311.57","322,386,377.54","345,958,721.78","307,861,476.26","328,491,031.33","368,816,585.56","389,153,137.63","381,908,364.54","346,874,634.80","423,480,424.81","399,551,819.97","357,821,426.88","354,675,058.39","426,221,211.02","433,528,855.10","470,316,583.74","437,975,425.20","425,681,015.82","464,961,524.59","500,863,269.99","456,128,747.30","477,131,846.54","482,447,541.32"
应付账款,"24,140,475.45","18,954,681.68","52,738,203.89","60,193,370.16","48,495,979.18","68,078,216.20","54,803,437.27","57,232,409.11","47,083,196.13","62,834,092.00","47,230,585.21","47,817,777.72","41,752,330.02","45,088,045.00","39,696,682.94","42,997,868.66","42,565,107.81","40,722,843.20","55,266,111.53","47,208,338.79","52,845,025.42","55,381,159.38","52,571,326.86","60,480,186.18","72,951,210.31"
预付款项,"23,569,601.94","21,598,854.69","22,274,953.47","24,317,459.08","21,169,521.80","21,882,626.76","24,970,767.77","33,500,118.03","49,549,433.51","39,611,854.54","39,138,352.60","40,307,932.34","33,032,474.84","41,680,289.59","42,467,715.30","46,052,106.72","40,351,082.07","28,542,684.28","41,626,208.38","45,336,191.28","49,186,368.12","32,813,547.92","39,434,606.83","43,627,367.76","61,172,066.23"
预收款项,"182,568,065.61","250,354,865.82","330,962,701.81","357,161,188.84","352,731,694.11","314,824,991.51","330,779,098.04","282,780,708.97","304,420,290.54","310,815,893.37","298,628,060.03","266,019,152.46","280,206,217.68","289,651,100.01","258,478,280.77","188,549,722.68","193,224,826.41","181,128,602.07","193,714,028.57","223,827,071.48","231,735,135.59","213,967,394.27","259,750,550.81","325,866,927.80","383,783,680.16"
其他应收款,"8,750,659.06","3,886,171.40","6,355,402.57","6,789,012.70","11,619,210.00","13,438,353.76","11,116,066.31","12,692,873.21","13,341,342.40","9,016,997.29","10,683,769.91","10,741,133.81","8,941,454.07","7,803,984.59","9,570,221.19","11,044,954.96","10,001,823.78","10,023,279.54","11,554,951.56","10,498,691.84","11,480,373.92","10,128,840.12","11,950,787.41","14,577,417.57","14,331,210.87"
