科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"116,371,490.60","138,067,817.79","208,510,549.06","130,707,481.95","270,035,501.98","77,768,421.75","196,888,698.52","248,342,309.92","348,427,757.95","117,568,560.16","221,396,603.19","310,390,629.30","421,318,874.73","150,114,213.61","289,120,919.89","413,848,043.59","730,900,907.90","233,943,186.48","487,396,081.74","825,848,123.29","1,166,777,462.48","301,584,760.42","867,190,610.37","1,109,553,741.78","1,666,319,455.27","505,760,606.13","850,459,080.28","1,366,910,301.33","1,946,049,938.30","598,160,670.31","1,015,959,693.35","1,513,529,158.91","2,006,477,112.36","500,941,401.53","1,071,803,503.95","1,347,887,976.45","1,630,432,068.31","353,070,277.05"
二、营业利润,"23,380,219.54","28,758,358.83","46,744,065.09","27,048,740.44","57,142,292.83","15,508,090.05","35,850,046.36","48,540,979.79","50,345,262.13","17,830,995.49","37,944,815.49","59,891,711.10","69,226,877.74","23,086,027.09","42,271,004.55","71,817,432.18","88,595,168.63","29,414,003.48","63,453,361.02","104,943,374.13","131,280,605.28","43,955,161.30","87,469,711.28","136,118,780.47","181,505,103.54","56,695,893.35","103,387,818.22","166,769,395.73","154,381,984.74","62,775,685.60","119,734,771.00","193,026,703.88","225,410,997.75","73,795,725.63","136,650,392.53","142,438,472.54","122,834,921.52","41,368,665.62"
减:营业成本,"70,723,872.63","79,533,557.85","122,267,239.20","77,309,901.06","162,732,918.49","47,844,770.84","127,923,417.01","154,422,451.90","243,138,414.83","80,025,591.82","145,223,857.93","192,554,041.50","260,761,142.34","109,120,465.77","196,865,775.00","267,730,926.47","508,369,061.23","171,132,036.43","346,601,631.35","596,615,908.52","836,505,382.43","206,868,424.13","672,235,691.06","792,133,425.48","1,215,906,048.29","380,827,487.57","599,432,987.22","1,009,224,922.30","1,471,059,232.82","455,483,143.04","763,732,916.40","1,164,631,643.15","1,533,731,866.04","364,216,169.85","795,576,631.33","1,005,345,469.00","1,228,455,925.86","266,932,959.39"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,469,021.31","3,918,611.33","6,358,774.65","3,223,070.24","7,853,135.32","2,959,643.07","6,730,639.73","8,183,526.72","12,104,967.57","4,621,813.88","9,479,830.50","11,849,060.15","15,651,473.93","4,535,481.10","8,020,585.19","10,793,274.30","16,364,190.92","4,273,877.69","5,167,107.86","11,605,180.33","15,976,659.26","5,295,768.64","11,900,508.16","17,879,189.87","27,223,482.97","5,324,489.03","10,246,579.49","15,065,306.71","26,159,996.66","4,654,465.21","11,786,533.20","15,414,824.52","19,769,663.31","6,867,816.96","7,495,903.74","9,138,286.62","14,390,146.08","3,016,789.66"
营业外收入,"1,431,932.27","429,390.65","1,005,170.32","253,667.74","878,654.28","25,171.10","1,191,681.10","1,261,586.10","2,312,455.39","21,688.00","29,888.00","31,888.00","3,387,818.05","842,986.36","1,487,988.51","3,769,546.54","7,365,337.31","257,187.36","1,049,141.67","2,222,516.36","2,757,378.22","5,023,901.08","10,998,017.06","19,508,238.25","4,941,609.45","775,509.16","2,944,388.37","4,502,290.97","8,368,660.60","2,977,671.83","5,448,141.12","6,923,260.18","712,611.64","382,992.10","897,376.33","1,349,057.11","30,938,419.66","252,392.56"
销售费用,"6,084,082.05","7,735,487.73","10,912,414.13","7,315,820.33","13,670,603.50","4,281,231.86","8,823,401.27","12,964,702.33","18,797,471.49","4,619,655.77","10,743,899.88","18,433,998.05","25,607,690.68","4,272,633.09","10,908,445.01","17,121,865.43","34,870,766.04","10,186,622.74","21,520,965.65","34,429,978.10","49,960,789.36","14,111,992.85","27,796,538.69","43,960,009.66","59,260,964.49","13,710,445.61","31,357,701.16","46,313,027.09","67,814,986.59","14,507,096.68","31,103,143.54","49,593,678.65","69,920,904.94","10,898,006.99","28,291,088.49","44,069,876.22","67,132,619.65","10,557,388.34"
减:营业外支出,"118,314.49","608,844.68","524,702.66","54,083.56","184,061.88","2,322.52","18,073.90","404,086.60","617,525.47","3,002.69","23,217.69","24,317.69","67,642.64","6,305.10","6,765.10","43,489.01","190,713.86","12,848.99","226,640.76","277,240.76","654,123.83","7,200.00","17,627.93","18,701.90","436,706.61","269,781.55","315,351.16","347,023.44","598,454.88","27,685.91","586,992.42","677,905.57","814,978.17","13,404.15","63,392.25","896,709.55","810,158.79","35,965.04"
管理费用,"10,565,705.78","14,403,558.41","22,424,088.36","12,756,910.82","27,569,102.09","6,912,613.97","14,770,315.45","21,797,846.49","37,314,529.18","9,603,647.21","22,656,923.20","34,677,825.22","48,631,997.01","14,200,162.78","25,794,144.11","45,593,823.87","76,084,579.34","20,523,340.22","45,435,824.28","76,051,976.23","110,296,628.90","30,278,106.67","66,699,468.85","105,371,977.38","152,314,224.77","30,427,185.20","68,901,590.54","103,775,201.22","151,141,479.01","33,237,307.79","69,247,385.31","108,190,851.21","153,285,633.51","40,203,798.17","81,950,976.57","81,537,886.73","87,611,312.46","26,750,563.55"
其中:非流动资产处置净损失,,,,,,,,"158,994.70",,,,,,,,,"106,662.30","7,976.01",,"8,259.13","381,572.46",,,,"19,775.97",,,,"20,954.04",,"11,537.50","11,537.50",,,,,,
