科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"145,448,125.60","173,310,113.19","199,044,083.91","98,698,766.50","132,095,291.06","212,219,716.59","42,726,439.29","116,508,988.14","162,791,847.10","230,741,051.12","52,691,287.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"602,298.34","1,110,389.20","1,003,668.81","587,778.02","748,981.20","798,232.59","980,552.31","1,356,533.21","2,623,029.85","3,030,331.19","623,863.14"
支付其他与投资活动有关的现金,,,"1,628,000.00",,,,,,,,
收到其他与经营活动有关的现金,"1,262,639.54","15,283,336.50","2,906,453.44","3,235,696.61","3,592,715.22","3,585,891.14","859,681.74","3,399,872.53","3,766,008.60","5,422,863.47","375,783.02"
投资活动现金流出小计,"17,071,863.41","22,669,193.78","32,789,800.07","10,487,250.46","12,796,130.73","17,563,932.81","15,792,724.77","18,970,918.43","22,924,863.63","330,210,421.54","10,421,555.08"
经营活动现金流入小计,"147,313,063.48","189,703,838.89","202,954,206.16","102,522,241.13","136,436,987.48","216,603,840.32","44,566,673.34","121,265,393.88","169,180,885.55","239,194,245.78","53,690,933.21"
投资活动产生的现金流量净额,"-4,682,944.57","-22,669,193.78","-31,015,849.13","-10,487,250.46","-12,701,130.73","-13,101,699.80","-15,792,724.77","-18,970,918.43","-22,113,902.95","-153,578,269.63","-9,016,463.34"
购买商品、接受劳务支付的现金,"51,592,541.69","43,665,272.93","44,450,506.51","40,304,537.51","42,891,622.54","81,783,684.21","24,349,102.33","35,808,473.84","57,385,703.71","63,473,679.18","5,320,788.97"
吸收投资收到的现金,,"28,512,000.00","1,960,000.00","1,352,955.85","2,750,000.00","185,546,000.00",,,,,
支付给职工以及为职工支付的现金,"42,453,040.26","43,771,909.47","47,757,047.99","29,021,865.29","44,178,442.03","60,292,950.40","20,390,195.78","38,411,987.21","56,563,925.51","73,839,615.64","20,457,856.59"
取得借款收到的现金,"91,350,000.00","43,657,000.00","57,600,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,"1,000,000.00","1,000,000.00",
支付的各项税费,"20,675,093.80","20,588,824.12","30,562,086.08","13,938,743.58","22,697,584.49","32,704,455.53","7,976,826.87","19,828,420.61","26,869,928.32","36,293,579.37","5,197,213.30"
收到其他与筹资活动有关的现金,"14,000,000.00",,,,,,,,,,
支付其他与经营活动有关的现金,"23,054,796.71","14,828,275.23","19,365,418.83","8,904,833.00","14,197,521.46","20,791,988.03","11,063.33","8,065,166.30","11,313,256.40","24,018,174.18","15,549,513.45"
筹资活动现金流入小计,"105,350,000.00","72,169,000.00","59,560,000.00","21,352,955.85","22,750,000.00","205,546,000.00",,,"1,000,000.00","1,000,000.00",
经营活动现金流出小计,"137,775,472.46","122,854,281.75","142,135,059.41","92,169,979.38","123,965,170.52","195,573,078.17","52,727,188.31","102,114,047.96","152,132,813.94","197,625,048.37","46,525,372.31"
偿还债务支付的现金,"65,950,000.00","72,207,000.00","87,400,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,"30,233,869.46",,,
经营活动产生的现金流量净额,"9,537,591.02","66,849,557.14","60,819,146.75","10,352,261.75","12,471,816.96","21,030,762.15","-8,160,514.97","19,151,345.92","17,048,071.61","41,569,197.41","7,165,560.90"
分配股利、利润或偿还利息支付的现金,"7,157,348.45","5,968,626.38","16,193,614.92","40,902.08","53,407.58","36,914.58",,"3,998,428.46","30,240,636.13","32,017,762.50","10,875.00"
收回投资收到的现金,,,,,,,,,,"174,000,000.00",
支付其他与筹资活动有关的现金,"30,500,000.00","15,000,000.00",,,,"687,168.00","4,360,000.00",,"4,592,500.44","5,849,602.34","67,097.36"
取得投资收益收到的现金,,,"18,910.17",,,,,,,"1,578,656.76","1,405,091.74"
筹资活动现金流出小计,"103,607,348.45","93,175,626.38","103,593,614.92","30,040,902.08","30,053,407.58","30,724,082.58","4,360,000.00","34,232,297.92","34,833,136.57","37,867,364.84","77,972.36"
处置固定资产、无形资产和其他长期资产收回的现金净额,"3,748.84",,"127,040.77",,"95,000.00","87,233.01",,,"55,100.00","53,495.15",
筹资活动产生的现金流量净额,"1,742,651.55","-21,006,626.38","-44,033,614.92","-8,687,946.23","-7,303,407.58","174,821,917.42","-4,360,000.00","-34,232,297.92","-33,833,136.57","-36,867,364.84","-77,972.36"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,"-3,659.91",
收到其他与投资活动有关的现金,"12,385,170.00",,"1,628,000.00",,,"4,375,000.00",,,"755,860.68","1,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,
