科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"133,149,708.07","205,967,467.27","70,754,036.80","267,690,955.20","85,713,664.05","122,235,321.23","408,481,776.13","17,913,616.53","113,556,746.63","195,638,881.42","522,694,380.98","61,810,703.81","230,209,454.65","283,417,003.22","781,057,640.69","150,876,960.25","293,655,831.18","507,333,933.69","1,167,975,732.92","144,690,577.44","392,329,492.48","586,980,517.96","1,351,243,432.32","218,276,942.55","464,342,627.35"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"49,372,159.70",,,,"299,727,015.11",,"8,058,007.90","8,063,720.29","8,058,007.90",,,,,,
收到的税费返还,"10,147,253.42","14,464,179.76","11,801,385.13","23,490,953.30","4,218,046.74","9,270,993.54","17,644,193.15",,"19,149,932.02","23,800,301.91","28,503,018.41","19,013,403.36","22,964,740.88","25,413,441.36","52,240,559.18","22,090,060.25","33,889,327.57","44,480,196.92","73,875,015.04","27,697,082.15","47,895,776.62","66,110,431.43","96,334,133.09","14,921,340.42","25,063,284.56"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"8,110,799.95",,"942,109,618.43","942,109,618.43","942,109,618.43","20,000,000.00","20,000,000.00"
收到其他与经营活动有关的现金,"1,190,000.00","1,166,928.13","632,376.52","832,839.10","1,713,797.30","4,911,441.05","13,664,470.02","10,508,256.05","12,017,517.02","14,428,961.04","30,810,676.39","4,092,918.40","19,391,151.86","32,174,665.65","43,232,432.82","20,449,460.59","17,634,633.04","26,982,343.20","109,802,997.49","18,695,940.24","49,767,252.45","55,639,494.96","104,450,955.76","12,409,744.06","37,006,513.11"
投资活动现金流出小计,"7,642,783.90","12,753,197.45","31,608,643.42","42,829,550.70","31,296,282.95","83,014,671.36","85,058,292.26","4,424,574.47","14,947,120.50","59,408,418.79","131,131,797.83","450,998,805.47","73,648,843.82","127,378,268.58","598,651,744.68","213,927,415.32","277,040,422.73","413,784,506.96","795,002,941.93","222,173,106.08","1,937,971,846.88","2,006,430,535.81","2,003,364,775.30","853,112,586.19","1,747,500,751.12"
经营活动现金流入小计,"144,486,961.49","221,598,575.16","83,187,798.45","292,014,747.60","91,645,508.09","136,417,755.82","439,790,439.30","28,421,872.58","144,724,195.67","233,868,144.37","582,008,075.78","84,917,025.57","272,565,347.39","341,005,110.23","876,530,632.69","193,416,481.09","345,179,791.79","578,796,473.81","1,351,653,745.45","191,083,599.83","489,992,521.55","708,730,444.35","1,552,028,521.17","245,608,027.03","526,412,425.02"
投资活动产生的现金流量净额,"-7,642,783.90","-12,753,197.45","-31,608,643.02","-42,826,864.05","-31,296,282.95","-83,014,671.36","-85,058,292.26","-4,424,574.47","-14,792,220.50","-59,250,098.79","-130,944,627.83","-12,370,506.14","-68,724,473.21","-115,824,846.64","-591,025,733.73","-213,927,415.32","-277,040,422.73","-401,953,854.96","-676,362,623.31","-193,742,642.99","-1,790,439,432.83","-1,842,393,280.48","-1,853,948,749.45","-317,055,436.17","-284,392,972.92"
购买商品、接受劳务支付的现金,"58,169,594.72","120,902,131.90","97,118,878.46","150,800,523.36","144,500,475.23","169,065,404.79","230,508,858.39","103,779,028.47","158,541,518.75","292,255,104.51","329,725,261.68","184,278,750.64","215,763,108.74","302,659,233.24","427,750,901.58","158,392,046.79","272,599,867.23","389,341,180.64","512,228,215.04","230,067,593.70","361,698,837.90","496,666,263.16","745,595,733.89","170,091,891.37","447,205,945.49"
吸收投资收到的现金,"31,500,000.00",,,,,,,"286,521,000.00","286,521,000.00","286,521,000.00","340,795,750.00",,,"10,961,250.00","496,649,900.84",,,"3,644,840.00","1,197,227,497.50",,"863,502,000.00","871,942,415.00","871,942,415.00",,
支付给职工以及为职工支付的现金,"12,452,625.41","22,301,055.95","29,827,653.16","35,642,563.92","31,610,086.55","52,045,484.36","70,076,018.02","24,818,955.55","44,979,170.28","66,315,180.17","83,810,979.19","30,094,906.28","54,385,058.33","79,994,892.47","115,757,712.57","57,466,692.20","114,524,547.59","179,636,711.58","250,166,288.68","74,517,050.20","134,771,100.77","199,596,366.58","267,908,768.03","86,311,078.21","160,413,083.81"
取得借款收到的现金,"10,000,000.00","90,000,000.00","72,489,413.27","151,406,603.79","121,062,118.21","198,210,151.32","299,312,062.24",,"57,146,400.00","319,026,350.00","401,826,350.00","41,320,000.00","213,320,000.00","517,766,325.00","861,320,000.00","30,000,000.00","319,000,000.00","775,787,630.84","904,471,900.84","628,957,980.35","977,855,856.47","1,206,855,856.47","1,877,431,773.54","70,999,603.60","950,412,053.60"
支付的各项税费,"18,068,982.35","23,304,335.10","31,139,293.43","45,626,492.90","19,715,206.61","28,593,881.08","39,749,852.69","33,126,546.00","43,541,553.99","51,639,993.78","70,361,402.42","34,940,316.94","47,572,972.87","56,691,052.61","93,338,855.13","62,769,598.14","92,284,397.98","119,824,230.63","171,626,855.32","67,703,837.46","109,732,265.99","146,789,972.92","208,727,490.34","63,007,494.91","95,439,220.37"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"57,024,465.00","57,024,465.00",,"1,076,250.00"
支付其他与经营活动有关的现金,"27,060,103.98","35,641,158.94","36,994,972.93","53,083,785.53","34,493,948.89","46,447,782.08","70,828,653.76","23,602,722.15","42,043,579.08","59,648,041.42","87,492,535.44","35,412,006.74","46,729,204.12","90,334,402.66","98,192,146.38","64,590,682.59","101,774,064.25","192,408,556.64","332,111,488.48","53,196,087.14","135,760,968.86","192,396,466.37","240,969,275.96","63,205,098.27","115,581,938.10"
筹资活动现金流入小计,"41,500,000.00","90,000,000.00","72,489,413.27","151,406,603.79","121,062,118.21","198,210,151.32","299,312,062.24","286,521,000.00","343,667,400.00","605,547,350.00","742,622,100.00","41,320,000.00","213,320,000.00","528,727,575.00","1,357,969,900.84","30,000,000.00","319,000,000.00","779,432,470.84","2,101,699,398.34","628,957,980.35","1,841,357,856.47","2,135,822,736.47","2,806,398,653.54","70,999,603.60","951,488,303.60"
经营活动现金流出小计,"115,751,306.46","202,148,681.89","195,080,797.98","285,153,365.71","230,319,717.28","296,152,552.31","411,163,382.86","185,327,252.17","289,105,822.10","469,858,319.88","571,390,178.73","284,725,980.60","364,450,344.06","529,679,580.98","735,039,615.66","343,219,019.72","581,182,877.05","881,210,679.49","1,266,132,847.52","425,484,568.50","741,963,173.52","1,035,449,069.03","1,463,201,268.22","382,615,562.76","818,640,187.77"
偿还债务支付的现金,"5,000,000.00","40,000,000.00","30,000,000.00","30,000,000.00","42,866,008.00","105,355,421.27","170,416,404.79","30,361,608.00","158,611,012.21","289,116,230.40","294,595,962.21","1,600,000.00","132,357,680.00","374,406,418.19","525,346,618.19","50,000,000.00","204,000,000.00","418,000,000.00","597,462,499.99","91,387,499.97","376,663,888.82","607,175,402.46","1,282,836,152.82","111,220,436.90","539,775,003.52"
经营活动产生的现金流量净额,"28,735,655.03","19,449,893.27","-111,892,999.53","6,861,381.89","-138,674,209.19","-159,734,796.49","28,627,056.44","-156,905,379.59","-144,381,626.43","-235,990,175.51","10,617,897.05","-199,808,955.03","-91,884,996.67","-188,674,470.75","141,491,017.03","-149,802,538.63","-236,003,085.26","-302,414,205.68","85,520,897.93","-234,400,968.67","-251,970,651.97","-326,718,624.68","88,827,252.95","-137,007,535.73","-292,227,762.75"
分配股利、利润或偿还利息支付的现金,"351,371.35","2,984,998.05","3,234,756.75","5,549,566.85","6,061,568.82","10,520,271.18","16,576,023.55","4,530,603.73","20,723,560.91","24,910,297.19","32,807,866.54","7,114,938.11","29,138,662.87","37,646,180.97","45,089,394.76","47,040,021.31","62,821,215.09","68,507,524.64","95,103,831.21","7,554,540.27","57,733,045.40","68,792,510.44","105,068,910.84","15,449,089.81","76,159,602.24"
收回投资收到的现金,,,,,,,,,,,,"438,000,000.03",,"6,000,000.00","6,000,000.00",,,"8,000,000.00","64,175,335.90","28,270,000.00","108,580,000.00","123,529,008.99","96,458,571.25","534,850,000.00","1,448,150,000.00"
支付其他与筹资活动有关的现金,,"1,057,578.75",,"13,612,314.04","11,194,423.98","20,431,774.47","35,628,059.02","9,456,331.25","7,435,128.78","10,068,751.93","60,428,059.97","3,940,509.31","22,144,906.74","12,888,651.26","12,811,702.80","6,929,588.70","10,763,221.94","35,900,399.47","41,556,339.01","4,801,498.03","280,122,510.44","305,940,504.52","331,943,691.58","8,654,622.65","24,149,612.17"
取得投资收益收到的现金,,,,,,,,,,,,"628,299.30","752,370.61","1,381,421.94","1,454,010.95",,,"245,434.00","48,489,619.72","154,863.09","38,903,670.85","40,411,553.14","52,613,633.12","1,207,150.02","14,957,778.20"
筹资活动现金流出小计,"5,351,371.35","44,042,576.80","33,234,756.75","49,161,880.89","60,122,000.80","136,307,466.92","222,620,487.36","44,348,542.98","186,769,701.90","324,095,279.52","387,831,888.72","12,655,447.42","183,641,249.61","424,941,250.42","583,247,715.75","103,969,610.01","277,584,437.03","522,407,924.11","734,122,670.21","103,743,538.27","714,519,444.66","981,908,417.42","1,719,848,755.24","135,324,149.36","640,084,217.93"
