科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"273,051,302.81","348,296,023.17","292,031,773.56","314,323,571.72","320,836,932.73","202,313,498.35","135,034,907.85","199,604,340.52","416,183,046.58","817,820,690.13","952,385,346.61","322,086,750.00","246,998,387.79","180,455,095.88","232,224,728.48","280,899,277.16","224,034,910.41","86,601,886.82","91,071,614.13","157,021,139.80","124,085,464.38","261,760,240.51","177,426,751.09","135,214,131.25","101,764,273.69","81,867,968.36","199,754,070.74","154,131,116.77","225,958,528.71","129,404,753.42","139,932,895.67","235,551,959.16","225,891,197.08","271,112,738.19","280,117,099.24","249,123,245.74","245,597,825.38","219,054,530.76","342,672,891.74","298,598,045.08","165,626,215.62","185,664,315.76","149,142,922.98","193,585,357.42","181,917,693.83","223,223,498.78"
短期借款,,,,,,,,,,,,,,,,,,,,,,"130,000,000.00","160,000,000.00","130,000,000.00","128,300,000.00","200,000,000.00","200,000,000.00","200,000,000.00","250,000,000.00","250,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","255,800,000.00","255,800,000.00","200,000,000.00","160,000,000.00","185,000,000.00","150,000,000.00","90,000,000.00","95,000,000.00",,,,"35,860,153.35","115,860,153.35"
交易性金融资产,"15,727,837.54","99,187,741.00","88,016,415.40","74,133,637.44","56,972,657.12","44,098,605.36","54,859,367.06","50,950,324.89","10,743,205.75","91,945,568.57","71,169,139.92","126,393,028.88","110,677,249.40","83,247,844.35","184,916,254.82","176,638,601.06","178,892,014.38","172,567,649.63","86,676,133.00","11,924,562.00","14,483,971.58","20,729,756.84","12,582,800.65","11,782,721.30","11,790,633.29","10,053,494.35","10,053,494.35","10,929,625.42","11,244,831.21","12,990,431.56","22,203,923.45","6,415,175.21","18,343,193.56","47,634,331.99","39,811,515.94","29,389,632.60","33,359,437.06","33,640,591.04","36,767,961.97","37,359,871.51","38,824,001.65","44,997,317.99","41,965,470.38","40,988,950.03","43,971,466.57","45,217,837.25"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,577,476.40","4,977,274.00","11,572,815.00","8,546,174.00","43,339,518.20","85,439,966.00","99,165,759.42","14,958,257.52","17,561,246.75","24,306,946.75","14,186,606.50","10,600,060.00","15,195,180.00","9,459,120.00","6,731,550.00","11,364,954.65","21,829,600.00","26,382,814.10","38,755,114.10","38,960,596.09","41,148,400.00","27,939,963.00","67,585,882.00","91,930,273.20","74,942,484.00","85,814,160.00","18,983,330.00","53,316,633.23","28,782,771.28","52,584,586.78","100,078,944.76","27,461,126.32","59,652,771.41","34,596,148.95","78,485,336.20","80,435,426.11","62,453,949.81","54,629,705.35","58,646,475.86","52,028,477.23","61,072,884.54","29,903,883.44","52,084,651.84","53,690,653.01","16,515,092.02","6,169,057.00"
应付票据,,,,,,,,,"110,000,000.00","620,000,000.00","670,000,000.00","120,000,000.00",,,"741,871.60",,,,,,,,,,"3,480,000.00","3,480,000.00",,,,"74,150,000.00","25,000,000.00","15,010,000.00","29,415,000.00","79,120,000.00","79,120,000.00",,,,,,,,,,,
应收账款,"11,651,973.78","6,147,519.45","5,668,391.25","7,352,701.71","19,026,610.15","16,750,670.81","24,170,659.93","20,021,946.13","13,311,529.33","5,080,287.82","6,125,537.12","23,144,313.48","22,436,286.12","14,687,996.99","11,943,970.96","20,686,325.38","13,216,142.17","20,733,818.70","16,218,024.84","10,116,653.66","21,730,297.91","11,752,379.03","11,382,235.19","9,612,573.56","27,003,709.26","12,712,925.89","12,101,427.48","10,426,636.15","57,890,826.86","99,968,087.67","94,710,347.28","94,724,765.95","95,415,228.18","85,625,011.25","75,192,562.07","27,227,832.57","35,099,681.55","35,000,453.78","34,737,252.00","22,334,971.34","74,247,332.26","16,547,765.80","20,150,639.39","40,754,473.14","56,686,239.83","59,220,806.83"
应付账款,"2,458,452.44","6,613,698.04","3,315,646.15","1,391,877.66","3,269,682.91","4,883,067.27","2,519,748.28","2,342,550.40","1,436,212.49","3,240,489.26","5,335,407.60","19,186,770.85","14,638,441.18","602,168.56","1,734,840.23","11,899,499.79","890,566.37","9,131,454.00","18,255,031.30","26,074,784.83","31,228,549.62","34,931,112.01","15,654,399.60","8,982,391.96","13,664,932.61","11,650,881.32","21,131,176.15","6,800,333.83","7,987,918.57","8,025,370.59","6,762,086.66","95,287,264.08","81,947,209.78","60,223,106.07","41,551,803.56","32,482,729.82","27,249,859.94","28,815,271.49","38,317,702.54","101,715,522.60","54,276,370.10","99,714,401.63","75,984,753.94","64,997,318.05","77,787,409.65","119,536,420.98"
预付款项,"49,250,456.07","35,436,540.40","59,040,591.54","40,226,564.16","49,876,676.71","34,211,563.77","42,766,679.34","62,244,425.59","24,029,206.06","65,954,376.73","81,613,778.28","38,502,784.22","38,628,449.64","22,646,188.90","43,366,819.02","21,590,829.18","39,940,786.78","26,159,165.92","28,402,961.25","21,155,452.04","33,691,617.98","19,774,452.97","64,383,161.58","42,084,577.91","45,062,091.51","67,217,573.83","77,105,927.87","97,301,849.00","79,262,897.42","104,468,958.30","101,621,186.15","158,545,926.50","121,207,729.06","200,521,608.11","184,820,984.39","134,913,137.57","95,342,744.21","75,815,895.61","64,470,305.66","98,943,483.30","102,027,696.78","117,132,818.67","174,950,780.94","112,351,247.88","86,048,038.05","123,055,801.54"
预收款项,"23,937,112.95","47,655,357.88","53,786,425.67","54,997,023.95","29,691,607.22","63,525,301.41","59,142,858.20","52,089,780.38","38,186,225.40","38,809,893.12","68,575,776.96","46,261,358.47","36,150,928.57","27,320,763.51","63,146,371.09","49,699,181.20","40,063,086.71","49,135,223.79","70,701,099.37","58,693,436.47","24,722,676.55","30,118,066.23","60,118,225.50","60,317,874.04","34,271,451.75","80,372,673.87","46,009,096.46","53,080,330.44","80,034,905.62","85,388,113.47","87,735,432.69","67,589,705.63","55,486,165.14","66,728,912.32","82,221,613.44","42,235,097.60","31,822,457.89","47,725,746.22","50,235,277.85","27,961,485.53","25,062,075.35","33,653,560.97","40,841,478.07","20,132,623.17","28,979,895.14","21,784,776.75"
