科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"3,720,711,125.18","4,570,940,726.17","5,440,687,985.64","2,789,872,670.72","5,244,414,866.37","7,771,748,041.58","833,089,341.20","1,977,501,068.12","3,170,698,240.97","4,501,274,274.98","737,052,184.21","2,067,911,014.89","3,632,571,144.47","5,278,808,984.61","434,530,069.52","2,220,792,630.95","7,287,797,505.75","10,870,277,326.43","2,704,254,617.13","6,467,204,341.95","10,156,579,800.28","15,882,395,345.44","3,400,599,044.00","8,602,297,517.74","12,975,651,699.10","16,831,959,290.62","4,205,177,966.61"
二、营业利润,"80,045,573.49","94,211,617.73","103,695,902.02","45,644,325.88","57,578,477.46","75,628,193.89","-17,223,295.44","-35,061,105.29","-56,823,017.38","-53,809,129.58","2,842,900.34","4,499,226.54","6,947,738.25","8,034,905.27","-24,764,624.34","-53,217,731.90","-67,870,157.34","-161,266,274.68","8,292,066.66","10,000,192.26","6,641,659.15","34,461,418.80","19,342,519.15","34,313,018.42","50,154,658.49","81,284,360.16","22,058,930.95"
减:营业成本,"3,510,502,640.16","4,331,652,232.60","5,173,228,230.20","2,661,113,924.40","5,057,515,533.18","7,515,338,550.18","831,084,818.58","1,954,323,269.61","3,131,436,975.76","4,425,247,341.90","717,122,286.51","2,023,074,489.22","3,560,887,864.22","5,184,288,449.82","439,706,204.61","2,222,483,884.21","7,287,537,796.02","10,895,461,995.68","2,662,218,621.50","6,387,623,708.38","10,061,375,667.55","15,714,491,510.48","3,384,896,527.26","8,561,492,865.68","12,868,812,060.12","16,642,223,919.47","4,169,998,496.27"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,086,142.46","8,049,066.14","8,441,729.68","3,666,569.73","5,873,415.67","7,883,322.09","386,532.50","800,012.83","1,434,166.81","3,246,852.95","490,336.71","1,137,908.40","1,783,356.96","2,401,744.09","148,191.88","382,048.66","565,354.20","1,853,281.09","184,741.39","300,666.84","651,090.29","3,213,739.55","260,441.39","511,216.35","5,066,044.45","7,588,448.35","3,595,315.35"
营业外收入,"3,770,780.86","10,995,011.52","6,631,093.94","5,003,186.16","5,508,166.55","6,774,403.93","3,451,746.34","3,891,059.58","4,067,662.59","5,179,048.58","110,448.86","1,381,135.70","1,658,654.02","2,296,546.73","565,708.93","723,540.84","1,208,683.66","2,203,266.33","32,574.02","952,484.07","2,190,484.07","2,263,488.86","48,325.33","679,118.91","2,155,452.79","2,235,896.39","102,175.36"
销售费用,"97,188,787.38","98,281,723.19","96,645,032.31","39,979,963.52","66,411,310.44","92,138,904.73","10,939,034.55","32,227,979.06","48,039,842.01","70,193,000.04","4,794,077.31","13,622,332.69","20,311,793.67","26,996,555.06","6,443,598.11","13,744,863.48","19,705,524.83","28,897,672.90","6,444,975.86","10,045,575.24","16,765,334.52","20,630,598.67","4,931,410.80","9,160,774.52","13,118,081.30","19,173,233.30","8,524,609.79"
减:营业外支出,"32,542.47","415,589.90","18,585.94","8,430.82","23,463.11","54,855.11",17.08,404.56,426.56,"155,322.87",,"1,938.35","2,971.34","7,578.62","25,371.11","25,509.35","37,657.96","6,796,653.68","534,573.65","527,634.88","527,634.88","646,692.73","50,940.74","95,547.36","1,044,743.11","2,041,796.13","8,000.00"
管理费用,"16,173,109.59","18,458,410.01","22,479,400.63","10,720,585.39","16,144,271.82","26,482,645.61","5,985,239.11","14,770,531.74","22,159,347.82","29,320,047.16","7,359,252.68","14,789,165.92","23,268,774.09","32,390,540.09","8,313,606.59","15,420,528.21","25,220,270.20","40,934,674.08","9,458,125.12","16,472,894.22","21,950,838.68","31,274,648.75","10,415,389.56","23,930,913.63","34,215,467.33","51,400,207.40","16,014,292.42"
其中:非流动资产处置净损失,"-149,724.96","-433,158.47","6,075.33",430.82,430.82,430.82,17.08,17.08,17.08,127.33,,"1,938.35","1,938.35","1,938.35",,,"12,139.65","25,504.31",,,,"89,057.85",,"7,306.62","13,024.07",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
