科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"25,924,258.38","50,810,048.64","67,888,724.46","87,082,645.43","121,169,524.71","848,330,487.00","797,087,130.20","800,492,210.87","847,059,031.83","706,860,698.98","634,567,103.27","659,999,030.50","680,648,155.70","658,105,024.71","594,764,345.81","626,561,231.17","662,336,276.36","670,357,304.01","671,449,140.30","598,427,498.80","348,083,546.63","222,553,861.40","284,186,586.40","310,880,338.73","367,774,621.38","513,003,610.18","273,590,248.69","314,660,321.85","367,013,424.05","508,721,809.68","324,303,896.56","433,509,827.27","740,476,133.31","477,116,282.09","481,227,053.46","351,869,813.59","684,819,101.61","594,693,797.83"
短期借款,,"14,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,"2,000,000.00","2,000,000.00","2,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"45,000,000.00","145,000,000.00","155,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,862,000.00","7,110,323.62","7,546,027.91","9,061,042.16","10,682,458.92","20,200,374.80","27,158,825.12","33,053,594.28","49,908,755.19","25,720,274.58","20,329,679.73","19,233,614.70","57,075,206.95","51,908,451.97","25,713,520.92","33,857,247.00","32,908,713.03","18,156,447.11","36,571,358.97","40,789,581.49","38,944,372.33","21,529,986.79","24,123,603.77","26,390,904.81","26,080,819.00","15,646,250.65","23,072,055.18","33,929,228.32","35,251,367.90","32,409,539.07","30,794,255.33","47,060,835.51","99,012,510.39","73,903,927.75","109,962,104.16","47,029,806.93","90,337,123.80","85,631,159.43"
应付票据,,,,,,,,,,,,,,"1,000,000.00",,,,,,,"30,000.00","30,000.00","722,841.80","4,822,841.80","4,300,000.00","450,000.00","9,400,000.00","27,929,962.65","31,501,280.43","48,284,607.71","68,948,945.34","72,146,634.18","73,734,748.03","148,477,438.68","182,905,754.46","90,343,448.55","119,644,684.14","180,476,980.52"
应收账款,"29,165,675.45","38,987,625.71","52,767,922.37","56,340,463.37","41,057,041.84","55,848,799.41","65,876,771.77","67,587,620.30","51,286,435.56","75,828,904.64","110,351,235.51","134,463,727.05","94,975,050.82","126,848,053.91","164,934,911.78","168,073,262.67","137,634,909.17","155,051,742.18","185,913,824.86","193,145,274.57","155,960,288.45","212,948,398.97","253,982,193.07","261,835,011.82","218,701,307.32","246,425,926.31","281,301,398.66","305,058,883.08","331,606,215.89","377,748,725.60","406,403,322.20","422,091,916.55","385,789,259.91","452,125,089.47","556,905,952.31","651,988,287.55","829,081,520.15","900,011,511.79"
应付账款,"21,656,965.40","33,880,255.81","43,649,980.74","43,103,929.99","33,029,249.89","47,110,916.60","52,515,021.90","68,298,486.15","48,216,367.55","56,217,101.26","99,173,528.82","76,912,645.79","60,887,835.38","77,390,971.24","92,022,146.44","91,438,725.76","80,251,899.37","79,472,352.30","133,979,565.03","141,145,614.11","119,403,315.30","144,369,330.45","181,875,409.15","170,171,421.72","153,636,639.44","156,042,343.54","167,546,815.47","167,675,073.65","200,664,956.79","187,882,512.55","215,540,403.29","227,386,906.88","364,316,697.54","233,124,383.46","295,540,190.96","332,216,644.19","444,180,711.93","553,970,089.15"
预付款项,"1,005,081.06","865,719.48","786,558.20","4,054,314.56","6,928,138.16","5,038,542.57","4,319,863.26","9,827,204.48","8,559,626.83","28,442,029.47","28,530,655.58","25,708,556.88","18,369,800.80","32,974,212.97","41,026,978.52","31,807,601.93","15,693,954.78","18,755,364.95","27,044,796.22","26,241,279.04","11,830,758.17","21,353,184.96","20,029,640.54","13,196,463.98","14,261,196.28","18,005,535.36","26,993,639.98","22,155,030.54","14,955,641.02","24,580,750.32","26,967,256.52","27,650,165.76","16,290,006.03","43,786,863.09","33,340,300.07","48,674,031.97","40,024,464.67","79,910,965.94"
预收款项,"6,442,173.69","3,092,560.72","2,111,567.76","2,513,968.09","5,116,105.66","5,705,809.15","4,061,670.33","6,055,216.27","5,763,659.07","5,821,461.65","5,240,230.62","6,908,432.71","15,875,455.23","3,727,356.69","5,701,620.89","11,214,092.32","7,436,775.61","10,646,617.29","9,131,156.98","9,309,574.28","10,602,071.52","9,249,279.31","18,152,841.64","15,219,576.50","14,964,070.65","14,160,538.04","13,223,419.42","17,498,418.86","17,490,971.38","25,810,434.16","24,052,516.73","30,022,994.31","31,555,632.53","40,835,158.95","50,183,988.15","72,803,015.21","69,716,516.85","76,693,802.39"
