科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"46,825,787.14","37,671,589.58","35,048,441.85","33,664,211.77","36,285,232.29","155,635,183.13","30,623,841.36","44,439,710.16","48,283,700.68","19,950,690.93","56,117,554.79","29,597,663.29","46,452,244.69"
短期借款,"139,204,465.96","143,611,670.80","98,248,268.39","166,066,092.33","175,657,098.19","115,750,665.99","107,737,026.40","141,839,271.36","180,520,800.00","202,709,065.19","204,672,700.90","221,731,616.44","249,867,436.27"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,
应收账款,"66,782,197.49","60,793,307.12","48,869,412.52","64,276,382.05","80,753,086.26","79,188,178.56","113,708,355.83","122,866,693.49","117,727,881.17","98,491,852.04","102,789,760.60","114,445,353.12","108,278,262.61"
应付账款,"40,849,816.32","53,231,996.33","65,240,698.50","63,298,960.32","54,261,947.92","59,231,876.45","63,218,509.68","60,851,041.42","56,742,685.51","53,800,315.62","52,089,765.35","46,848,255.59","49,828,000.41"
预付款项,"11,912,668.45","17,200,899.13","14,886,624.85","14,782,047.63","16,576,834.11","9,291,774.14","5,093,677.92","7,844,958.36","10,561,680.37","8,687,867.47","7,679,793.25","10,511,912.14","8,679,340.56"
预收款项,"447,084.82","1,880,974.80","3,552,493.33","3,909,901.15","4,164,405.00","2,797,312.63","2,121,776.38","4,071,062.59","3,372,835.61","3,586,958.90","6,170,645.41","5,613,892.11","3,867,848.49"
其他应收款,"4,438,582.95","8,018,418.33","6,287,512.64","5,024,307.48","5,398,615.97","5,868,264.92","2,421,250.00","3,184,648.64","1,804,693.26","2,567,076.05","5,521,361.13","850,864.67","1,122,124.62"
应付职工薪酬,"7,769,745.62","7,948,521.89","7,332,631.66","5,712,571.46","6,728,809.96","7,151,145.93","7,804,100.53","7,035,709.51","7,651,307.66","8,547,259.84","8,642,161.96","6,813,895.89","8,051,237.31"
应收关联公司款,,,,,,,,,,,,,
